orderlife_qid,label,birth,death,gedcom_name,wikidata_qid,geni_id,bucket
Q35,Makusholah,,,Makusholah /Viros Attle/,,,order.life only: no geni id and no wikidata qid
Q36,Lammes,,,Lammes /Bios Attle/,,,order.life only: no geni id and no wikidata qid
Q37,Romas,,,Romas /Viros Attle/,,,order.life only: no geni id and no wikidata qid
Q38,Nolah,,,Nolah /Bios Attle/,,,order.life only: no geni id and no wikidata qid
Q39,Nemla,,,Nemla /Viros Attle/,,,order.life only: no geni id and no wikidata qid
Q40,Lifebringer,,,Lifebringer /Bios Sol/,,,order.life only: no geni id and no wikidata qid
Q41,Virosol,,,Virosol /Viros Sol/,,,order.life only: no geni id and no wikidata qid
Q42,Luca,,,Luca /Last Universal Common Ancestor/,Q849168,,"MISSING: on wikidata, no geni link, not in our tree"
Q43,Gaia,,,,,,order.life only: no geni id and no wikidata qid
Q44,Gaius Virus,,,Gaius /Viros/,,,order.life only: no geni id and no wikidata qid
Q45,Arka,,,Arka /Archaea/,,,order.life only: no geni id and no wikidata qid
Q46,Bacta,,,Bacta /Bacteria/,,,order.life only: no geni id and no wikidata qid
Q47,Amaterasu,,,Solana /Amaterasu Omikami/,,,order.life only: no geni id and no wikidata qid
Q48,Viros,,,Viros Sol /The Virus/,,,order.life only: no geni id and no wikidata qid
Q49,Nano,,,Nano /DPANN/,,,order.life only: no geni id and no wikidata qid
Q50,Yuri,,,Yuri /Euryarchaeota/,,,order.life only: no geni id and no wikidata qid
Q51,Proteus,,,Proteus /Proteoarchaeota/,,,order.life only: no geni id and no wikidata qid
Q52,Hydra,,,Hydra /Hydrobacteria/,,,order.life only: no geni id and no wikidata qid
Q53,Terra,,,Terra /Terrabacteria/,,,order.life only: no geni id and no wikidata qid
Q54,Luna,,,,,,order.life only: no geni id and no wikidata qid
Q55,Vigirus,,,Vigirus /The Virus/,,,order.life only: no geni id and no wikidata qid
Q56,Methana,,,Methana /Methanobacteria/,,,order.life only: no geni id and no wikidata qid
Q57,Halo,,,Halo /Haloarchaea/,,,order.life only: no geni id and no wikidata qid
Q58,Pyra,,,Pyra /Thermococci/,,,order.life only: no geni id and no wikidata qid
Q59,Asgarda,,,,,,order.life only: no geni id and no wikidata qid
Q60,Proteus,,,Proteus /Proteobacteria/,,,order.life only: no geni id and no wikidata qid
Q61,Chlorobes,,,Chlorobes /Chlorobi/,,,order.life only: no geni id and no wikidata qid
Q62,Firmus,,,,,,order.life only: no geni id and no wikidata qid
Q63,Actano,,,,,,order.life only: no geni id and no wikidata qid
Q64,Poxus,,,Poxus /The Poxvirus/,,,order.life only: no geni id and no wikidata qid
Q65,Heimdalla,,,,,,order.life only: no geni id and no wikidata qid
Q66,Odina,,,,,,order.life only: no geni id and no wikidata qid
Q67,Thora,,,,,,order.life only: no geni id and no wikidata qid
Q68,Lokia,,,,,,order.life only: no geni id and no wikidata qid
Q69,Hela,,,,,,order.life only: no geni id and no wikidata qid
Q70,Alef,,,Alef /Alphaproteobacteria/,,,order.life only: no geni id and no wikidata qid
Q71,Beth,,,Beth /Betaproteobacteria/,,,order.life only: no geni id and no wikidata qid
Q72,Gamella,,,Gamella /Gammaproteobacteria/,,,order.life only: no geni id and no wikidata qid
Q73,Myxo,,,Myxo /Myxobacteria/,,,order.life only: no geni id and no wikidata qid
Q74,Firmicutie,,,Firmicutes /Firmicutes/,,,order.life only: no geni id and no wikidata qid
Q75,Deinococus,,,Deinococcota /Deinococcota/,,,order.life only: no geni id and no wikidata qid
Q76,Actina,,,Actina /Actinobacteria/,,,order.life only: no geni id and no wikidata qid
Q77,Prasea,,,,,,order.life only: no geni id and no wikidata qid
Q78,Proto-One,,,Proto-One /The First Bridger/,,,order.life only: no geni id and no wikidata qid
Q79,Rachel,,,Rachel /Rickettsiales/,,,order.life only: no geni id and no wikidata qid
Q80,Callia,,,Callia /Callistobacteria?/,,,order.life only: no geni id and no wikidata qid
Q81,Azotobacter,,,Azotobacter /Azotobacter/,,,order.life only: no geni id and no wikidata qid
Q82,Yogurie,,,Yogurt /Yogurt/,,,order.life only: no geni id and no wikidata qid
Q83,Frankia,,,,,,order.life only: no geni id and no wikidata qid
Q84,Saya,,,Saya /Cyanobacteria/,,,order.life only: no geni id and no wikidata qid
Q85,Chloroflexa,,,Chloroflexa /Chloroflexa/,,,order.life only: no geni id and no wikidata qid
Q86,Proto-Two,,,Proto-Two /The Second Bridger/,,,order.life only: no geni id and no wikidata qid
Q87,Rika,,,Rika /Rickettsiales/,,,order.life only: no geni id and no wikidata qid
Q88,Hypha,,,Hypha /Hyphomicrobiales/,,,order.life only: no geni id and no wikidata qid
Q89,Caulobacter,,,Caulobacter /Caulobacter/,,,order.life only: no geni id and no wikidata qid
Q90,Euka,,,Euka /Progenitor of the Eukaryotes/,,,order.life only: no geni id and no wikidata qid
Q91,Eve,,,"Eve /Mitochondria, the Powerhouse of the Cell/",,,order.life only: no geni id and no wikidata qid
Q92,Lilith,,,,,,order.life only: no geni id and no wikidata qid
Q93,Anima,,,Anima  /Scotokaryota/,,,order.life only: no geni id and no wikidata qid
Q94,Planta,,,Planta  /Corticata/,,,order.life only: no geni id and no wikidata qid
Q95,Nectarius,,,Nectarius /Neokaryota/,,,order.life only: no geni id and no wikidata qid
Q96,Eglau,,,Eglau /Discoba/,,,order.life only: no geni id and no wikidata qid
Q97,Vigora,,,Vigora /Neokaryota/,,,order.life only: no geni id and no wikidata qid
Q98,Scotokaryon,,,Scotokaryon /Scotokaryota/,,,order.life only: no geni id and no wikidata qid
Q99,Amoebus,,,Amoebus /Amoebozoa/,,,order.life only: no geni id and no wikidata qid
Q100,Opisthos,,,,,,order.life only: no geni id and no wikidata qid
Q101,Metamon,,,,,,order.life only: no geni id and no wikidata qid
Q102,Corticus,,,,,,order.life only: no geni id and no wikidata qid
Q103,Son of Eglau,,,,,,order.life only: no geni id and no wikidata qid
Q104,Plastidus,,,,,,order.life only: no geni id and no wikidata qid
Q105,Cryptina,,,,,,order.life only: no geni id and no wikidata qid
Q106,Chromista,,,,,,order.life only: no geni id and no wikidata qid
Q107,Mygaster,,,,,,order.life only: no geni id and no wikidata qid
Q108,Holozon,,,,,,order.life only: no geni id and no wikidata qid
Q109,Holomys,,,,,,order.life only: no geni id and no wikidata qid
Q110,Chlora,,,,,,order.life only: no geni id and no wikidata qid
Q111,Alga,,,,,,order.life only: no geni id and no wikidata qid
Q112,Glaucon,,,,,,order.life only: no geni id and no wikidata qid
Q113,Chromistus,,,,,,order.life only: no geni id and no wikidata qid
Q114,Haroses,,,,,,order.life only: no geni id and no wikidata qid
Q115,Haptista,,,,,,order.life only: no geni id and no wikidata qid
Q116,Holozetta,,,,,,order.life only: no geni id and no wikidata qid
Q117,Mesomycetozoea,,,,,,order.life only: no geni id and no wikidata qid
Q118,Filozon,,,,,,order.life only: no geni id and no wikidata qid
Q119,Cristidiscoidea,,,,,,order.life only: no geni id and no wikidata qid
Q120,Mygus,,,,,,order.life only: no geni id and no wikidata qid
Q121,Vert,,,,,,order.life only: no geni id and no wikidata qid
Q122,Rhodes,,,,,,order.life only: no geni id and no wikidata qid
Q123,Harosetta,,,,,,order.life only: no geni id and no wikidata qid
Q124,Heterokon,,,,,,order.life only: no geni id and no wikidata qid
Q125,Alveolus,,,,,,order.life only: no geni id and no wikidata qid
Q126,Rhizar,,,,,,order.life only: no geni id and no wikidata qid
Q127,Haptos,,,,,,order.life only: no geni id and no wikidata qid
Q128,Filasterea,,,,,,order.life only: no geni id and no wikidata qid
Q129,Choanos,,,,,,order.life only: no geni id and no wikidata qid
Q130,Hyphus,,,,,,order.life only: no geni id and no wikidata qid
Q131,Rozella,,,,,,order.life only: no geni id and no wikidata qid
Q132,Charos,,,,,,order.life only: no geni id and no wikidata qid
Q133,Chloros,,,,,,order.life only: no geni id and no wikidata qid
Q134,Rosa,,,,,,order.life only: no geni id and no wikidata qid
Q135,Florida,,,,,,order.life only: no geni id and no wikidata qid
Q136,Oomy,,,,,,order.life only: no geni id and no wikidata qid
Q137,Bigyres,,,,,,order.life only: no geni id and no wikidata qid
Q138,Ochros,,,,,,order.life only: no geni id and no wikidata qid
Q139,Klepton,,,,,,order.life only: no geni id and no wikidata qid
Q140,Helios,,,,,,order.life only: no geni id and no wikidata qid
Q141,Cercus,,,,,,order.life only: no geni id and no wikidata qid
Q142,Haptophyta,,,,,,order.life only: no geni id and no wikidata qid
Q143,Centros,,,,,,order.life only: no geni id and no wikidata qid
Q144,Metaz,,,,,,order.life only: no geni id and no wikidata qid
Q145,Chytrus,,,,,,order.life only: no geni id and no wikidata qid
Q146,Aphelides,,,,,,order.life only: no geni id and no wikidata qid
Q147,Rozellida,,,,,,order.life only: no geni id and no wikidata qid
Q148,Microsporidia,,,,,,order.life only: no geni id and no wikidata qid
Q149,Crown,,,,,,order.life only: no geni id and no wikidata qid
Q150,Chlorovos,,,,,,order.life only: no geni id and no wikidata qid
Q151,Pyramona,,,,,,order.life only: no geni id and no wikidata qid
Q152,Okra,,,,,,order.life only: no geni id and no wikidata qid
Q153,Xanthophyceae,,,,,,order.life only: no geni id and no wikidata qid
Q154,Chrysa,,,,,,order.life only: no geni id and no wikidata qid
Q155,Kelpus,,,,,,order.life only: no geni id and no wikidata qid
Q156,Diatom,,,,,,order.life only: no geni id and no wikidata qid
Q157,Coralline,,,,,,order.life only: no geni id and no wikidata qid
Q158,Oomycota,,,,,,order.life only: no geni id and no wikidata qid
Q159,Actinofer,,,,,,order.life only: no geni id and no wikidata qid
Q160,Cillofer,,,,,,order.life only: no geni id and no wikidata qid
Q161,Myzo,,,,,,order.life only: no geni id and no wikidata qid
Q162,King Rhizarius,,,,,,order.life only: no geni id and no wikidata qid
Q163,Vamphy,,,,,,order.life only: no geni id and no wikidata qid
Q164,Sibhozo,,,,,,order.life only: no geni id and no wikidata qid
Q165,Symbius,,,,,,order.life only: no geni id and no wikidata qid
Q166,Ashley,,,,,,order.life only: no geni id and no wikidata qid
Q167,Glomer,,,,,,order.life only: no geni id and no wikidata qid
Q168,Dikar,,,,,,order.life only: no geni id and no wikidata qid
Q169,Freyr,,,,,,order.life only: no geni id and no wikidata qid
Q170,Utico,,,,,,order.life only: no geni id and no wikidata qid
Q171,Chlorodendrus,,,,,,order.life only: no geni id and no wikidata qid
Q172,Palmos,,,,,,order.life only: no geni id and no wikidata qid
Q173,Euglenius,,,,,,order.life only: no geni id and no wikidata qid
Q174,Euglenita,,,,,,order.life only: no geni id and no wikidata qid
Q175,Diana,,,,,,order.life only: no geni id and no wikidata qid
Q176,Malarius,,,,,,order.life only: no geni id and no wikidata qid
Q177,Radios,,,,,,order.life only: no geni id and no wikidata qid
Q178,Gromius,,,,,,order.life only: no geni id and no wikidata qid
Q179,Hexadex,,,,,,order.life only: no geni id and no wikidata qid
Q180,Clytemnestra,,,,,,order.life only: no geni id and no wikidata qid
Q181,Entos,,,,,,order.life only: no geni id and no wikidata qid
Q182,Ascus,,,,,,order.life only: no geni id and no wikidata qid
Q183,Baston,,,,,,order.life only: no geni id and no wikidata qid
Q184,Ulvophyceus,,,,,,order.life only: no geni id and no wikidata qid
Q185,Trebouxes,,,,,,order.life only: no geni id and no wikidata qid
Q186,Chlorophyceus,,,,,,order.life only: no geni id and no wikidata qid
Q187,Tetraselma,,,,,,order.life only: no geni id and no wikidata qid
Q188,Lady Zoe Xanthella,,,Lady Zoe /Xanthella/,,,order.life only: no geni id and no wikidata qid
Q189,Acanthar,,,,,,order.life only: no geni id and no wikidata qid
Q190,Stylon,,,,,,order.life only: no geni id and no wikidata qid
Q191,Polam,,,,,,order.life only: no geni id and no wikidata qid
Q192,Polycistina,,,,,,order.life only: no geni id and no wikidata qid
Q193,Foramer,,,,,,order.life only: no geni id and no wikidata qid
Q194,Eudorinus,,,,,,order.life only: no geni id and no wikidata qid
Q195,Polycomb,,,,,,order.life only: no geni id and no wikidata qid
Q196,Taphrin,,,,,,order.life only: no geni id and no wikidata qid
Q197,Saccharos,,,,,,order.life only: no geni id and no wikidata qid
Q198,Baset,,,,,,order.life only: no geni id and no wikidata qid
Q199,Valonius,,,,,,order.life only: no geni id and no wikidata qid
Q200,Acetabuler,,,,,,order.life only: no geni id and no wikidata qid
Q201,Codius,,,,,,order.life only: no geni id and no wikidata qid
Q202,Lettus,,,,,,order.life only: no geni id and no wikidata qid
Q203,Cladofer,,,,,,order.life only: no geni id and no wikidata qid
Q204,Noriko,,,,,,order.life only: no geni id and no wikidata qid
Q205,Prasiola,,,,,,order.life only: no geni id and no wikidata qid
Q206,Volvox,,,,,,order.life only: no geni id and no wikidata qid
Q207,Nival,,,,,,order.life only: no geni id and no wikidata qid
Q208,Chlorococcus,,,Chlorococcus /bar Chloros/,,,order.life only: no geni id and no wikidata qid
Q209,Shield-maidens,,,,,,order.life only: no geni id and no wikidata qid
Q210,Sexagesmus,,,Sexagesmus /Duke of the city of Metaz/,,,order.life only: no geni id and no wikidata qid
Q211,Xenophyophorea,,,Xenophyophorea /Xenophyophorea/,,,order.life only: no geni id and no wikidata qid
Q212,Nummulus,,,Nummulus /Nummulus/,,,order.life only: no geni id and no wikidata qid
Q213,Auxin,,,,,,order.life only: no geni id and no wikidata qid
Q214,Knoxy,,,,,,order.life only: no geni id and no wikidata qid
Q215,Fission,,,Fission /Yeast/,,,order.life only: no geni id and no wikidata qid
Q216,Peziz,,,,,,order.life only: no geni id and no wikidata qid
Q217,Melchizedek,,,Melchizedek /the breadmaker  bakers yeast and relatives/,,,order.life only: no geni id and no wikidata qid
Q218,Ortho,,,,,,order.life only: no geni id and no wikidata qid
Q219,Puccini,,,Puccini /Pucciniomycotina (rusts)/,,,order.life only: no geni id and no wikidata qid
Q220,Torasampe,,,Torasampe /bar Chloros/,,,order.life only: no geni id and no wikidata qid
Q221,Oophila,,,Oophila /bar Chloros/,,,order.life only: no geni id and no wikidata qid
Q222,Pleodoron,,,Pleodoron /Duke of the city of Metaz/,,,order.life only: no geni id and no wikidata qid
Q223,Pholon,,,,,,order.life only: no geni id and no wikidata qid
Q224,Lopez,,,,,,order.life only: no geni id and no wikidata qid
Q225,Orbillus,,,,,,order.life only: no geni id and no wikidata qid
Q226,Spherical,,,Spherical /Yeast/,,,order.life only: no geni id and no wikidata qid
Q227,Ustella,,,Ustella /Ustilaginomycotina (smuts)/,,,order.life only: no geni id and no wikidata qid
Q228,Agaricus,,,Agaricus /I  Agaricomycotina (mushrooms)/,,,order.life only: no geni id and no wikidata qid
Q229,Botry,,,,,,order.life only: no geni id and no wikidata qid
Q230,Marimo,,,,,,order.life only: no geni id and no wikidata qid
Q231,Bytos Duke of the city of Metaz,,,Bytos /Duke of the city of Metaz/,,,order.life only: no geni id and no wikidata qid
Q232,Cochaeus,,,,,,order.life only: no geni id and no wikidata qid
Q233,Ganymede,,,,,,order.life only: no geni id and no wikidata qid
Q234,Leotios,,,,,,order.life only: no geni id and no wikidata qid
Q235,Smutley,,,,,,order.life only: no geni id and no wikidata qid
Q236,Jello,,,,,,order.life only: no geni id and no wikidata qid
Q237,Bartholomew,,,,,,order.life only: no geni id and no wikidata qid
Q238,William,,,,,,order.life only: no geni id and no wikidata qid
Q239,Gemini,,,,,,order.life only: no geni id and no wikidata qid
Q240,Vala,,,,,,order.life only: no geni id and no wikidata qid
Q241,Metaz,,,,,,order.life only: no geni id and no wikidata qid
Q242,Volvox-Choan The Cancerous one,,,,,,order.life only: no geni id and no wikidata qid
Q243,Carcinoma,,,,,,order.life only: no geni id and no wikidata qid
Q244,Tracheus Tracheophytes,,,,,,order.life only: no geni id and no wikidata qid
Q245,Pyrenos,,,,,,order.life only: no geni id and no wikidata qid
Q246,Lecanius,,,,,,order.life only: no geni id and no wikidata qid
Q247,Tremello,,,,,,order.life only: no geni id and no wikidata qid
Q248,Dagar,,,,,,order.life only: no geni id and no wikidata qid
Q249,Metzetta,,,,,,order.life only: no geni id and no wikidata qid
Q250,Porifer Porifera,,,,,,order.life only: no geni id and no wikidata qid
Q251,Grandson of Eglau,,,,,,order.life only: no geni id and no wikidata qid
Q252,Great grandson of Eglau,,,,,,order.life only: no geni id and no wikidata qid
Q253,Great Great grandson of Eglau,,,,,,order.life only: no geni id and no wikidata qid
Q254,Great Great Great grandson of Eglau,,,,,,order.life only: no geni id and no wikidata qid
Q255,Brunhilda,,,,,,order.life only: no geni id and no wikidata qid
Q256,Celestella,,,,,,order.life only: no geni id and no wikidata qid
Q257,Chrystella,,,,,,order.life only: no geni id and no wikidata qid
Q258,Spalla,,,,,,order.life only: no geni id and no wikidata qid
Q259,Starog,,,,,,order.life only: no geni id and no wikidata qid
Q260,Juno,,,,,,order.life only: no geni id and no wikidata qid
Q261,Gigastella,,,,,,order.life only: no geni id and no wikidata qid
Q262,Kali,,,,,,order.life only: no geni id and no wikidata qid
Q263,Trigla,,,,,,order.life only: no geni id and no wikidata qid
Q264,Lipa,,,,,,order.life only: no geni id and no wikidata qid
Q265,Hygieia,,,,,,order.life only: no geni id and no wikidata qid
Q266,Holometaboles,,,,,,order.life only: no geni id and no wikidata qid
Q267,Ymir,,,,,,order.life only: no geni id and no wikidata qid
Q268,Ruby,,,,,,order.life only: no geni id and no wikidata qid
Q269,Babastella,,,,,,order.life only: no geni id and no wikidata qid
Q270,Triangula,,,,,,order.life only: no geni id and no wikidata qid
Q271,Aparaglossata,,,,Q48970749,,"MISSING: on wikidata, no geni link, not in our tree"
Q272,Zorapter,,,/Zoraptera (angel insects)/,,,order.life only: no geni id and no wikidata qid
Q273,Dermaptera,,,/Dermaptera (earwigs)/,Q13676,,"MISSING: on wikidata, no geni link, not in our tree"
Q274,Stone,,,/Plecoptera (stoneflies)/,,,order.life only: no geni id and no wikidata qid
Q275,Orthopter,,,"/Orthoptera (grasshoppers, crickets, katydids)/",,,order.life only: no geni id and no wikidata qid
Q276,Dictyoptera,,,/Dictyoptera/,,,order.life only: no geni id and no wikidata qid
Q277,Blattodea (cockroaches and termites),,,/Blattodea (cockroaches and termites)/,,,order.life only: no geni id and no wikidata qid
Q278,Mantodea,,,/Mantodea (mantises)/,Q131250,,"MISSING: on wikidata, no geni link, not in our tree"
Q279,Unsure clade near Rhipidistia,,,/Unsure clade near Rhipidistia/,,,order.life only: no geni id and no wikidata qid
Q280,Selenodus,,,/Selenodus/,,,order.life only: no geni id and no wikidata qid
Q281,Halwax,,,,,,order.life only: no geni id and no wikidata qid
Q282,Conchifera,,,/Conchifera/,,,order.life only: no geni id and no wikidata qid
Q283,Spaghettes,,,,,,order.life only: no geni id and no wikidata qid
Q284,Pompeii,,,,,,order.life only: no geni id and no wikidata qid
Q285,Acros,,,,,,order.life only: no geni id and no wikidata qid
Q286,Shrimp,,,/Shrimp/,,,order.life only: no geni id and no wikidata qid
Q287,Devon,,,,,,order.life only: no geni id and no wikidata qid
Q288,Isolagos,,,,,,order.life only: no geni id and no wikidata qid
Q289,Lycopodion,,,,,,order.life only: no geni id and no wikidata qid
Q290,Quill,,,,,,order.life only: no geni id and no wikidata qid
Q291,Euspor,,,,,,order.life only: no geni id and no wikidata qid
Q292,Equis,,,,,,order.life only: no geni id and no wikidata qid
Q293,Sons of Equis,,,,,,order.life only: no geni id and no wikidata qid
Q294,Daughters of Equis,,,,,,order.life only: no geni id and no wikidata qid
Q295,Adderos,,,,,,order.life only: no geni id and no wikidata qid
Q296,Fernando,,,,,,order.life only: no geni id and no wikidata qid
Q297,20 generations from Silvio,,,,,,order.life only: no geni id and no wikidata qid
Q298,Carbonifer,,,,,,order.life only: no geni id and no wikidata qid
Q299,Hexapter the six-gilled,,,,,,order.life only: no geni id and no wikidata qid
Q300,Insectus,,,Insectus /Insects/,,,order.life only: no geni id and no wikidata qid
Q301,Sellagine,,,,,,order.life only: no geni id and no wikidata qid
Q302,Therion velvetclaw,,,,,,order.life only: no geni id and no wikidata qid
Q303,Thallus Rangeomorph,,,Thallus  Rangeomorph,,,order.life only: no geni id and no wikidata qid
Q304,Cloudi Metazoa,,,Cloudi  Metazoa,,,order.life only: no geni id and no wikidata qid
Q305,Arboreus Eutracheophytes,,,Arboreus  Eutracheophytes,,,order.life only: no geni id and no wikidata qid
Q306,†Rhyniophyta,,,/†Rhyniophyta/,,,order.life only: no geni id and no wikidata qid
Q307,Penicillius,,,Penicillius //,,,order.life only: no geni id and no wikidata qid
Q308,Capnos,,,Capnos //,,,order.life only: no geni id and no wikidata qid
Q309,Dacrum,,,Dacrum //,,,order.life only: no geni id and no wikidata qid
Q310,Agaricus II,,,Agaricus II //,,,order.life only: no geni id and no wikidata qid
Q311,Wallas Porifera,,,Wallas  Porifera,,,order.life only: no geni id and no wikidata qid
Q312,Lycos Lycophytina,,,Lycos  Lycophytina,,,order.life only: no geni id and no wikidata qid
Q313,Ginkgon Euphyllophytina,,,Ginkgon  Euphyllophytina,,,order.life only: no geni id and no wikidata qid
Q314,Nourishing Mushrooms,,,Nourishing Mushrooms //,,,order.life only: no geni id and no wikidata qid
Q315,Solenos Porifera,,,Solenos  Porifera,,,order.life only: no geni id and no wikidata qid
Q316,Phyllon Euphyllophytina,,,Phyllon  Euphyllophytina,,,order.life only: no geni id and no wikidata qid
Q317,Toadstools,,,Toadstools //,,,order.life only: no geni id and no wikidata qid
Q318,Leucon Porifera,,,Leucon  Porifera,,,order.life only: no geni id and no wikidata qid
Q319,Pteridos Pteridophyta,,,Pteridos  Pteridophyta,,,order.life only: no geni id and no wikidata qid
Q320,Gymnos Lignophytes,,,Gymnos  Lignophytes,,,order.life only: no geni id and no wikidata qid
Q321,Vitrius Porifera,,,Vitrius  Porifera,,,order.life only: no geni id and no wikidata qid
Q322,Spongius Porifera,,,Spongius  Porifera,,,order.life only: no geni id and no wikidata qid
Q323,Horsa Equisetopsida (horsetails),,,Horsa  Equisetopsida (horsetails),,,order.life only: no geni id and no wikidata qid
Q324,Spermatophytes,,,/Spermatophytes/,,,order.life only: no geni id and no wikidata qid
Q325,†Progymnospermophyta,,,/†Progymnospermophyta/,,,order.life only: no geni id and no wikidata qid
Q326,Aristos Porifera,,,Aristos  Porifera,,,order.life only: no geni id and no wikidata qid
Q327,Demos,,,Demos /Porifera/,,,order.life only: no geni id and no wikidata qid
Q328,Spongillus Spongillida,,,Spongillus  Spongillida,,,order.life only: no geni id and no wikidata qid
Q329,Chondrocles Predatory Sponges Chondrocladia,,,Chondrocles Predatory Sponges  Chondrocladia,,,order.life only: no geni id and no wikidata qid
Q330,Angiosperms (flowering plants),,,/Angiosperms (flowering plants)/,,,order.life only: no geni id and no wikidata qid
Q331,Gymnosperms,,,/Gymnosperms/,,,order.life only: no geni id and no wikidata qid
Q332,Anu,,,Anu /Porifera/,,,order.life only: no geni id and no wikidata qid
Q333,Calcidoros Calcareous Sponge,,,Calcidoros  Calcareous Sponge,,,order.life only: no geni id and no wikidata qid
Q334,Ophios,,,Ophios //,,,order.life only: no geni id and no wikidata qid
Q335,Psilos,,,Psilos //,,,order.life only: no geni id and no wikidata qid
Q336,Maratton,,,Maratton //,,,order.life only: no geni id and no wikidata qid
Q338,Amborellales 1 sp. New Caledonia shrub,,,/Amborellales 1 sp. New Caledonia shrub/,,,order.life only: no geni id and no wikidata qid
Q339,Angiosperms (flowering plants),,,/Angiosperms (flowering plants)/,,,order.life only: no geni id and no wikidata qid
Q340,Cycads,,,/Cycads/,,,order.life only: no geni id and no wikidata qid
Q341,Ginkgo,,,/Ginkgo/,,,order.life only: no geni id and no wikidata qid
Q342,Gymnosperms,,,/Gymnosperms/,,,order.life only: no geni id and no wikidata qid
Q343,Enki,,,Enki /Eumetazoa/,,,order.life only: no geni id and no wikidata qid
Q344,Homos,,,Homos /Homoscleromorpha/,,,order.life only: no geni id and no wikidata qid
Q345,Maratidus,,,Maratidus //,,,order.life only: no geni id and no wikidata qid
Q346,Leptos,,,Leptos //,,,order.life only: no geni id and no wikidata qid
Q347,Nymphaeales c. 80 spp.[43] water lilies & allies,,,/Nymphaeales c. 80 spp.[43] water lilies & allies/,,,order.life only: no geni id and no wikidata qid
Q348,Angiosperms (flowering plants),,,/Angiosperms (flowering plants)/,,,order.life only: no geni id and no wikidata qid
Q349,Gnetophyta,,,/Gnetophyta/,,,order.life only: no geni id and no wikidata qid
Q350,Conifers,,,/Conifers/,,,order.life only: no geni id and no wikidata qid
Q351,Paraxus,,,Paraxus /ParaHoxozoa/,,,order.life only: no geni id and no wikidata qid
Q352,Xianguas,,,Xianguas /Xianguangia/,,,order.life only: no geni id and no wikidata qid
Q353,Austrobaileyales c. 100 spp.[43] woody plants,,,/Austrobaileyales c. 100 spp.[43] woody plants/,,,order.life only: no geni id and no wikidata qid
Q354,Angiosperms (flowering plants),,,/Angiosperms (flowering plants)/,,,order.life only: no geni id and no wikidata qid
Q355,Hecate,,,Hecate,,,order.life only: no geni id and no wikidata qid
