file,bytes,content,writer,readers,cited_in,verdict,reason
ancestry-frontier.csv,135549,"1,461 frontier ancestors (no parents) with depth and chosen export seed","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,reports/ancestry-frontier-seeds.md,KEEP-RECORD,Backing data for ancestry-frontier-seeds.md (cited there); no writer exists to regenerate it
ancestry-missing-qid.csv,491286,"4,805 ancestors of the owner by generation with no QID, with Geni URLs","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Research worklist on the owner lineage; no writer found so not reproducible; unread-and-stale is not junk
anvilaquarius.md,2919,Study of Wikidata user Anvilaquarius from a pastebin watchlist dump (asked 2026-09-03),hand-written (devlog 2026-09-04),none,devlog.md(2),KEEP-RECORD,"Research finding requested by name, cited in devlog"
audit-corpus-sync.md,3144,Audit: why cloud and PC count different corpora (41 gitignored GEDCOMs); verdict REAL + doc flaw,hand-written audit,none,devlog.md(2); docs/rules/corpus-and-tree.md; reports/audit-downloads-2026-08-06.md; reports/audit-transcripts-2026-08-15.md,KEEP-RECORD,Cited in docs/rules/corpus-and-tree.md and devlog as evidence
audit-resume-2026-08-17.md,10370,"Review of the last days of conversation, ordered 2026-08-16",hand-written audit,none,devlog.md,KEEP-RECORD,Audit record cited in devlog
audit-transcripts-2026-08-15.md,10832,Transcript audit: what was asked vs done vs stale,hand-written audit,none,devlog.md; docs/queue-archive/the-algorithms.md; reports/audit-resume-2026-08-17.md,KEEP-RECORD,Cited in docs/queue-archive/the-algorithms.md and devlog
aztec-montecarlo-round1.tsv,2669,MC round 1 off the Aztec root (Mixcoamatzin): 40 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md(2),KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
aztec-montecarlo-round2.tsv,2622,MC round 2 off the Aztec root: 39 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
bayanue-ancestry.md,61072,"700-ancestor, 100-generation chart for Bayanue (Geni 6000000054042397875)","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Named research report about a specific person/lineage (ruled among the most important kind of file)
bce.md,3496,"Finding: corpus writes BC years as minus; 4,750 DATE lines; five records mishandled","hand-written; measured with scripts/find-bce.py (exists, unscheduled)",none,devlog.md(2); reports/centuries.md,KEEP-RECORD,Research finding cited in devlog (and reports/centuries.md)
ben-ovadya-montecarlo-round.tsv,2733,MC round 1 off NN ben Ovadya: 40 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
ben-ovadya-montecarlo-round2.tsv,2743,MC round 2 off NN ben Ovadya: 40 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
blocked-13-raw.md,23090,"Raw rows, both sides, of the 13 blocked creations put up for a human verdict","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Human-adjudication record cited in devlog
blocked-creations-to-confirm.md,2961,"Per-creation questions ""is our Geni person this Wikidata item?"" (2026-08-31 ruling)","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)","none (tests/test_garborg_day_batch.py knows the batch name blocked-creations, not the file)",none,KEEP-RECORD,Human-judgment record: the verdicts it collected are the blocked-creations batch
bure-internal-connectivity.txt,4213,Distance from each Bureatten person to the nearest other one + a written reading refuting a hypothesis (2026-08-28),"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context) (scripts/measure-bure-connectivity.py prints a different format)",none,none,KEEP-RECORD,Research finding with an interpretation; not reproducible (measured on a 2026-08-25 merge)
bure-topology.md,1827,"Bure cluster topology: they miss the people in between, not links to each other",scripts/link-bure-people.py (deleted),none,devlog.md,KEEP-RECORD,devlog explicitly records this report as kept when its script was deleted
bureatten-export-targets.tsv,11480,"104 Bureatten people: sv title, QID, geni id, tree URL (export targets)","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,reports/bureatten.md(2),KEEP-RECORD,Cited in reports/bureatten.md; the campaign target roster
bureatten-remaining.tsv,11042,100 Bureatten rows (same columns reordered) still to export at one moment,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,DELETED 2026-09-25,"All 100 rows are a subset of bureatten-export-targets.tsv (kept); the campaign is complete and every outcome is in mass-export-log.tsv; no reader, no citation, no judgment"
cbdb-connectivity.csv,2782777,"71,469 CBDB items: qid, geni id, label, reaches_charlemagne","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md; docs/cbdb.md,KEEP-RECORD,Cited in docs/cbdb.md and devlog as the per-item evidence
charlemagne-to-arne-coverage.txt,3191,"Spine Arne Garborg->Charlemagne, 34 steps, each HELD in exports (0 absent)","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Measurement of the spine; no writer exists to regenerate it; kept by the doubt rule
chinese-montecarlo-round.tsv,2569,MC round 1 off the Chinese (Huaxu) root: 39 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
chinese-montecarlo-round2.tsv,2550,MC round 2 off the Chinese root: 39 picks with census readings,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
cjk-clan-block-qids.txt,1770,177 QIDs of the CJK_CLAN_BLOCK,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context) (test says it is regenerated with the block, but no script writes it)",tests/test_garborg_day_batch.py::_cjk_block_qids (CI),devlog.md,KEEP-LIVE,Read by name by a CI test as the carve-out list; also cited in devlog
cjk-korean-ng-corrections.csv,14558,"126 Korean readings before/after the ng fix (qid, source label, ko before/after)","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md,KEEP-RECORD,"Cited in devlog as ""every one"""
cjk-mul-by-hand.csv,51197,"1,998 CJK character strings with a hand-set culture and mul label",by hand,none,none,KEEP-RECORD,Human judgment file (mul labels assigned by hand)
cjk-mul-classified-by-emma.csv,6599,137 CJK people with the mul label Emma classified,by hand (Emma),none,none,KEEP-RECORD,Human verdict file
cjk-mul-withheld.tsv,1262,"8 proposed mul labels withheld (one item, two different labels) with derivation","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Record of proposals deliberately withheld; no writer to reproduce; kept by the doubt rule
clan-join-and-structural-walk.md,1466,"Clan-join agreement and structural-walk verdict counts, rescued from queue.md",hand-written,none,devlog.md,KEEP-RECORD,Cited in devlog; numbers recorded nowhere else
claude-md-audit.md,7639,"Audit of CLAUDE.md (5,548 lines): stale/contradictory/misfiled findings, step 1 of 3",hand-written audit (2026-09-09),none,none,KEEP-RECORD,Record of an audit ordered by Emma that drove the CLAUDE.md cut
component-shape-2026-08-30.md,4882,Live-Wikidata shape of the built cluster around Q11959067,hand-written measurement,none,devlog.md,KEEP-RECORD,Cited in devlog
created-today-2026-09-18.tsv,2172,19 profiles created 2026-09-18 with their Forest export state and notes,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,docs/queue-archive/geni-blocked-campaigns-2026-09-cont.md,KEEP-RECORD,Cited in docs/queue-archive/geni-blocked-campaigns-2026-09-cont.md; record of Geni-side work
culture-classifier-check.md,7557,CJK culture classifier checked against Wikidata; P1814 kana has nothing to emit,hand-written; mentions scripts/build-cjk-romanisation.py,none,none,KEEP-RECORD,Research finding
descendant-frontier-abul-hamza.tsv,1296,First 12 rim picks of the Abul Hamza descendant frontier with Geni URLs,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,devlog.md(2); docs/queue-archive/always-last-the-tail.md,KEEP-RECORD,Cited in devlog and docs/queue-archive/always-last-the-tail.md; descendants campaign record
descendants-export-targets.csv,2407,"34 hits >=5000 descendants found in descent balls, with source and date","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)","none (scripts/build-export-queue.py reads descendants-export-log.csv, a different file)",devlog.md(9); docs/queue-archive/always-last-the-tail.md,KEEP-RECORD,Cited 9x in devlog as the written-down hits of the campaign
descent-bottlenecks.csv,771,"6 deep roots: descendants held, generations, peak width, width-<=2 runs, sweep yield",hand-built from scripts/descent-from.py outputs (devlog),none,devlog.md(2),KEEP-RECORD,Cited in devlog as evidence (and as a refuted instrument)
descent-from-6000000035218690155-gen13-25.csv,87657,"Descent of root 6000000035218690155 (Komnenos/Seljuq) cut to generations 13-25, 1,649 rows",hand-sliced from reports/descent-from-6000000035218690155.csv (devlog); no script writes -gen*,none,devlog.md,KEEP-RECORD,"Cited in devlog as the hand-cut frame (""fixed the way it was fixed before"")"
descent-from-6000000035218736073-trunk.csv,185355,"Trunk roster (geni_id,generation,name) of the Seljuq root descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000209721822822-trunk.csv,163305,"Trunk roster (geni_id,generation,name) of the Inca root (Llira Inca) descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000209721868822-trunk.csv,163725,"Trunk roster (geni_id,generation,name) of the Aztec root (Mixcoamatzin) descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000227036719829-gen1-115.csv,816958,"Huaxu descent cut at generation 115, 19,279 people (15.9%)",hand-sliced from descent-from-6000000227036719829.csv (devlog); no script writes -gen*,none,devlog.md,KEEP-RECORD,"Cited in devlog as the hand-chosen cut that validated trunk-roster.py; differs from the current -trunk.csv (25,874 rows), so not a duplicate"
descent-from-6000000227036719829-trunk.csv,1177261,"Trunk roster (geni_id,generation,name) of the Huaxu (NN Father of Huaxu) root descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000227676734863-trunk.csv,1227978,"Trunk roster (geni_id,generation,name) of the Abul Hamza (first descendants target) descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000227708968860-trunk.csv,505560,"Trunk roster (geni_id,generation,name) of the NN ben Ovadya (Exilarchs) descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000227713229918-trunk.csv,80672,"Trunk roster (geni_id,generation,name) of the Japanese kami root descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000227723403845-trunk.csv,969157,"Trunk roster (geni_id,generation,name) of the Mamikonian root descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
descent-from-6000000227822546944-trunk.csv,1389081,"Trunk roster (geni_id,generation,name) of the NN NN Turkic/Uyghur root descent, cut above the fan-out",scripts/trunk-roster.py <id> (writes reports/descent-from-%s-trunk.csv from descent-from-<id>.csv),scripts/monte-carlo-pick.py <trunk csv> 200 = step 3 of docs/monte-carlo-procedure.md (the campaign FRAME); trunk-roster.py survey globs descent-from-*.csv but skips -trunk,none,KEEP-LIVE,"The Monte Carlo frame the ruled procedure samples from; regenerable, but it is the live input of the campaign (queue.md names this exact case as looked-unread-but-read)"
eight-hop-search.md,3341,"Every relative within eight hops, searched on Wikidata (1,015 people)",hand-written,none,devlog.md; reports/publication-search.md,KEEP-RECORD,"Research on relatives, cited in devlog and publication-search.md"
emmas-files-extraction-manifest.tsv,4430,Manifest of path steps extracted from saved Geni .htm files in emmas-files/ (deleted after extraction),"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context) (devlog records the one-off)",none,devlog.md,KEEP-RECORD,"Cited in devlog; the source files were deleted, so not reproducible"
encoding-nordic.csv,52021,442 mojibake Nordic GEDCOM values with reconstruction and evidence,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context) (build-encoding-census.py writes encoding-characters/mojibake.csv instead)",none,reports/encoding.md,KEEP-RECORD,Cited in reports/encoding.md
export-ready-emails.txt,2682,"Server-side Geni ""GEDCOM export is ready"" email timestamps from Gmail",by hand from Gmail,none,none,KEEP-RECORD,"External evidence, not reproducible"
familysearch-zipper-conflicts.tsv,70,"Header only: zipper conflicts (round, slot, geni, proposed/recorded fs_id)","scripts/zipper-join.py --familysearch, write_outputs(""familysearch-zipper"",...) -> {prefix}-conflicts.tsv; run by tree.yml, committed by its git add -A",none by name (its pairs/ambiguous siblings feed the decks),none,KEEP-LIVE,Regenerated by tree.yml on every tree rebuild
familysearch-zipper-sex-refuted.tsv,62,Header only: zipper pairs refuted on sex,scripts/zipper-join.py --familysearch -> {prefix}-sex-refuted.tsv; run by tree.yml,none,none,KEEP-LIVE,Regenerated by tree.yml on every tree rebuild
garborg-coverage.txt,938,"20 people on the two owner->Garborg paths: export count, parents/family recorded","none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Coverage finding with no writer to regenerate it; kept by the doubt rule
geni-created-placeholders.tsv,1781,"Every profile this repo created on Geni (date, child, created id, tier, status, note)",hand-maintained ledger (devlog),none,devlog.md(3),KEEP-RECORD,"Record of real-world Geni edits, cited in devlog; not reproducible"
geni-qid-p2600-gap.tsv,25035,408 QID/Geni pairs classed already stated / second geni id / addition,"none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context) (likely the era of build-qid-link-p2600.py, deleted 2026-08-28)",none,none,KEEP-RECORD,"Generator gone, so not reproducible; kept by the doubt rule"
hata.md,6506,"The Hata clan in the merged tree, measured 2026-08-06, with a prediction",hand-written,none,devlog.md(6); docs/rules/corpus-and-tree.md; reports/audit-transcripts-2026-08-15.md; reports/paths.md(3); reports/samaritan-component.md,KEEP-RECORD,Research cited in docs/rules/corpus-and-tree.md and devlog
hiuler-parent-walk-2026-09-09.md,3435,First job.create run: the parent walk from Soren Hansen Hiuler,hand-written,none,none,KEEP-RECORD,Record of the first live Geni write-path run
husb-conflicts.md,4509,Three FAM.HUSB conflicts decided on evidence,hand-written,none,devlog.md(2); reports/conflicts.md,KEEP-RECORD,Decision record cited in devlog and reports/conflicts.md
inal-kut-chor-montecarlo-round1-candidates.txt,800,MC round 1 off Inal Kut Chor: the 40 picked geni ids,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
inal-kut-chor-montecarlo-round1.tsv,917,MC round 1 off Inal Kut Chor: descendants reading per pick (mostly 0),"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
inal-kut-chor-montecarlo-round2-candidates.txt,800,MC round 2 off Inal Kut Chor: the 40 picked geni ids,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
inal-kut-chor-montecarlo-round2.tsv,918,MC round 2 off Inal Kut Chor: descendants reading per pick,"none in code: drained from the geni-extension {type:'montecarlo'} census run and copied into reports/ by hand (devlog records copying drain files off); none found (searched literal name and stem fragments in scripts/ src/ .github/ geni-extension/ tests/, incl. f-string/%s/glob patterns; devlog context)",none,none,KEEP-RECORD,Round record of the Monte Carlo descendants campaign (docs/monte-carlo-procedure.md: a root stops when a round returns zero >=5000 readings; these rounds are that evidence); census page loads are not reproducible offline
