qid	geni_id	clan_han	place_han	clan	place	sex	mul	en	nb	da	sv	de	nl	es	it	pt	ca
Q45421489	6000000075343735214	崔	深州安平	Cui	Shenzhou Anping	M	NN	man of the Cui clan, from Shenzhou Anping	mann av Cui-slekten, fra Shenzhou Anping	mand af Cui-slægten, fra Shenzhou Anping	man av Cui-ätten, från Shenzhou Anping	Mann des Klans Cui, aus Shenzhou Anping	man van de Cui-clan, uit Shenzhou Anping	hombre del clan Cui, de Shenzhou Anping	uomo del clan Cui, da Shenzhou Anping	homem do clã Cui, de Shenzhou Anping	home del clan Cui, de Shenzhou Anping
Q45422231	6000000075345672338	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45429773	6000000075344336898	韋	襄州穀城	Wei	Xiangzhou Gucheng	M	NN	man of the Wei clan, from Xiangzhou Gucheng	mann av Wei-slekten, fra Xiangzhou Gucheng	mand af Wei-slægten, fra Xiangzhou Gucheng	man av Wei-ätten, från Xiangzhou Gucheng	Mann des Klans Wei, aus Xiangzhou Gucheng	man van de Wei-clan, uit Xiangzhou Gucheng	hombre del clan Wei, de Xiangzhou Gucheng	uomo del clan Wei, da Xiangzhou Gucheng	homem do clã Wei, de Xiangzhou Gucheng	home del clan Wei, de Xiangzhou Gucheng
Q45448943	6000000074732933164	蕭	蘭陵	Xiao	Lanling	M	NN	man of the Xiao clan, from Lanling	mann av Xiao-slekten, fra Lanling	mand af Xiao-slægten, fra Lanling	man av Xiao-ätten, från Lanling	Mann des Klans Xiao, aus Lanling	man van de Xiao-clan, uit Lanling	hombre del clan Xiao, de Lanling	uomo del clan Xiao, da Lanling	homem do clã Xiao, de Lanling	home del clan Xiao, de Lanling
Q45449130	6000000074733176913	蕭	蘭陵	Xiao	Lanling	M	NN	man of the Xiao clan, from Lanling	mann av Xiao-slekten, fra Lanling	mand af Xiao-slægten, fra Lanling	man av Xiao-ätten, från Lanling	Mann des Klans Xiao, aus Lanling	man van de Xiao-clan, uit Lanling	hombre del clan Xiao, de Lanling	uomo del clan Xiao, da Lanling	homem do clã Xiao, de Lanling	home del clan Xiao, de Lanling
Q45450462	6000000075401366396	韋	京兆萬年	Wei	Jingzhao Wannian	M	NN	man of the Wei clan, from Jingzhao Wannian	mann av Wei-slekten, fra Jingzhao Wannian	mand af Wei-slægten, fra Jingzhao Wannian	man av Wei-ätten, från Jingzhao Wannian	Mann des Klans Wei, aus Jingzhao Wannian	man van de Wei-clan, uit Jingzhao Wannian	hombre del clan Wei, de Jingzhao Wannian	uomo del clan Wei, da Jingzhao Wannian	homem do clã Wei, de Jingzhao Wannian	home del clan Wei, de Jingzhao Wannian
Q45450834	6000000074733145935	蕭	蘭陵	Xiao	Lanling	M	NN	man of the Xiao clan, from Lanling	mann av Xiao-slekten, fra Lanling	mand af Xiao-slægten, fra Lanling	man av Xiao-ätten, från Lanling	Mann des Klans Xiao, aus Lanling	man van de Xiao-clan, uit Lanling	hombre del clan Xiao, de Lanling	uomo del clan Xiao, da Lanling	homem do clã Xiao, de Lanling	home del clan Xiao, de Lanling
Q45453968	6000000074759962880	韋	京兆杜陵	Wei	Jingzhao Duling	M	NN	man of the Wei clan, from Jingzhao Duling	mann av Wei-slekten, fra Jingzhao Duling	mand af Wei-slægten, fra Jingzhao Duling	man av Wei-ätten, från Jingzhao Duling	Mann des Klans Wei, aus Jingzhao Duling	man van de Wei-clan, uit Jingzhao Duling	hombre del clan Wei, de Jingzhao Duling	uomo del clan Wei, da Jingzhao Duling	homem do clã Wei, de Jingzhao Duling	home del clan Wei, de Jingzhao Duling
Q45461450	6000000074716161079	崔	清河東武城	Cui	Qinghe Dongwucheng	M	NN	man of the Cui clan, from Qinghe Dongwucheng	mann av Cui-slekten, fra Qinghe Dongwucheng	mand af Cui-slægten, fra Qinghe Dongwucheng	man av Cui-ätten, från Qinghe Dongwucheng	Mann des Klans Cui, aus Qinghe Dongwucheng	man van de Cui-clan, uit Qinghe Dongwucheng	hombre del clan Cui, de Qinghe Dongwucheng	uomo del clan Cui, da Qinghe Dongwucheng	homem do clã Cui, de Qinghe Dongwucheng	home del clan Cui, de Qinghe Dongwucheng
Q45469083	6000000074735454835	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45471981	6000000075060841900	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45472107	6000000075060254140	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45473385	6000000075060765938	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45474359	6000000075060950888	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45481279	6000000075060911932	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45484623	6000000075344428853	崔	河南	Cui	Henan	M	NN	man of the Cui clan, from Henan	mann av Cui-slekten, fra Henan	mand af Cui-slægten, fra Henan	man av Cui-ätten, från Henan	Mann des Klans Cui, aus Henan	man van de Cui-clan, uit Henan	hombre del clan Cui, de Henan	uomo del clan Cui, da Henan	homem do clã Cui, de Henan	home del clan Cui, de Henan
Q45484673	6000000074734170008	陳	吳興長城	Chen	Wuxing Changcheng	M	NN	man of the Chen clan, from Wuxing Changcheng	mann av Chen-slekten, fra Wuxing Changcheng	mand af Chen-slægten, fra Wuxing Changcheng	man av Chen-ätten, från Wuxing Changcheng	Mann des Klans Chen, aus Wuxing Changcheng	man van de Chen-clan, uit Wuxing Changcheng	hombre del clan Chen, de Wuxing Changcheng	uomo del clan Chen, da Wuxing Changcheng	homem do clã Chen, de Wuxing Changcheng	home del clan Chen, de Wuxing Changcheng
Q45484869	6000000074734368950	陳	昇州江寧	Chen	Shengzhou Jiangning	M	NN	man of the Chen clan, from Shengzhou Jiangning	mann av Chen-slekten, fra Shengzhou Jiangning	mand af Chen-slægten, fra Shengzhou Jiangning	man av Chen-ätten, från Shengzhou Jiangning	Mann des Klans Chen, aus Shengzhou Jiangning	man van de Chen-clan, uit Shengzhou Jiangning	hombre del clan Chen, de Shengzhou Jiangning	uomo del clan Chen, da Shengzhou Jiangning	homem do clã Chen, de Shengzhou Jiangning	home del clan Chen, de Shengzhou Jiangning
Q45484932	6000000074734049089	陳	昇州江寧	Chen	Shengzhou Jiangning	M	NN	man of the Chen clan, from Shengzhou Jiangning	mann av Chen-slekten, fra Shengzhou Jiangning	mand af Chen-slægten, fra Shengzhou Jiangning	man av Chen-ätten, från Shengzhou Jiangning	Mann des Klans Chen, aus Shengzhou Jiangning	man van de Chen-clan, uit Shengzhou Jiangning	hombre del clan Chen, de Shengzhou Jiangning	uomo del clan Chen, da Shengzhou Jiangning	homem do clã Chen, de Shengzhou Jiangning	home del clan Chen, de Shengzhou Jiangning
Q45484995	6000000074734353949	陳	昇州江寧	Chen	Shengzhou Jiangning	M	NN	man of the Chen clan, from Shengzhou Jiangning	mann av Chen-slekten, fra Shengzhou Jiangning	mand af Chen-slægten, fra Shengzhou Jiangning	man av Chen-ätten, från Shengzhou Jiangning	Mann des Klans Chen, aus Shengzhou Jiangning	man van de Chen-clan, uit Shengzhou Jiangning	hombre del clan Chen, de Shengzhou Jiangning	uomo del clan Chen, da Shengzhou Jiangning	homem do clã Chen, de Shengzhou Jiangning	home del clan Chen, de Shengzhou Jiangning
Q45485126	6000000074734042093	陳	京兆長安	Chen	Jingzhao Chang'an	M	NN	man of the Chen clan, from Jingzhao Chang'an	mann av Chen-slekten, fra Jingzhao Chang'an	mand af Chen-slægten, fra Jingzhao Chang'an	man av Chen-ätten, från Jingzhao Chang'an	Mann des Klans Chen, aus Jingzhao Chang'an	man van de Chen-clan, uit Jingzhao Chang'an	hombre del clan Chen, de Jingzhao Chang'an	uomo del clan Chen, da Jingzhao Chang'an	homem do clã Chen, de Jingzhao Chang'an	home del clan Chen, de Jingzhao Chang'an
Q45485317	6000000074734504876	陳	京兆長安	Chen	Jingzhao Chang'an	M	NN	man of the Chen clan, from Jingzhao Chang'an	mann av Chen-slekten, fra Jingzhao Chang'an	mand af Chen-slægten, fra Jingzhao Chang'an	man av Chen-ätten, från Jingzhao Chang'an	Mann des Klans Chen, aus Jingzhao Chang'an	man van de Chen-clan, uit Jingzhao Chang'an	hombre del clan Chen, de Jingzhao Chang'an	uomo del clan Chen, da Jingzhao Chang'an	homem do clã Chen, de Jingzhao Chang'an	home del clan Chen, de Jingzhao Chang'an
Q45485382	6000000074734408871	陳	京兆長安	Chen	Jingzhao Chang'an	M	NN	man of the Chen clan, from Jingzhao Chang'an	mann av Chen-slekten, fra Jingzhao Chang'an	mand af Chen-slægten, fra Jingzhao Chang'an	man av Chen-ätten, från Jingzhao Chang'an	Mann des Klans Chen, aus Jingzhao Chang'an	man van de Chen-clan, uit Jingzhao Chang'an	hombre del clan Chen, de Jingzhao Chang'an	uomo del clan Chen, da Jingzhao Chang'an	homem do clã Chen, de Jingzhao Chang'an	home del clan Chen, de Jingzhao Chang'an
Q45485462	6000000075061427901	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45485716	6000000074730706821	裴	河東聞喜	Pei	Hedong Wenxi	M	NN	man of the Pei clan, from Hedong Wenxi	mann av Pei-slekten, fra Hedong Wenxi	mand af Pei-slægten, fra Hedong Wenxi	man av Pei-ätten, från Hedong Wenxi	Mann des Klans Pei, aus Hedong Wenxi	man van de Pei-clan, uit Hedong Wenxi	hombre del clan Pei, de Hedong Wenxi	uomo del clan Pei, da Hedong Wenxi	homem do clã Pei, de Hedong Wenxi	home del clan Pei, de Hedong Wenxi
Q45486474	6000000075398706959	蕭		Xiao		M	NN	man of the Xiao clan	mann av Xiao-slekten	mand af Xiao-slægten	man av Xiao-ätten	Mann des Klans Xiao	man van de Xiao-clan	hombre del clan Xiao	uomo del clan Xiao	homem do clã Xiao	home del clan Xiao
Q45486525	6000000074734131011	陳	湖州長城	Chen	Huzhou Changcheng	M	NN	man of the Chen clan, from Huzhou Changcheng	mann av Chen-slekten, fra Huzhou Changcheng	mand af Chen-slægten, fra Huzhou Changcheng	man av Chen-ätten, från Huzhou Changcheng	Mann des Klans Chen, aus Huzhou Changcheng	man van de Chen-clan, uit Huzhou Changcheng	hombre del clan Chen, de Huzhou Changcheng	uomo del clan Chen, da Huzhou Changcheng	homem do clã Chen, de Huzhou Changcheng	home del clan Chen, de Huzhou Changcheng
Q45486588	6000000074734328888	陳	湖州長城	Chen	Huzhou Changcheng	M	NN	man of the Chen clan, from Huzhou Changcheng	mann av Chen-slekten, fra Huzhou Changcheng	mand af Chen-slægten, fra Huzhou Changcheng	man av Chen-ätten, från Huzhou Changcheng	Mann des Klans Chen, aus Huzhou Changcheng	man van de Chen-clan, uit Huzhou Changcheng	hombre del clan Chen, de Huzhou Changcheng	uomo del clan Chen, da Huzhou Changcheng	homem do clã Chen, de Huzhou Changcheng	home del clan Chen, de Huzhou Changcheng
Q45486909	6000000074734450877	陳	湖州長城	Chen	Huzhou Changcheng	M	NN	man of the Chen clan, from Huzhou Changcheng	mann av Chen-slekten, fra Huzhou Changcheng	mand af Chen-slægten, fra Huzhou Changcheng	man av Chen-ätten, från Huzhou Changcheng	Mann des Klans Chen, aus Huzhou Changcheng	man van de Chen-clan, uit Huzhou Changcheng	hombre del clan Chen, de Huzhou Changcheng	uomo del clan Chen, da Huzhou Changcheng	homem do clã Chen, de Huzhou Changcheng	home del clan Chen, de Huzhou Changcheng
Q45497731	6000000075403792822	盧	潤州丹陽	Lu	Runzhou Danyang	M	NN	man of the Lu clan, from Runzhou Danyang	mann av Lu-slekten, fra Runzhou Danyang	mand af Lu-slægten, fra Runzhou Danyang	man av Lu-ätten, från Runzhou Danyang	Mann des Klans Lu, aus Runzhou Danyang	man van de Lu-clan, uit Runzhou Danyang	hombre del clan Lu, de Runzhou Danyang	uomo del clan Lu, da Runzhou Danyang	homem do clã Lu, de Runzhou Danyang	home del clan Lu, de Runzhou Danyang
Q45501359	6000000074706189848	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45501424	6000000074706186840	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45502571	6000000074735216856	李	隴西狄道	Li	Longxi Didao	M	NN	man of the Li clan, from Longxi Didao	mann av Li-slekten, fra Longxi Didao	mand af Li-slægten, fra Longxi Didao	man av Li-ätten, från Longxi Didao	Mann des Klans Li, aus Longxi Didao	man van de Li-clan, uit Longxi Didao	hombre del clan Li, de Longxi Didao	uomo del clan Li, da Longxi Didao	homem do clã Li, de Longxi Didao	home del clan Li, de Longxi Didao
Q45502705	6000000074706210836	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45503478	6000000074706128929	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45503541	6000000074705345398	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45507781	6000000074712882985	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45508685	6000000074733497907	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45508942	6000000074733600850	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45509891	6000000074706161902	楊	弘農華陰	Yang	Hongnong Huayin	M	NN	man of the Yang clan, from Hongnong Huayin	mann av Yang-slekten, fra Hongnong Huayin	mand af Yang-slægten, fra Hongnong Huayin	man av Yang-ätten, från Hongnong Huayin	Mann des Klans Yang, aus Hongnong Huayin	man van de Yang-clan, uit Hongnong Huayin	hombre del clan Yang, de Hongnong Huayin	uomo del clan Yang, da Hongnong Huayin	homem do clã Yang, de Hongnong Huayin	home del clan Yang, de Hongnong Huayin
Q45510761	6000000074712798007	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45510826	6000000074713163839	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45510888	6000000074713191821	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45511272	6000000074712425079	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45511461	6000000074713078885	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
Q45511905	6000000074712792937	柳	河東解縣	Liu	Hedong Jiexian	M	NN	man of the Liu clan, from Hedong Jiexian	mann av Liu-slekten, fra Hedong Jiexian	mand af Liu-slægten, fra Hedong Jiexian	man av Liu-ätten, från Hedong Jiexian	Mann des Klans Liu, aus Hedong Jiexian	man van de Liu-clan, uit Hedong Jiexian	hombre del clan Liu, de Hedong Jiexian	uomo del clan Liu, da Hedong Jiexian	homem do clã Liu, de Hedong Jiexian	home del clan Liu, de Hedong Jiexian
