qid	label	languages	distinct_latin	verdict
Q4992085	Lars von Engeström	21	1	agreed
Q5570926	Gustaf Benzelstierna	21	1	agreed
Q5590143	Jonas Bure	21	1	agreed
Q5745634	Elias Frondin	21	1	agreed
Q5802518	Johan von Hermansson	21	1	agreed
Q5976894	Gabriel Marklin	21	1	agreed
Q5983613		21	2	labels disagree
Q633094	Johannes Bureus	21	1	agreed
Q943803	Uno von Troil	21	1	agreed
Q16650163	Samuel Pryss	20	1	agreed
Q16650517	Mikael von Törne	20	1	agreed
Q1680654		20	4	labels disagree
Q18245754		20	2	labels disagree
Q18761937	Egremont Radcliffe	20	1	agreed
Q19312912		20	2	labels disagree
Q2075113	Hedvig Ulrika De la Gardie	20	1	agreed
Q24879230	Eva Myhrman	20	1	agreed
Q4993033	Carl Gustaf Nordin	20	1	agreed
Q5916162	Andreas Knös	20	1	agreed
Q5978038	Roland Martin	20	1	agreed
Q6066136	Johannes Reftelius	20	1	agreed
Q6184896	Carl Georg Sparre	20	1	agreed
Q6235986	Carl Gustaf Wennerstedt	20	1	agreed
Q66711908	Anna Kristina Bruncrona	20	1	agreed
Q6968858	Nathan Ames	20	1	agreed
Q763053	Henning Adolf Gyllenborg	20	1	agreed
Q3359192	Elsa Beata Bunge	19	1	agreed
Q6092385	Gösta Sandels	19	1	agreed
Q768049	Augustin Rhaw	19	1	agreed
Q246072		18	5	labels disagree
Q490686	Anders Abraham Grafström	18	1	agreed
Q4972997	Christina Piper	18	1	agreed
Q546949		18	2	labels disagree
Q6034157	Otto Palmstierna	18	1	agreed
Q6070068	Fredrik Ribbing	18	1	agreed
Q1345250	Petrus Kenicius	17	1	agreed
Q1527696		17	2	labels disagree
Q1814297	Carl Erik Mannerheim	17	1	agreed
Q2965864		17	3	labels disagree
Q4730963		17	35	labels disagree
Q593496		17	2	labels disagree
Q5959480	Jonas Carl Linnerhielm	17	1	agreed
Q6082642	Torsten Rudeen	17	1	agreed
Q6092404		17	2	labels disagree
Q6197780	Wilhelm Erik Svedelius	17	1	agreed
Q14917577		16	6	labels disagree
Q1611583		16	4	labels disagree
Q16649958	Johan Otto Nauckhoff	16	1	agreed
Q16863793		16	3	labels disagree
Q2490612	Johan Graan	16	1	agreed
Q284400		16	7	labels disagree
Q329253		16	2	labels disagree
Q3428167	Olof Kolmodin	16	1	agreed
Q4225027	Olof Andersson Knös	16	1	agreed
Q469962		16	2	labels disagree
Q4945900	Helena Maria Ehrenstråhle	16	1	agreed
Q5580888	Erik Gustaf Johansson Boije	16	1	agreed
Q5590407	Eric Burman	16	1	agreed
Q5618759	Adam Carl De la Gardie	16	1	agreed
Q6014618	Enar Nordenfelt	16	1	agreed
Q6082455	Thure Gustaf Rudbeck	16	1	agreed
Q6092396	Karl Sandels	16	1	agreed
Q6170263	Fredrik Bogislaus von Schwerin	16	1	agreed
Q6255155	Gustaf Fredrik Åkerhielm	16	1	agreed
Q6371586	Karl August Ramsay	16	1	agreed
Q657814		16	2	labels disagree
Q1335682		15	3	labels disagree
Q1653445		15	3	labels disagree
Q16650154	Ericus Olai Plantin	15	1	agreed
Q16650430	Pehr Gustaf Svedelius	15	1	agreed
Q19860752	Carl Harald Strömfelt	15	1	agreed
Q2021113	Olof Broman	15	1	agreed
Q3101164		15	4	labels disagree
Q3129338	Hedvig Eleonora von Fersen	15	1	agreed
Q347484		15	5	labels disagree
Q4938400		15	2	labels disagree
Q4941089	Catharina Bröms	15	1	agreed
Q4944366		15	2	labels disagree
Q4944381	Brita Sophia De la Gardie	15	1	agreed
Q5773252	Lars Grubbe	15	1	agreed
Q5914160		15	3	labels disagree
Q5955392	Johan Anders Linder	15	1	agreed
Q6003542	Henrik Johan Nauckhoff	15	1	agreed
Q6014779	Otto Henrik Nordenskiöld	15	1	agreed
Q6057321	Olof Pryss	15	1	agreed
Q6079275		15	2	labels disagree
Q6161733	Carl Fredrik Piper	15	1	agreed
Q16649267	Elias Pedersson Gavelius	14	1	agreed
Q16649961	Olaus Olai Nauclerus	14	1	agreed
Q19975889	Fredrik August Adelswärd	14	1	agreed
Q2066214	Peder Munk	14	1	agreed
Q3180990		14	6	labels disagree
Q3462736		14	2	labels disagree
Q5570928	Lars Benzelstierna	14	1	agreed
Q5575580	Gustaf Thure Bielke	14	1	agreed
Q5597349	Ture Bielke	14	1	agreed
Q5618770	Carl Julius De la Gardie	14	1	agreed
Q5622753	Daniel Djurberg	14	1	agreed
Q5653897	Harald Nordenson	14	1	agreed
Q5754056		14	2	labels disagree
Q5813639	Claes Fredrik Horn af Åminne	14	1	agreed
Q5930987	Carl Otto Lagercrantz	14	1	agreed
Q5950139	Anders Lidbeck	14	1	agreed
Q5951779		14	2	labels disagree
Q5951795	Johan Wilhelm Liljencrantz	14	1	agreed
Q6011791		14	2	labels disagree
Q6079124	Axel von Rosen	14	1	agreed
Q6184934	Eric Samuel Sparre	14	1	agreed
Q6193512	Fredrik Georg Strömfelt	14	1	agreed
Q6215610	Eric Trolle	14	1	agreed
Q16165489	Abraham Laurentii Burman	13	1	agreed
Q16466645		13	2	labels disagree
Q19828095	Carl Mörner	13	1	agreed
Q19976400	Abraham Burensund	13	1	agreed
Q2176714		13	5	labels disagree
Q31191593		13	3	labels disagree
Q4945294	Ulrika Eleonora von Düben	13	1	agreed
Q4973002	Stina Piper	13	1	agreed
Q4988935	Brita Hedvig Knös	13	1	agreed
Q4989818	Ulrika Strömfelt	13	1	agreed
Q5542574	Johan Fredric Adelheim	13	1	agreed
Q5562598	Samuel Aurivillius	13	1	agreed
Q5580892	Fredrik Boije	13	1	agreed
Q5618560	Carl Constantin De Carnall	13	1	agreed
Q5618766	Axel Gabriel De la Gardie	13	1	agreed
Q5618800	Pontus Fredrik De la Gardie	13	1	agreed
Q5745627	Berge Frondin	13	1	agreed
Q5754581	Bengt Reinhold Geijer	13	1	agreed
Q576388		13	7	labels disagree
Q5779412	Göran Gyllenstierna af Lundholm	13	1	agreed
Q5783613	Engelbert Halenius	13	1	agreed
Q5817320	José Joaquín Tinoco Granados	13	1	agreed
Q5935475		13	3	labels disagree
Q5975022		13	2	labels disagree
Q6001608	Hampus Mörner	13	1	agreed
Q6060365		13	2	labels disagree
Q6079637	Elof Rosenblad	13	1	agreed
Q6175446		13	2	labels disagree
Q6175928	Aron Gustaf Silfversparre	13	1	agreed
Q6175945	Fredrik Otto Silfverstolpe	13	1	agreed
Q6206408	Jacob Johan Tersmeden	13	1	agreed
Q10319978		12	2	labels disagree
Q10511031		12	2	labels disagree
Q1111208		12	14	labels disagree
Q1601917		12	3	labels disagree
Q16574259		12	2	labels disagree
Q1658721		12	3	labels disagree
Q16649517	Gerhardus Jonæ	12	1	agreed
Q16649960	Olof Nauclér	12	1	agreed
Q16650170		12	2	labels disagree
Q17362772		12	3	labels disagree
Q18214782		12	2	labels disagree
Q19721217	Salomon von Köhler	12	1	agreed
Q27863581	Johan Carl Strömfelt	12	1	agreed
Q3175596		12	2	labels disagree
Q5040378	Carl Jesper Benzelius	12	1	agreed
Q5542632		12	2	labels disagree
Q5568857	Daniel Behmer	12	1	agreed
Q5605651		12	2	labels disagree
Q5607754	Samuel Johan Chierlin	12	1	agreed
Q5616509	Jakob Danckwardt-Lillieström	12	1	agreed
Q5618813	Ulrik Gustaf De la Gardie	12	1	agreed
Q5706932	Claes Julius Ekeblad	12	1	agreed
Q5757435	Martinus Gestrinius	12	1	agreed
Q5759363		12	3	labels disagree
Q5769269	Sebastian Grave	12	1	agreed
Q5783620		12	2	labels disagree
Q5805081	Per Hierta	12	1	agreed
Q5807136	Vilhelm Hising	12	1	agreed
Q5914181	Otto Reinhold Klingspor	12	1	agreed
Q5916153	Anders Erik Knös	12	1	agreed
Q5916189	Gustaf Knös	12	1	agreed
Q5931081	Gustaf Adolf Lagerfelt	12	1	agreed
Q6001555		12	2	labels disagree
Q6015541	Harald Nordlander	12	1	agreed
Q6069858		12	2	labels disagree
Q6079648	Nils Rosenblad	12	1	agreed
Q6175942	David Silfverstolpe	12	1	agreed
Q6188560	Sten Kristiernsson	12	1	agreed
Q6188777	Arvid Nils Stenbock	12	1	agreed
Q61948273	Marta Linnardtsdotter	12	1	agreed
Q6215643		12	2	labels disagree
Q692994		12	3	labels disagree
Q94621240		12	2	labels disagree
Q110313429		11	2	labels disagree
Q121005		11	2	labels disagree
Q16158291		11	2	labels disagree
Q16596199		11	2	labels disagree
Q1874025		11	3	labels disagree
Q19851830		11	2	labels disagree
Q2007274		11	7	labels disagree
Q2066886		11	2	labels disagree
Q31191910		11	4	labels disagree
Q3738508		11	6	labels disagree
Q48876810	Sancha Lopes de Baião	11	1	agreed
Q5590212	Laurentius Bureus	11	1	agreed
Q5605668	Petrus Cederschiöld	11	1	agreed
Q5613434	Börje Cronberg	11	1	agreed
Q57168248	Maria Anes da Maia	11	1	agreed
Q57173320	Pedro Ponces de Baião	11	1	agreed
Q5725186		11	2	labels disagree
Q5749466		11	2	labels disagree
Q58040913	Sancha Pires de Bragança	11	1	agreed
Q5819456	Zacharias Hæggström	11	1	agreed
Q5855920		11	3	labels disagree
Q5898100	Pehr Kalling	11	1	agreed
Q5931099		11	2	labels disagree
Q5977879	Hugo Martin	11	1	agreed
Q6158199	Erik Odelstierna	11	1	agreed
Q6218068		11	2	labels disagree
Q6218220		11	2	labels disagree
Q9161062	Ejler Eriksen Bølle	11	1	agreed
Q102010		10	5	labels disagree
Q1152745		10	2	labels disagree
Q1340357		10	2	labels disagree
Q16206992	Daniel Peter Layard	10	1	agreed
Q3656094		10	7	labels disagree
Q3768239		10	2	labels disagree
Q4165342		10	6	labels disagree
Q456456		10	2	labels disagree
Q4951688		10	2	labels disagree
Q5290415		10	3	labels disagree
Q55850075		10	2	labels disagree
Q5585470		10	2	labels disagree
Q5587236	Carl Johan Gyllenborg	10	1	agreed
Q5630706	Peter Ekman	10	1	agreed
Q5806539		10	2	labels disagree
Q5882973	Gonzalo González Girón	10	1	agreed
Q6082697		10	2	labels disagree
Q60844648		10	2	labels disagree
Q6228008		10	5	labels disagree
Q6229400	Elias von Walcker	10	1	agreed
Q704776		10	12	labels disagree
Q90238048	Erik Reinhold von Nolcken	10	1	agreed
Q110547941	Altea Silfverström	9	1	agreed
Q17993573		9	2	labels disagree
Q19631563		9	2	labels disagree
Q2010109		9	9	labels disagree
Q2322001		9	6	labels disagree
Q299387		9	16	labels disagree
Q320139		9	15	labels disagree
Q3762132		9	2	labels disagree
Q4449521	Aka Begi	9	1	agreed
Q455071		9	12	labels disagree
Q46700288		9	8	labels disagree
Q469013		9	7	labels disagree
Q48562235	Olof Troilius	9	1	agreed
Q4953376		9	2	labels disagree
Q4989142		9	2	labels disagree
Q55832253		9	2	labels disagree
Q6066129		9	2	labels disagree
Q6177449	Johan Siöblad	9	1	agreed
Q6183620	Nils Sommelius	9	1	agreed
Q63213906		9	2	labels disagree
Q6330080	Elof Steuch	9	1	agreed
Q64691031		9	2	labels disagree
Q64691034		9	2	labels disagree
Q68247		9	10	labels disagree
Q797699		9	5	labels disagree
Q83091625	Maren Sophia Olsdatter	9	1	agreed
Q88207		9	7	labels disagree
Q1649531		8	8	labels disagree
Q16590419		8	2	labels disagree
Q17031639	Vitashoka	8	1	agreed
Q17319639		8	2	labels disagree
Q23930942		8	6	labels disagree
Q2527353		8	6	labels disagree
Q2697631		8	7	labels disagree
Q28056821		8	2	labels disagree
Q31191493		8	2	labels disagree
Q3471698	Sanchet d'Abrichecourt	8	1	agreed
Q5285452	Dmitar Nemanjić	8	1	agreed
Q55224987		8	2	labels disagree
Q5548897		8	4	labels disagree
Q5790728		8	2	labels disagree
Q5953788	Juana Fernández de Córdoba y Enríquez de Ribera	8	1	agreed
Q6066017		8	6	labels disagree
Q6145888	Georg Ludvig von Köhler	8	1	agreed
Q62075393	Johan Christian Schönherr	8	1	agreed
Q64691009		8	2	labels disagree
Q64828819		8	2	labels disagree
Q64829391		8	3	labels disagree
Q942585		8	3	labels disagree
Q98545742	Sophie Ulrica Carolina Stedt	8	1	agreed
Q98545952	Alice Trolle	8	1	agreed
Q98703644	Sven Cronstedt	8	1	agreed
Q104550167		7	3	labels disagree
Q108319034	Fleury de France	7	1	agreed
Q12285131		7	3	labels disagree
Q12363134		7	3	labels disagree
Q15965620		7	2	labels disagree
Q1650217		7	9	labels disagree
Q16650516		7	2	labels disagree
Q185496		7	13	labels disagree
Q18577248		7	3	labels disagree
Q19060571		7	2	labels disagree
Q1974868		7	14	labels disagree
Q19977201		7	2	labels disagree
Q20250108	Anders Pryss	7	1	agreed
Q2110595		7	2	labels disagree
Q23017416	Audouen	7	1	agreed
Q25451348	Jonas Mikaelsson Behm	7	1	agreed
Q2705969		7	5	labels disagree
Q2742379		7	3	labels disagree
Q280722		7	16	labels disagree
Q3038291		7	2	labels disagree
Q4893846		7	3	labels disagree
Q50347265	Ture Ollonberg	7	1	agreed
Q5628451		7	7	labels disagree
Q57677031	Nikolaus Christopher von Hagemeister	7	1	agreed
Q57983439	Maria Garcia de Sousa	7	1	agreed
Q5822415	Albrecht Ihre	7	1	agreed
Q5931284	Olof Elias Lagerheim	7	1	agreed
Q59652899	Afonso Rodrigues de Baião	7	1	agreed
Q5997341	Sven Johan Munthe	7	1	agreed
Q60619097	Martim Pires da Maia	7	1	agreed
Q62075421	Lovisa Christina Schönherr	7	1	agreed
Q6265035	John Wyndham	7	1	agreed
Q64780720		7	3	labels disagree
Q69947		7	8	labels disagree
Q73763454	Sigfrid Porthan	7	1	agreed
Q93258316	Valeria	7	1	agreed
Q98481229	Matthew FitzHerbert	7	1	agreed
Q98593776		7	4	labels disagree
Q101877		6	6	labels disagree
Q109829893	Ulrika Elisabet Sandels	6	1	agreed
Q109835051	Ulrika Fredrika Ekström	6	1	agreed
Q110643466		6	3	labels disagree
Q124606874	Hans Didrik Mörner	6	1	agreed
Q1310565		6	4	labels disagree
Q1468374		6	7	labels disagree
Q19976679	Otto Johan Lagerfelt	6	1	agreed
Q21093951		6	2	labels disagree
Q2256348		6	10	labels disagree
Q2313994		6	3	labels disagree
Q23930953		6	5	labels disagree
Q2477025		6	3	labels disagree
Q2569084	Kunigunde van Bronckhorst	6	1	agreed
Q274606		6	28	labels disagree
Q30879127	Guigues VII de Forez	6	1	agreed
Q3292894		6	3	labels disagree
Q3298994		6	5	labels disagree
Q478034		6	13	labels disagree
Q4953197		6	2	labels disagree
Q5590208		6	2	labels disagree
Q567640		6	7	labels disagree
Q5823775	Ivar Insulander	6	1	agreed
Q5916183		6	3	labels disagree
Q5916852	Lorens Kockum	6	1	agreed
Q5951786		6	3	labels disagree
Q5959493	Jonas Petri Linnerius	6	1	agreed
Q60366		6	18	labels disagree
Q6259734	John Sutton II	6	1	agreed
Q716713		6	5	labels disagree
Q81363375	Claes Henrik Fries	6	1	agreed
Q88505543	Adolf Fredriksson	6	1	agreed
Q928894		6	7	labels disagree
Q929593		6	7	labels disagree
Q95972040	William Sinclair	6	1	agreed
Q97821557	Anna Katarina Åkerhielm	6	1	agreed
Q98180381	Christina Elisabeth Nordenadler	6	1	agreed
Q99373530	Carl Magnus Nordin	6	1	agreed
Q10281618		5	2	labels disagree
Q104224002		5	2	labels disagree
Q10511229		5	2	labels disagree
Q105726316		5	2	labels disagree
Q106590904		5	2	labels disagree
Q109663400	Sofia Catharina Norlindh	5	1	agreed
Q109835201	Lovisa Löf	5	1	agreed
Q109835560	Hedda Vogt	5	1	agreed
Q11443857		5	2	labels disagree
Q1174096		5	6	labels disagree
Q1219183		5	4	labels disagree
Q12285173		5	4	labels disagree
Q1241802		5	2	labels disagree
Q135513404	Roland Martin	5	1	agreed
Q15057415		5	2	labels disagree
Q155244		5	13	labels disagree
Q1633831		5	8	labels disagree
Q16617598	Pedro Rodríguez de Castro	5	1	agreed
Q167200		5	9	labels disagree
Q16851600		5	8	labels disagree
Q18171573	Hélène Bouwens van der Boijen	5	1	agreed
Q18674287		5	2	labels disagree
Q19061035	Guttorm Åsulvsson	5	1	agreed
Q19976772	Simon Melander	5	1	agreed
Q21055295		5	7	labels disagree
Q21105949		5	3	labels disagree
Q23771011	Vasco Fernandes de Ataíde	5	1	agreed
Q2426674		5	3	labels disagree
Q26239714		5	2	labels disagree
Q26239902		5	2	labels disagree
Q287656		5	4	labels disagree
Q3071926		5	6	labels disagree
Q3142578		5	3	labels disagree
Q359687		5	18	labels disagree
Q3611830		5	2	labels disagree
Q3742711		5	6	labels disagree
Q3880823		5	4	labels disagree
Q43974		5	49	labels disagree
Q441547		5	8	labels disagree
Q47457772	María de Luna y Bobadilla	5	1	agreed
Q528666		5	8	labels disagree
Q5493305		5	2	labels disagree
Q55640714		5	4	labels disagree
Q5580703		5	2	labels disagree
Q5590194	Nils Burensköld	5	1	agreed
Q5667373	Alfonso de Valencia y Bracamonte	5	1	agreed
Q57611953		5	2	labels disagree
Q5884303	Johan Casparsson Poppelman	5	1	agreed
Q5915800	Knut Algotsson	5	1	agreed
Q6180419		5	3	labels disagree
Q6190771	Emil Stjernvall-Walleen	5	1	agreed
Q62287082		5	2	labels disagree
Q63049344		5	2	labels disagree
Q66722417	Anne Wedderkop	5	1	agreed
Q75388632		5	2	labels disagree
Q75431910		5	2	labels disagree
Q75445669	Johann Goransson	5	1	agreed
Q75807267		5	3	labels disagree
Q75807319		5	3	labels disagree
Q76081		5	8	labels disagree
Q7613001		5	5	labels disagree
Q828346		5	2	labels disagree
Q9157762		5	4	labels disagree
Q94790988	Martin Törngren	5	1	agreed
Q99803157	Ana Maria de Bragança e Ligne de Sousa Tavares Mascarenhas da Silva	5	1	agreed
Q1056804		4	2	labels disagree
Q105944783		4	3	labels disagree
Q108654979	Petronella Ottilie von Schwencke	4	1	agreed
Q109835400		4	2	labels disagree
Q109835411		4	2	labels disagree
Q110304572		4	2	labels disagree
Q110395711		4	2	labels disagree
Q11094143		4	2	labels disagree
Q11368515	Tango no Naishi	4	1	agreed
Q11492951	Koremune no Hirokoto	4	1	agreed
Q11916130		4	5	labels disagree
Q12201493		4	6	labels disagree
Q12278990	Domitia Faustina	4	1	agreed
Q12284966	Licinia	4	1	agreed
Q12874612	Berenice	4	1	agreed
Q12981477		4	4	labels disagree
Q1551162		4	4	labels disagree
Q15711188		4	6	labels disagree
Q16124683		4	3	labels disagree
Q1616020	Hesso III. von Backnang	4	1	agreed
Q16206914		4	3	labels disagree
Q1711992		4	6	labels disagree
Q176912		4	6	labels disagree
Q178823		4	23	labels disagree
Q18397598		4	3	labels disagree
Q18593060	Fulk Fitzwarine	4	1	agreed
Q18613031	Karl Gregersson	4	1	agreed
Q1914050	Boudewijn III van Gent	4	1	agreed
Q19325685		4	2	labels disagree
Q2173021		4	5	labels disagree
Q2418892		4	5	labels disagree
Q2478961		4	6	labels disagree
Q276248		4	8	labels disagree
Q27825482		4	2	labels disagree
Q28374049	Federico I Pico	4	1	agreed
Q28374110	Aura da Montefeltro	4	1	agreed
Q3027416		4	4	labels disagree
Q3107795		4	2	labels disagree
Q31181694		4	3	labels disagree
Q31191456		4	2	labels disagree
Q3122357	Guyonnet de Laval	4	1	agreed
Q3172643		4	7	labels disagree
Q3186792	Jourdain de l'Isle	4	1	agreed
Q323126		4	4	labels disagree
Q3290242		4	6	labels disagree
Q339658		4	7	labels disagree
Q3502241		4	6	labels disagree
Q3743799		4	7	labels disagree
Q40686243	Elvira Pérez de Lara	4	1	agreed
Q432490		4	8	labels disagree
Q450894		4	9	labels disagree
Q451893		4	15	labels disagree
Q45383466		4	2	labels disagree
Q45461100	Pei Hongzhi	4	1	agreed
Q4666520		4	6	labels disagree
Q4819209		4	4	labels disagree
Q48757365	Gaillard IV de Durfort	4	1	agreed
Q557302		4	7	labels disagree
Q56735448		4	2	labels disagree
Q571179		4	12	labels disagree
Q5712230	Johan Mathias von Engeström	4	1	agreed
Q5797554	Detlof Heijkenskjöld den yngre	4	1	agreed
Q58072966	Väinö Ossian Anthoni	4	1	agreed
Q5920901		4	3	labels disagree
Q6188549		4	2	labels disagree
Q6247235	Otto Gustaf Wrede	4	1	agreed
Q62650741		4	6	labels disagree
Q63049340		4	2	labels disagree
Q64802		4	17	labels disagree
Q66316931	Fredric Ulric Abraham Bäck	4	1	agreed
Q66316940	Anna Sophia Ihre	4	1	agreed
Q68377		4	14	labels disagree
Q708191		4	9	labels disagree
Q7183080		4	5	labels disagree
Q7458642		4	5	labels disagree
Q75291134	Claude de Lorraine	4	1	agreed
Q75384777	Thomas Plantagenet	4	1	agreed
Q75854959		4	5	labels disagree
Q75917080	Catherine Pellew	4	1	agreed
Q7810305		4	3	labels disagree
Q81827036	Albert von Molbach	4	1	agreed
Q823177		4	10	labels disagree
Q83276398		4	3	labels disagree
Q85875399	Martim Vasques I de Soverosa	4	1	agreed
Q85986394	Henrik Tomas Adlercreutz	4	1	agreed
Q873218		4	7	labels disagree
Q886688		4	6	labels disagree
Q91361630	Valeria Messallia	4	1	agreed
Q94732131	Margareta Moers	4	1	agreed
Q94910724	Joachim Engelcke von Bernstorff	4	1	agreed
Q96335515		4	3	labels disagree
Q99302524	Maredudd Gethin ab Yr Arglwydd Rhys	4	1	agreed
Q100369234		3	2	labels disagree
Q101247544		3	4	labels disagree
Q102227210		3	2	labels disagree
Q10374817		3	3	labels disagree
Q103773586	Anna Sinclair	3	1	agreed
Q1054435		3	11	labels disagree
Q105834490		3	4	labels disagree
Q108379177	Elisabeth von Hessen	3	1	agreed
Q109296043	Ulrika Catharina Koskull	3	1	agreed
Q109296452		3	2	labels disagree
Q109829800	Eva Helena von Fersen	3	1	agreed
Q109852820	Kustaa Adolf Järnefelt	3	1	agreed
Q110151789		3	3	labels disagree
Q110260857	August von der Schulenburg	3	1	agreed
Q110303080		3	3	labels disagree
Q110303124		3	2	labels disagree
Q110304545		3	2	labels disagree
Q110521323		3	4	labels disagree
Q110588144		3	2	labels disagree
Q112302365		3	2	labels disagree
Q116439449	Abraham Grafström	3	1	agreed
Q11933695		3	4	labels disagree
Q122479		3	27	labels disagree
Q125989		3	14	labels disagree
Q1284091		3	8	labels disagree
Q1332128		3	5	labels disagree
Q1340404		3	12	labels disagree
Q134498447	Elisabet von Stedingk	3	1	agreed
Q15069149		3	2	labels disagree
Q15118568		3	6	labels disagree
Q1553793		3	3	labels disagree
Q1581954		3	9	labels disagree
Q15914619	Lu Hongyi	3	1	agreed
Q16121272		3	6	labels disagree
Q16170625		3	2	labels disagree
Q16408094		3	3	labels disagree
Q16555509		3	4	labels disagree
Q16639111		3	3	labels disagree
Q18672779		3	2	labels disagree
Q1906363	Frederunde Kettler zu Assen	3	1	agreed
Q1934051		3	9	labels disagree
Q19984708		3	2	labels disagree
Q20003478		3	3	labels disagree
Q2014842		3	7	labels disagree
Q2016254		3	3	labels disagree
Q2069863		3	7	labels disagree
Q2071583		3	7	labels disagree
Q20732053		3	4	labels disagree
Q2088136		3	3	labels disagree
Q21100240		3	3	labels disagree
Q21116363		3	2	labels disagree
Q2161741		3	7	labels disagree
Q2461780		3	9	labels disagree
Q249971		3	8	labels disagree
Q2512654		3	3	labels disagree
Q251752		3	17	labels disagree
Q25355502		3	3	labels disagree
Q2587965		3	6	labels disagree
Q2591886		3	9	labels disagree
Q264233		3	12	labels disagree
Q26959922		3	3	labels disagree
Q273181		3	12	labels disagree
Q2778853		3	13	labels disagree
Q29401074		3	3	labels disagree
Q298628		3	21	labels disagree
Q299618		3	17	labels disagree
Q3024596		3	6	labels disagree
Q3099363		3	2	labels disagree
Q310435		3	29	labels disagree
Q3145021		3	7	labels disagree
Q314521		3	23	labels disagree
Q3286784		3	6	labels disagree
Q3337817	Nicolaas II van Bronckhorst	3	1	agreed
Q355579		3	8	labels disagree
Q3879462		3	10	labels disagree
Q39996		3	24	labels disagree
Q4020195		3	6	labels disagree
Q42656745		3	2	labels disagree
Q4495341		3	5	labels disagree
Q466257		3	20	labels disagree
Q48925112	Hedwige de Roucy	3	1	agreed
Q4971843		3	5	labels disagree
Q4981287		3	4	labels disagree
Q498352		3	10	labels disagree
Q504792		3	19	labels disagree
Q504797		3	10	labels disagree
Q513087		3	4	labels disagree
Q520568		3	13	labels disagree
Q5429645		3	6	labels disagree
Q54964202		3	3	labels disagree
Q55233923		3	3	labels disagree
Q5544629		3	8	labels disagree
Q56403540	Daniel Lindh	3	1	agreed
Q5643854		3	2	labels disagree
Q5876270		3	3	labels disagree
Q6069928		3	5	labels disagree
Q62083853		3	5	labels disagree
Q62657659		3	5	labels disagree
Q63092361		3	6	labels disagree
Q63972997		3	2	labels disagree
Q708932		3	21	labels disagree
Q75247163		3	2	labels disagree
Q75290437	Thomasse de Montfort	3	1	agreed
Q75291135		3	2	labels disagree
Q75291928		3	2	labels disagree
Q75293753	Elizabeth Aton	3	1	agreed
Q75322562		3	2	labels disagree
Q75345478	Philipp Ernst Graf zu Hohenlohe-Langenburg	3	1	agreed
Q75360474	Maria Enrichetta Salviati	3	1	agreed
Q75386879		3	3	labels disagree
Q75507762	Margaret Wyndham	3	1	agreed
Q75577007	Alexander Atchesonne	3	1	agreed
Q75597371	Lady Joan Neville	3	1	agreed
Q75789756	Nesta fitz Maurice	3	1	agreed
Q76250299	Vendela Mariana Johanna Sofia von Wright	3	1	agreed
Q76327924		3	3	labels disagree
Q77059608		3	2	labels disagree
Q919247		3	15	labels disagree
Q933505		3	8	labels disagree
Q934645		3	9	labels disagree
Q94775227	Katharina Auguste Stenbock	3	1	agreed
Q94775402	Catharina von Hagemeister	3	1	agreed
Q94938559	Friedrich Frommhold von Knorring	3	1	agreed
Q95243484	Jürgen Johann Maydell	3	1	agreed
Q97210542	Ernst Eduard von der Schulenburg	3	1	agreed
Q97783170		3	3	labels disagree
