export,family_id,husband_geni_id,husband_name,wife_geni_id,wife_name,has_wife,n_children,children_geni_ids,children_names,marr_place,div_raw,marr_raw,marr_iso,marr_precision,marr_year,marr_month,marr_day,marr_year_end,marr_modifier
exports\archive\export-geni\export-Forest-15.ged,6000000178918444846,6000000178918444842,Azariah /Samaritan High Priest/,,,no,1,6000000178918285871,Aabed-El /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917883843,6000000178917883839,Levi II /Samaritan High Priest/,,,no,2,6000000178918011846 6000000178918011846,Eleazar II /Samaritan High Priest/ | Eleazar II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917879869,6000000178917879865,Netaniel I /Samaritan High Priest/,,,no,1,6000000178918444842,Azariah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918011850,6000000178918011846,Eleazar II /Samaritan High Priest/,,,no,2,6000000178918614821 6000000178918614821,Manasseh /Samaritan High Priest/ | Manasseh /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918385831,6000000178918385827,Levi I /Samaritan High Priest/,,,no,1,6000000178917879865,Netaniel I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918116836,6000000178918614821,Manasseh /Samaritan High Priest/,6000000178918116832,daughter of Sanballat the Horonite,yes,2,6000000178918541826 6000000178918541826,Jair IV /Samaritan High Priest/ | Jair IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916928883,6000000178916928879,Seriah /Samaritan High Priest/,,,no,1,6000000178918385827,Levi I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918196838,6000000016254584618,"Sanballat ""the Horonite"" Governor of Samaria",,,no,1,6000000178918116832,daughter of Sanballat the Horonite,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918541830,6000000178918541826,Jair IV /Samaritan High Priest/,,,no,2,6000000178918574821 6000000178918574821,Netaniel II /Samaritan High Priest/ | Netaniel II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918718827,6000000178918718823,Hillel I /Samaritan High Priest/,,,no,1,6000000178916928879,Seriah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918574825,6000000178918574821,Netaniel II /Samaritan High Priest/,,,no,2,6000000178915542947 6000000178915542947,Joachim /Samaritan High Priest/ | Joachim /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916918925,6000000178916918921,Akkubiah I /Samaritan High Priest/,,,no,1,6000000178918718823,Hillel I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178915542951,6000000178915542947,Joachim /Samaritan High Priest/,,,no,2,6000000178918520823 6000000178918520823,Jonathan III /Samaritan High Priest/ | Jonathan III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178914668985,6000000178914668980,Akkub /Samaritan High Priest/,,,no,1,6000000178916918921,Akkubiah I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918520827,6000000178918520823,Jonathan III /Samaritan High Priest/,,,no,2,6000000178918494826 6000000178918494826,Elishama /Samaritan High Priest/ | Elishama /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918544829,6000000178918544825,Amram II /Samaritan High Priest/,,,no,1,6000000178914668980,Akkub /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918494830,6000000178918494826,Elishama /Samaritan High Priest/,,,no,2,6000000178917225876 6000000178917225876,Shemaiah /Samaritan High Priest/ | Shemaiah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178914966949,6000000178914966945,Hilkiah or Hezekiah II /Samaritan High Priest/,,,no,1,6000000178918544825,Amram II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917225880,6000000178917225876,Shemaiah /Samaritan High Priest/,,,no,2,6000000178918246839 6000000178918246839,Tabia II /Samaritan High Priest/ | Tabia II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918625835,6000000178918625831,Amram I. /Samaritan High Priest/,,,no,1,6000000178914966945,Hilkiah or Hezekiah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918246843,6000000178918246839,Tabia II /Samaritan High Priest/,,,no,2,6000000178918015868 6000000178918015868,Amram IV /Samaritan High Priest/ | Amram IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917117905,6000000178917117901,Zadok /Samaritan High Priest/,,,no,1,6000000178918625831,Amram I. /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918015872,6000000178918015868,Amram IV /Samaritan High Priest/,,,no,2,6000000178917722864 6000000178917722864,Akabon I /Samaritan High Priest/ | Akabon I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916666924,6000000178916666920,Jehozadak /Samaritan High Priest/,,,no,1,6000000178917117901,Zadok /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917722868,6000000178917722864,Akabon I /Samaritan High Priest/,,,no,2,6000000178918207842 6000000178918207842,Phinehas II /Samaritan High Priest/ | Phinehas II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917518902,6000000178917518898,Jair III /Samaritan High Priest/,,,no,1,6000000178916666920,Jehozadak /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918207846,6000000178918207842,Phinehas II /Samaritan High Priest/,,,no,2,6000000178917758844 6000000178917758844,Levi III /Samaritan High Priest/ | Levi III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918366842,6000000178918366838,Ahid /Samaritan High Priest/,,,no,1,6000000178917518898,Jair III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917758848,6000000178917758844,Levi III /Samaritan High Priest/,,,no,2,6000000178917662852 6000000178917662852,Eleazar III /Samaritan High Priest/ | Eleazar III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918631834,6000000178918631830,Zedekiah I /Samaritan High Priest/,,,no,1,6000000178918366838,Ahid /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917662856,6000000178917662852,Eleazar III /Samaritan High Priest/,,,no,2,6000000178917369858 6000000178917369858,Baba I /Samaritan High Priest/ | Baba I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918838827,6000000178918838823,Tabia I /Samaritan High Priest/,,,no,1,6000000178918631830,Zedekiah I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917369862,6000000178917369858,Baba I /Samaritan High Priest/,,,no,2,6000000178918374828 6000000178918374828,Eleazar IV /Samaritan High Priest/ | Eleazar IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918851825,6000000178918851821,Ishmael ben Jonathan /Samaritan High Priest/,,,no,1,6000000178918838823,Tabia I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918374832,6000000178918374828,Eleazar IV /Samaritan High Priest/,,,no,2,6000000178916547925 6000000178916547925,Akabon II /Samaritan High Priest/ | Akabon II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918714861,6000000178918714857,Jonathan II ben Jair /Samaritan High Priest/,,,no,1,6000000178918851821,Ishmael ben Jonathan /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916547929,6000000178916547925,Akabon II /Samaritan High Priest/,,,no,2,6000000178918192840 6000000178918192840,Netaniel III /Samaritan High Priest/ | Netaniel III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917445867,6000000178917445863,Jair II ben Daliah /Samaritan High Priest/,,,no,1,6000000178918714857,Jonathan II ben Jair /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918192844,6000000178918192840,Netaniel III /Samaritan High Priest/,,,no,2,6000000178918027844 6000000178918027844,Baba Rabba /Samaritan High Priest/ | Baba Rabba /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918812834,6000000178918812830,Daliah I /Samaritan High Priest/,,,no,1,6000000178917445863,Jair II ben Daliah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918027850,6000000178918027844,Baba Rabba /Samaritan High Priest/,,,no,2,6000000178913798001 6000000178913798001,Akabon III /Samaritan High Priest/ | Akabon III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918426867,6000000178918426863,Jair I ben Jonathan /Samaritan High Priest/,,,no,1,6000000178918812830,Daliah I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178913798005,6000000178913798001,Akabon III /Samaritan High Priest/,,,no,2,6000000178917506855 6000000178917506855,Netaniel IV /Samaritan High Priest/ | Netaniel IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917300880,6000000178917300876,Jonathan I /Samaritan High Priest/,,,no,1,6000000178918426863,Jair I ben Jonathan /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917506859,6000000178917506855,Netaniel IV /Samaritan High Priest/,,,no,2,6000000178916715907 6000000178916715907,Akabon IV /Samaritan High Priest/ | Akabon IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178913855071,6000000178913855067,Hezekiah I ben Shalom /Samaritan High Priest/,,,no,1,6000000178917300876,Jonathan I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916715911,6000000178916715907,Akabon IV /Samaritan High Priest/,,,no,2,6000000178916677903 6000000178916677903,Eleazar V /Samaritan High Priest/ | Eleazar V /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918781828,6000000178918781824,Shalom I ben Shembet /Samaritan High Priest/,,,no,1,6000000178913855067,Hezekiah I ben Shalom /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916677907,6000000178916677903,Eleazar V /Samaritan High Priest/,,,no,1,6000000178917661869,Akabon V /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918692832,6000000178918692828,Shembet ben Bakhi /Samaritan High Priest/,,,no,1,6000000178918781824,Shalom I ben Shembet /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917661873,6000000178917661869,Akabon V /Samaritan High Priest/,,,no,1,6000000178917172871,Eleazar VI /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178915984986,6000000178915984982,Bakhi II ben Sashai /Samaritan High Priest/,,,no,1,6000000178918692828,Shembet ben Bakhi /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917172875,6000000178917172871,Eleazar VI /Samaritan High Priest/,,,no,1,6000000178918444821,Akabon VI /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918714884,6000000178796053821,Shashai II ben Uzzi /Samaritan High Priest/,,,no,1,6000000178915984982,Bakhi II ben Sashai /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918444825,6000000178918444821,Akabon VI /Samaritan High Priest/,,,no,1,6000000178918134827,Eleazar VII /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918814853,6000000178918814849,Uzzi ben Bakhi /High Priest/,,,no,1,6000000178796053821,Shashai II ben Uzzi /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918134831,6000000178918134827,Eleazar VII /Samaritan High Priest/,,,no,1,6000000178917376830,Netaniel V /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000020710695161,6000000006131567298,Darius,,,no,2,6000000178918422849 6000000178918422849,daughter of the king of Assyria | daughter of the king of Assyria,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917712851,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,6000000178918422849,daughter of the king of Assyria,yes,2,6000000178918560829 6000000178918560829,Hezekiah IV /Samaritan High Priest/ | Hezekiah IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918623829,6000000178918623825,Amram III /Samaritan High Priest/,,,no,1,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918560833,6000000178918560829,Hezekiah IV /Samaritan High Priest/,,,no,2,6000000178918443849 6000000178918443849,Daliah II /Samaritan High Priest/ | Daliah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918599830,6000000178918599826,Hananiah /Samaritan High Priest/,,,no,1,6000000178918623825,Amram III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918443853,6000000178918443849,Daliah II /Samaritan High Priest/,,,no,2,6000000178918571830 6000000178918571830,Akkub II /Samaritan High Priest/ | Akkub II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918655837,6000000178918655833,Hezekiah III /Samaritan High Priest/,,,no,1,6000000178918599826,Hananiah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918571834,6000000178918571830,Akkub II /Samaritan High Priest/,,,no,2,6000000178918529825 6000000178918529825,Akkubiah II /Samaritan High Priest/ | Akkubiah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918285875,6000000178918285871,Aabed-El /Samaritan High Priest/,,,no,1,6000000178918655833,Hezekiah III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918529829,6000000178918529825,Akkubiah II /Samaritan High Priest/,,,no,2,6000000178917883839 6000000178917883839,Levi II /Samaritan High Priest/ | Levi II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918444846,6000000178918444842,Azariah /Samaritan High Priest/,,,no,1,6000000178918285871,Aabed-El /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917883843,6000000178917883839,Levi II /Samaritan High Priest/,,,no,2,6000000178918011846 6000000178918011846,Eleazar II /Samaritan High Priest/ | Eleazar II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917879869,6000000178917879865,Netaniel I /Samaritan High Priest/,,,no,1,6000000178918444842,Azariah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918011850,6000000178918011846,Eleazar II /Samaritan High Priest/,,,no,2,6000000178918614821 6000000178918614821,Manasseh /Samaritan High Priest/ | Manasseh /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918385831,6000000178918385827,Levi I /Samaritan High Priest/,,,no,1,6000000178917879865,Netaniel I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918116836,6000000178918614821,Manasseh /Samaritan High Priest/,6000000178918116832,daughter of Sanballat the Horonite,yes,2,6000000178918541826 6000000178918541826,Jair IV /Samaritan High Priest/ | Jair IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916928883,6000000178916928879,Seriah /Samaritan High Priest/,,,no,1,6000000178918385827,Levi I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918196838,6000000016254584618,"Sanballat ""the Horonite"" Governor of Samaria",,,no,1,6000000178918116832,daughter of Sanballat the Horonite,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918541830,6000000178918541826,Jair IV /Samaritan High Priest/,,,no,2,6000000178918574821 6000000178918574821,Netaniel II /Samaritan High Priest/ | Netaniel II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918718827,6000000178918718823,Hillel I /Samaritan High Priest/,,,no,1,6000000178916928879,Seriah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918574825,6000000178918574821,Netaniel II /Samaritan High Priest/,,,no,2,6000000178915542947 6000000178915542947,Joachim /Samaritan High Priest/ | Joachim /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916918925,6000000178916918921,Akkubiah I /Samaritan High Priest/,,,no,1,6000000178918718823,Hillel I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178915542951,6000000178915542947,Joachim /Samaritan High Priest/,,,no,2,6000000178918520823 6000000178918520823,Jonathan III /Samaritan High Priest/ | Jonathan III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178914668985,6000000178914668980,Akkub /Samaritan High Priest/,,,no,1,6000000178916918921,Akkubiah I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918520827,6000000178918520823,Jonathan III /Samaritan High Priest/,,,no,2,6000000178918494826 6000000178918494826,Elishama /Samaritan High Priest/ | Elishama /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918544829,6000000178918544825,Amram II /Samaritan High Priest/,,,no,1,6000000178914668980,Akkub /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918494830,6000000178918494826,Elishama /Samaritan High Priest/,,,no,2,6000000178917225876 6000000178917225876,Shemaiah /Samaritan High Priest/ | Shemaiah /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178914966949,6000000178914966945,Hilkiah or Hezekiah II /Samaritan High Priest/,,,no,1,6000000178918544825,Amram II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917225880,6000000178917225876,Shemaiah /Samaritan High Priest/,,,no,2,6000000178918246839 6000000178918246839,Tabia II /Samaritan High Priest/ | Tabia II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918625835,6000000178918625831,Amram I. /Samaritan High Priest/,,,no,1,6000000178914966945,Hilkiah or Hezekiah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918246843,6000000178918246839,Tabia II /Samaritan High Priest/,,,no,2,6000000178918015868 6000000178918015868,Amram IV /Samaritan High Priest/ | Amram IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917117905,6000000178917117901,Zadok /Samaritan High Priest/,,,no,1,6000000178918625831,Amram I. /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918015872,6000000178918015868,Amram IV /Samaritan High Priest/,,,no,2,6000000178917722864 6000000178917722864,Akabon I /Samaritan High Priest/ | Akabon I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916666924,6000000178916666920,Jehozadak /Samaritan High Priest/,,,no,1,6000000178917117901,Zadok /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917722868,6000000178917722864,Akabon I /Samaritan High Priest/,,,no,2,6000000178918207842 6000000178918207842,Phinehas II /Samaritan High Priest/ | Phinehas II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917518902,6000000178917518898,Jair III /Samaritan High Priest/,,,no,1,6000000178916666920,Jehozadak /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918207846,6000000178918207842,Phinehas II /Samaritan High Priest/,,,no,2,6000000178917758844 6000000178917758844,Levi III /Samaritan High Priest/ | Levi III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918366842,6000000178918366838,Ahid /Samaritan High Priest/,,,no,1,6000000178917518898,Jair III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917758848,6000000178917758844,Levi III /Samaritan High Priest/,,,no,2,6000000178917662852 6000000178917662852,Eleazar III /Samaritan High Priest/ | Eleazar III /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918631834,6000000178918631830,Zedekiah I /Samaritan High Priest/,,,no,1,6000000178918366838,Ahid /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917662856,6000000178917662852,Eleazar III /Samaritan High Priest/,,,no,2,6000000178917369858 6000000178917369858,Baba I /Samaritan High Priest/ | Baba I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918838827,6000000178918838823,Tabia I /Samaritan High Priest/,,,no,1,6000000178918631830,Zedekiah I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178917369862,6000000178917369858,Baba I /Samaritan High Priest/,,,no,2,6000000178918374828 6000000178918374828,Eleazar IV /Samaritan High Priest/ | Eleazar IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918851825,6000000178918851821,Ishmael ben Jonathan /Samaritan High Priest/,,,no,1,6000000178918838823,Tabia I /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918374832,6000000178918374828,Eleazar IV /Samaritan High Priest/,,,no,1,6000000178916547925,Akabon II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178918714861,,,,,no,1,6000000178918851821,Ishmael ben Jonathan /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-16.ged,6000000178916547929,6000000178916547925,Akabon II /Samaritan High Priest/,,,no,0,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000020710695161,6000000006131567298,Darius,,,no,1,6000000178918422849,daughter of the king of Assyria,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917712851,6000000178917712846,Hillel II/Hanan /Samaritan High Priest/,6000000178918422849,daughter of the king of Assyria,yes,1,6000000178918560829,Hezekiah IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918560833,6000000178918560829,Hezekiah IV /Samaritan High Priest/,,,no,1,6000000178918443849,Daliah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918443853,6000000178918443849,Daliah II /Samaritan High Priest/,,,no,1,6000000178918571830,Akkub II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918571834,6000000178918571830,Akkub II /Samaritan High Priest/,,,no,1,6000000178918529825,Akkubiah II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918529829,6000000178918529825,Akkubiah II /Samaritan High Priest/,,,no,1,6000000178917883839,Levi II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178917883843,6000000178917883839,Levi II /Samaritan High Priest/,,,no,1,6000000178918011846,Eleazar II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918011850,6000000178918011846,Eleazar II /Samaritan High Priest/,,,no,1,6000000178918614821,Manasseh /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918116836,6000000178918614821,Manasseh /Samaritan High Priest/,6000000178918116832,daughter of Sanballat the Horonite,yes,1,6000000178918541826,Jair IV /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918541830,6000000178918541826,Jair IV /Samaritan High Priest/,,,no,1,6000000178918574821,Netaniel II /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178918574825,6000000178918574821,Netaniel II /Samaritan High Priest/,,,no,1,6000000178915542947,Joachim /Samaritan High Priest/,,,,,,,,,,
exports\archive\export-geni\export-Forest-17.ged,6000000178915542951,6000000178915542947,Joachim /Samaritan High Priest/,,,no,1,6000000178918520823,Jonathan III /Samaritan High Priest/,,,,,,,,,,
