kind,name,people,scripts,verdict,qids
family,越州山陰,74,Han,no item — could be created,
family,강,74,Hangul,no item — could be created,
family,White,73,Latin,has an item,Q1215200
family,Amundsen,73,Latin,has an item,Q16148979
family,Drake,73,Latin,has an item,Q16869662
family,Al-Najjari,73,Latin,no item — could be created,
family,沈,72,Han,no item — could be created,
family,de Narbonne,72,Latin,has an item,Q105248042
family,Nilsen,71,Latin,has an item,Q21449502
family,Moore,71,Latin,has an item,Q10588869
family,Calvert,71,Latin,has an item,Q27897265
family,拓跋,71,Han,no item — could be created,
family,泉州晉江,71,Han,no item — could be created,
family,鄭,70,Han,no item — could be created,
family,Sveinsvoll,70,Latin,no item — could be created,
family,Gustafsson,70,Latin,has an item,Q23304595
family,Johansdotter,69,Latin,has an item,Q47514474
family,Jones,69,Latin,has an item,Q59853
family,Bradford,69,Latin,has an item,Q23542895
family,Salte,69,Latin,no item — could be created,
family,加藤,69,Han,no item — could be created,
family,九条,69,Han,no item — could be created,
family,Montague,69,Latin,has an item,Q16877350
family,Tott,68,Latin,has an item,Q45854140
family,Сапега,68,Cyrillic,no item — could be created,
family,"Schleswig-Holstein, Oldenburg",68,Latin,no item — could be created,
family,Чингизид,68,Cyrillic,no item — could be created,
family,von Gleichen,67,Latin,no item — could be created,
family,Rantzau,67,Latin,has an item,Q21506781
family,de Sousa,67,Latin,several items share the label,Q55739047 | Q99908123
family,de Bourbon,67,Latin,has an item,Q98890770
family,Merriman,67,Latin,has an item,Q29573224
family,三条,67,Han,no item — could be created,
family,Годунов,67,Cyrillic,no item — could be created,
family,Christiansen,67,Latin,has an item,Q11963736
family,de Aragón,66,Latin,has an item,Q47492686
family,Rurikid,66,Latin,no item — could be created,
family,Tu,66,Latin,several items share the label,Q11151574 | Q4464775
family,de Courtenay,66,Latin,has an item,Q76909999
family,Douglas,66,Latin,has an item,Q2677358
family,Sapiega,66,Latin,no item — could be created,
family,泰山南城,66,Han,no item — could be created,
family,de Castellane,65,Latin,has an item,Q63951643
family,Olsson,65,Latin,has an item,Q21497082
family,Pedersdatter,65,Latin,has an item,Q122838114
family,Lunge,65,Latin,has an item,Q6704315
family,de France,65,Latin,has an item,Q55280644
family,上杉,65,Han,no item — could be created,
family,d'Agoult,64,Latin,has an item,Q65329742
family,Bonaparte,64,Latin,has an item,Q24530160
family,Kjærulf,64,Latin,no item — could be created,
family,Cook,64,Latin,has an item,Q2671214
family,Youngblood,64,Latin,has an item,Q25802735
family,Lovett,64,Latin,has an item,Q16872546
family,山内,64,Han,no item — could be created,
family,南部,64,Han,no item — could be created,
family,趙州柏鄉,64,Han,no item — could be created,
family,di Savoia,63,Latin,has an item,Q114970715
family,الأسدي,63,Arabic,no item — could be created,
family,Nese,63,Latin,no item — could be created,
family,Bull,62,Latin,no item — could be created,
family,Curtis,62,Latin,has an item,Q12787162
family,Gjesdal,62,Latin,has an item,Q27888954
family,浅野,62,Han+Ideographic,no item — could be created,
family,足利,62,Han,no item — could be created,
family,배,62,Hangul,no item — could be created,
family,常州武進,62,Han,no item — could be created,
family,開封雍邱,62,Han,no item — could be created,
family,von Württemberg,61,Latin,has an item,Q113495620
family,Washburn,61,Latin,has an item,Q7971446
family,de Sabran,61,Latin,several items share the label,Q105128446 | Q99908086
family,Leonard,61,Latin,has an item,Q14704293
family,Gerstle,61,Latin,has an item,Q37563667
family,de Croÿ,61,Latin,has an item,Q104854494
family,Sapiegaitė,61,Latin,no item — could be created,
family,Searls,60,Latin,no item — could be created,
family,Vind,60,Latin,has an item,Q36938981
family,Vestly,60,Latin,has an item,Q40000023
family,Olsdtr,60,Latin,no item — could be created,
family,Bridges,60,Latin,has an item,Q16860438
family,Campbell,60,Latin,has an item,Q2665383
family,堀,60,Han,no item — could be created,
family,京兆府,60,Han,no item — could be created,
family,澧州,60,Han,no item — could be created,
family,Vijaya,60,Latin,no item — could be created,
family,Wood,59,Latin,has an item,Q1158452
family,Bernheimer,59,Latin,has an item,Q37543070
family,牧野,59,Han,no item — could be created,
family,Green,59,Latin,has an item,Q2703137
family,Carlsdotter,59,Latin,has an item,Q83344461
family,de la Garza de la Garza,59,Latin,no item — could be created,
family,العبقسي,59,Arabic,no item — could be created,
family,Eriksdotter,58,Latin,has an item,Q105530706
family,Al-Asadi,58,Latin,no item — could be created,
family,de Dreux,58,Latin,has an item,Q104802460
family,Plantagenet,58,Latin,has an item,Q111729332
family,Hatteland,58,Latin,no item — could be created,
family,Harbou,58,Latin,has an item,Q47001796
family,de Brienne,58,Latin,has an item,Q63396083
family,Saxton,58,Latin,has an item,Q21488844
family,Přemyslovec,58,Latin,no item — could be created,
family,稲葉,58,Han,no item — could be created,
family,姜,58,Han,no item — could be created,
family,趙郡平棘,58,Han,no item — could be created,
family,Ferreira,57,Latin,has an item,Q10281657
family,Morton,57,Latin,has an item,Q13570390
family,Piast,57,Latin,no item — could be created,
family,Mitchell,57,Latin,has an item,Q179205
family,de Châtillon,57,Latin,several items share the label,Q104825290 | Q105128269
family,Calkins,57,Latin,has an item,Q21507497
family,المخزومي,57,Arabic,no item — could be created,
family,"Wettin, Ernestiner",56,Latin,no item — could be created,
family,Buckland,56,Latin,has an item,Q16860619
family,Pozzo di Borgo,56,Latin,has an item,Q51237345
family,井上,56,Han,no item — could be created,
family,佐竹,56,Han,no item — could be created,
family,Sapieha,56,Cyrillic+Latin,has an item,Q21502237
family,芈姓,56,Han,no item — could be created,
family,송,56,Hangul,no item — could be created,
family,隴西,56,Han,no item — could be created,
family,Rurikov,55,Latin,no item — could be created,
family,House,55,Latin,has an item,Q19902419
family,d'Anjou,55,Latin,has an item,Q63453818
family,Nielsdatter,55,Latin,has an item,Q122837792
family,Orre,55,Latin,no item — could be created,
family,Hale,55,Latin,has an item,Q16870404
family,森,55,Han,no item — could be created,
family,朱,55,Han+Latin,no item — could be created,
family,الخزرجي,55,Arabic,no item — could be created,
family,崔,55,Han,no item — could be created,
family,Oldham,54,Latin,has an item,Q16880705
family,Galen,54,Latin,no item — could be created,
family,Mansbridge,54,Latin,no item — could be created,
family,von Sachsen,54,Latin,no item — could be created,
family,Jansdotter,54,Latin,no item — could be created,
family,Al-Adawi,54,Latin,no item — could be created,
family,丹羽,54,Han,no item — could be created,
family,京極,54,Han,no item — could be created,
family,Larsdatter,54,,has an item,Q122837357
family,鉅鹿曲城,54,Han,no item — could be created,
family,Outlaw,54,Latin,no item — could be created,
family,de Thouars,53,Latin,has an item,Q104803129
family,González,53,Latin,several items share the label,Q37108481 | Q5576697
family,Fløysvik,53,Latin,no item — could be created,
family,Closson,53,Latin,no item — could be created,
family,da Cunha,53,Latin,has an item,Q64765873
family,Stokka,53,Latin,no item — could be created,
family,التيمي,53,Arabic,no item — could be created,
family,Bruell,53,Latin,has an item,Q37503669
family,陈,53,Han,no item — could be created,
family,Crabb,53,Latin,has an item,Q37445298
family,Post,52,Latin,has an item,Q21491634
family,Øyre,52,Latin,no item — could be created,
family,Tachibana,52,Latin,several items share the label,Q16884158 | Q26216117
family,Al-Zaydi,52,Latin,no item — could be created,
family,Barton,52,Latin,several items share the label,Q4865782 | Q790941
family,Courtenay,52,Latin,has an item,Q37553656
family,Briggs,52,Latin,has an item,Q12786498
family,Nielsen,52,Latin,has an item,Q16511256
family,Savage,52,Latin,has an item,Q13560071
family,Baker,52,Latin,has an item,Q2658150
family,Al-Uqayli,52,Latin,no item — could be created,
family,成都華陽,52,Han,no item — could be created,
family,Capet,51,Latin,has an item,Q2937271
family,Gaylord,51,Latin,has an item,Q29614694
family,d'Auvergne,51,Latin,has an item,Q93972551
family,Rodríguez de Montemayor,51,Latin,no item — could be created,
family,Schwarzburg,51,Latin,no item — could be created,
family,Sørensen,51,Latin,has an item,Q21493124
family,畠山,51,Han,no item — could be created,
family,Bjorgo,51,Latin,no item — could be created,
family,譙國龍亢,51,Han,no item — could be created,
family,Bliss,50,Latin,has an item,Q25114859
family,Rud,50,Latin,has an item,Q37125751
family,d'Anduze,50,Latin,no item — could be created,
family,de Villeneuve,50,Latin,has an item,Q63759848
family,Correia,50,Latin,has an item,Q30525611
family,慕容,50,Han,no item — could be created,
family,宇文,50,Han,no item — could be created,
family,Horve,49,Latin,no item — could be created,
family,Terry,49,Latin,has an item,Q2405539
family,高,49,Han,no item — could be created,
family,de Poitiers,49,Latin,has an item,Q106626337
family,Standley,49,Latin,has an item,Q21450271
family,de Clermont,49,Latin,has an item,Q88387579
family,木下,49,Han,no item — could be created,
family,Pace,49,Latin,has an item,Q7121894
family,板倉,49,Han,no item — could be created,
family,van Assendelft,49,Latin,no item — could be created,
family,Serigstad,49,Latin,no item — could be created,
family,Standen,49,Latin,has an item,Q37262647
family,SEE,49,Latin,several items share the label,Q105234967 | Q37133783
family,류,49,Hangul,no item — could be created,
family,Kruse,48,Latin,has an item,Q21449748
family,Oldenburg,48,Latin,has an item,Q16880703
family,von Bayern,48,Latin,has an item,Q115819240
family,Frafjord,48,Latin,has an item,Q38902733
family,Orstad,48,Latin,has an item,Q37184846
family,Rood,48,Latin,has an item,Q16882262
family,ap Llywarch,48,Latin,no item — could be created,
family,de Namur,48,Latin,no item — could be created,
family,de Voisins,48,Latin,has an item,Q104540079
family,Bass,48,Latin,has an item,Q21501431
family,Chabot,48,Latin,has an item,Q21492860
family,蜂須賀,48,Han,no item — could be created,
family,永井,48,Han,no item — could be created,
family,de Lima,48,Latin,has an item,Q21475251
family,Al-Khazraji,48,Latin,no item — could be created,
family,東海郯縣,48,Han,no item — could be created,
family,de Marseille,47,Latin,has an item,Q105180754
family,Reve,47,Latin,has an item,Q65769129
family,Wilcox,47,Latin,has an item,Q17142673
family,Lima,47,Latin,has an item,Q11255517
family,Ersson,47,Latin,has an item,Q20856684
family,Krag,47,Latin,has an item,Q18331124
family,Przemyslides,47,Latin,no item — could be created,
family,Byrkjeland,47,Latin,no item — could be created,
family,二条,47,Han,no item — could be created,
family,Dolatshahi,47,Latin,no item — could be created,
family,三宅,47,Han,no item — could be created,
family,de Mendonça,47,Latin,no item — could be created,
family,de Montlaur,47,Latin,has an item,Q104832217
family,Faesch,47,Latin,has an item,Q87571749
family,百済王,47,Han,no item — could be created,
family,Шелешпанский,47,Cyrillic,no item — could be created,
family,Helvik,46,Latin,no item — could be created,
family,Church,46,Latin,has an item,Q16865586
family,Whittemore,46,Latin,has an item,Q16956981
family,Parsons,46,Latin,has an item,Q16880979
family,Fernandes,46,Latin,has an item,Q21510337
family,العدوي,46,Arabic,no item — could be created,
family,Høle,46,Latin,no item — could be created,
family,Díaz,46,Latin,several items share the label,Q1209239 | Q5255562
family,de Azevedo,46,Latin,has an item,Q63350830
family,de Blois,46,Latin,has an item,Q25113852
family,Griswold,46,Latin,no item — could be created,
family,鳥居,46,Han,no item — could be created,
family,Hohenlohe,46,Latin,has an item,Q106604841
family,鍋島,46,Han,no item — could be created,
family,壽州,46,Han,no item — could be created,
family,河北道河南府,46,Han,no item — could be created,
family,京兆武功,46,Han,no item — could be created,
family,원,46,Hangul,no item — could be created,
family,Kvæven,45,Latin,no item — could be created,
family,Henriques,45,Latin,has an item,Q16870705
family,Eikeland,45,Latin,has an item,Q28872484
family,Jensdatter,45,Latin,has an item,Q28406312
family,Heath,45,Latin,has an item,Q21481527
family,de Picquigny,45,Latin,no item — could be created,
family,d'Auxy,45,Latin,no item — could be created,
family,del Balzo,45,Latin,no item — could be created,
family,WONG,45,Latin,has an item,Q16242398
family,Abbey,45,Latin,has an item,Q4663971
family,Juul,45,Latin,has an item,Q30736942
family,佐久間,45,Han,no item — could be created,
family,Hjørnevik,45,Latin,no item — could be created,
family,Handeland,45,Latin,no item — could be created,
family,Mossige,45,Latin,no item — could be created,
family,Ousdal,45,Latin,has an item,Q96478328
family,de Barros,45,Latin,has an item,Q56246446
family,al-Awadhli,45,Latin,no item — could be created,
family,von Thüringen,44,Latin,no item — could be created,
family,Taylor,44,Latin,has an item,Q15080511
family,Al-Idrisi,44,Latin,no item — could be created,
family,Krummedige,44,Latin,has an item,Q51059378
family,Eriksen,44,Latin,has an item,Q27887926
family,Skjæveland,44,Latin,no item — could be created,
family,Fernández,44,Latin,several items share the label,Q164892 | Q28912637
family,de Coucy,44,Latin,has an item,Q99539203
family,Sele,44,Latin,no item — could be created,
family,Засекин,44,Cyrillic,no item — could be created,
family,الزهري,44,Arabic,no item — could be created,
family,山名,44,Han,no item — could be created,
family,Anderson,44,Latin,has an item,Q1848748
family,Gjesteland,44,Latin,no item — could be created,
family,Mauland,44,Latin,no item — could be created,
family,Oliver,44,Latin,several items share the label,Q16931215 | Q2110096
family,Colonna,44,Latin,has an item,Q16865694
family,LEE,44,Latin,several items share the label,Q11983535 | Q12794688 | Q2061957
family,閬州閬中,44,Han,no item — could be created,
family,蘇州吳縣,44,Han,no item — could be created,
family,Ухтомский,44,Cyrillic,no item — could be created,
family,채,44,Hangul,no item — could be created,
family,de Périgord,43,Latin,no item — could be created,
family,de Comminges,43,Latin,has an item,Q104591758
family,de Ponthieu,43,Latin,has an item,Q104832225
family,de Barcelona,43,Latin,no item — could be created,
family,Howard,43,Latin,has an item,Q908051
family,Al-Adnani,43,Latin,no item — could be created,
family,de Villarreal de la Garza,43,Latin,no item — could be created,
family,العامري,43,Arabic,no item — could be created,
family,日野,43,Han,no item — could be created,
family,溝口,43,Han,no item — could be created,
family,阿部,43,Han,no item — could be created,
family,松浦,43,Han,no item — could be created,
family,China,43,Latin,has an item,Q37229573
family,土井,43,Han,no item — could be created,
family,Tunheim,43,Latin,no item — could be created,
family,吳興長城,43,Han,no item — could be created,
family,القحطاني,43,Arabic,no item — could be created,
family,التغلبي,43,Arabic,no item — could be created,
family,Tendeland,43,Latin,no item — could be created,
family,한,43,Hangul,no item — could be created,
family,de Vendôme,42,Latin,no item — could be created,
family,d'Aragona,42,Latin,has an item,Q55087679
family,Babcock,42,Latin,has an item,Q29949678
family,Kyllingstad,42,Latin,no item — could be created,
family,Rød,42,Latin,has an item,Q25114363
family,Soares,42,Latin,has an item,Q20823845
family,de Hainaut,42,Latin,has an item,Q105532661
family,Merrell,42,Latin,has an item,Q28919317
family,King,42,Latin,has an item,Q535214
family,Banner,42,Latin,has an item,Q16479802
family,Rodrigues,42,Latin,has an item,Q16471351
family,de Cabrera,42,Latin,has an item,Q78600500
family,Løland,42,Latin,has an item,Q27889353
family,Al-Qahtani,42,Latin,no item — could be created,
family,Noblin,42,Latin,no item — could be created,
family,Mathisen,42,Latin,has an item,Q21484913
