orderlife_qid,label,wikidata_qid,geni_id,already_on
Q4652,Jezebel,Q721295,,Q721295
Q135118,Pygmalion of Tyre,Q1879787,,Q1879787
Q4662,Azubah,Q4833002,,Q4833002
Q4663,Shilhi,Q133454594,,Q133454594
Q4669,Bathsheba,Q272277,6000000000961703981,Q272277
Q4675,Nahor,Q6323112,,Q6323112
Q4676,Milcah,Q1752707,,Q1752707
Q4681,Julia Avita Mamaea,Q235090,,Q235090
Q4714,Tlotzin - Atzotzocoltzin Tenayuca - Tlotzin Pachotl,,6000000032801280821,Q25638790
Q4721,Xolotl,Q6412164,,Q6412164
Q4851,Xiuhtomiyauhtzin,Q8044802,,Q8044802
Q6421,Shaodian,Q4302144,,Q4302144
Q6422,Fubao,Q16075936,,Q16075936
Q6423,Yandi,Q3056696,,Q3056696
Q6424,Nüjie,Q16076907,,Q16076907
Q6425,Leizu,Q1441379,,Q1441379
Q6426,Momu,Q8262857,,Q8262857
Q6427,Feng Leishi,Q16078598,,Q16078598
Q6428,Tongyushi,Q28409803,,Q28409803
Q6429,Shaohao,Q1147250,,Q1147250
Q6430,Changyi,Q6377648,,Q6377648
Q6431,Nuba,Q797424,,Q797424
Q6432,Jimmu,Q200188,,Q200188
Q6433,Fuxi,Q236972,,Q236972
Q6434,Ugayafukiaezu,Q1373935,,Q1373935
Q6435,Nüwa,Q641632,,Q641632
Q6436,Tamayori-hime,Q3082751,,Q3082751
Q6437,Nü Deng,Q16076902,,Q16076902
Q6438,Toyotama-hime,Q2329261,,Q2329261
Q6439,kontol,Q110980265,,Q110980265
Q6440,Hiko Itsuse no Mikoto,Q10881970,,Q10881970
Q6441,Jiao Ji,Q10514592,,Q10514592
Q6442,Inai no Mikoto,Q11420805,,Q11420805
Q6443,Jing Pu,Q16076341,,Q16076341
Q6444,Mikeiri no Mikoto,Q11071195,,Q11071195
Q6445,Zhuanxu,Q198180,,Q198180
Q6446,Himetataraisuzuhime,Q5353793,,Q5353793
Q6447,Jade Emperor,Q860434,,Q860434
Q6448,Ahiratsuhime,Q10919837,,Q10919837
Q6449,Tagishimimi,Q11075750,,Q11075750
Q6450,Leigong,Q1910200,,Q1910200
Q6451,Huaxu,Q9511624,,Q9511624
Q6452,Hikoyai-no-mikoto,Q11086120,,Q11086120
Q6453,Emperor Ku,Q721756,,Q721756
Q6454,Kamuyaimimi-no-mikoto,Q11588756,,Q11588756
Q6455,Qiong Chan,Q10752092,,Q10752092
Q6456,Emperor Suizei,Q313321,,Q313321
Q6457,Cheng,Q6430545,,Q6430545
Q6458,Kishimi Mino Mikoto,Q13257020,,Q13257020
Q6459,Gun,Q1157063,,Q1157063
Q6460,Hoori,Q1051960,,Q1051960
Q6461,Gao Yao,Q3659487,,Q3659487
Q6462,Xu Fu,Q1474187,,Q1474187
Q6463,Dianmu,Q15952897,,Q15952897
Q6464,Kotoshironushi,Q8009611,,Q8009611
Q6465,常宜,Q10279892,,Q10279892
Q6467,Tamakushi-hime,Q11572681,,Q11572681
Q6468,Qingdou,Q10285339,,Q10285339
Q6469,Kamo no Kimi,Q55809532,,Q55809532
Q6470,Jiang Yuan,Q7991016,,Q7991016
Q6471,Isuzu-yori Hime-no-mikoto,Q10881557,,Q10881557
Q6472,Jiandi,Q4976554,,Q4976554
Q6473,Honosusori,Q10731395,,Q10731395
Q6474,Yao,Q819556,,Q819556
Q6475,Takeiwatatsu no Mikoto,Q10888904,,Q10888904
Q6476,Emperor Zhi,Q1207922,,Q1207922
Q6477,Kawamata-hime,Q11553361,,Q11553361
Q6478,Hou Ji,Q1207613,,Q1207613
Q6479,Itoorihime,Q108040082,,Q108040082
Q6480,Xie of Shang,Q1045160,,Q1045160
Q6481,Emperor Annei,Q313345,,Q313345
Q6482,Taisi,Q10915782,,Q10915782
Q6483,Ninigi,Q1056017,,Q1056017
Q6484,Jingkang,Q10299225,,Q10299225
Q6485,Konohananosakuya-bime,Q1781862,,Q1781862
Q6486,老童,Q10483675,,Q10483675
Q6487,Honoakari,Q60673696,,Q60673696
Q6488,Nü Zhi,Q17004942,,Q17004942
Q6489,Hoderi,Q2716491,,Q2716491
Q6490,Yu the Great,Q627784,,Q627784
Q6491,Izanagi,Q813858,,Q813858
Q6492,Ehuang,Q7991612,,Q7991612
Q6493,Izanami,Q682306,,Q682306
Q6494,Nüying,Q7480137,,Q7480137
Q6495,Utsushi Hikanasaku no Mikoto,Q86736058,,Q86736058
Q6496,Danzhu,Q5221466,,Q5221466
Q6497,Furutama-no-Mikoto,Q106241380,,Q106241380
Q6498,Buzhu,Q5003460,,Q5003460
Q6500,Kamuyatate hime no mikoto,Q30935372,,Q30935372
Q6501,Zhao Ming,Q11088970,,Q11088970
Q6502,Tagitsuhime,Q10932592,,Q10932592
Q6503,Shujun,Q7504811,,Q7504811
Q6504,Mihotsuhime,Q6378698,,Q6378698
Q52450,Csü-vang,Q9569181,,Q9569181
Q6506,Mimatsuhiko-Irodo-no-Mikoto,Q86728909,,Q86728909
Q6507,Ngo Hoi,Q6842973,,Q6842973
Q6508,Mikashikiyahime,Q11341880,,Q11341880
Q6509,Tu Shan Shi,Q6380852,,Q6380852
Q6510,Nagasunehiko,Q4922278,,Q4922278
Q6511,Qi of Xia,Q186544,,Q186544
Q6512,Yamatototohimomosohime no mikoto,Q11387098,,Q11387098
Q6515,Shangjun,Q6380869,,Q6380869
Q6516,Kamo Taketsunomi,Q11634939,,Q11634939
Q6517,Ji Ju,Q13403508,,Q13403508
Q6518,Yakusanoikazuchi,Q10892534,,Q10892534
Q6519,Xiangtu,Q5098875,,Q5098875
Q6520,Kamo Wake-ikazuchi,Q11634943,,Q11634943
Q52510,Csiao-niu,Q7664534,,Q7664534
Q6523,Luc Chung,Q4844885,,Q4844885
Q6524,Nunasoko Nakatsu-hime,Q11561868,,Q11561868
Q6525,Tai Kang,Q1155744,,Q1155744
Q6526,Takeihikatsu-no-Mikoto,Q108729745,,Q108729745
Q6527,Zhong Kang,Q1195050,,Q1195050
Q6528,Tensori no Mikoto,Q125364551,,Q125364551
Q6529,Gusou,Q10438384,,Q10438384
Q6530,Hayamikatama no Mikoto,Q134864637,,Q134864637
Q6531,Wodeng,Q7878975,,Q7878975
Q6532,Otoshiki,Q55530315,,Q55530315
Q6533,Xiang,Q4499078,,Q4499078
Q6535,Gongliu of Zhou,Q1022885,,Q1022885
Q6536,Okimi no Mikoto,Q11492323,,Q11492323
Q6537,Chang Ruo,Q11087645,,Q11087645
Q6538,Emperor Itoku,Q271536,,Q271536
Q6539,Côn Ngô,Q6790090,,Q6790090
Q6540,Shikitsuhiko no Mikoto,Q106617602,,Q106617602
Q6541,Peng Zu,Q2194386,,Q2194386
Q6542,Ame no Oshihomimi,Q462555,,Q462555
Q6543,Yan An,Q10323320,,Q10323320
Q6544,Takuhadachiji-hime no Mikoto,Q11110848,,Q11110848
Q6545,Jilian,Q10122188,,Q10122188
Q6546,honoakari,Q10940411,,Q10940411
Q6547,Xiang of Xia,Q1195067,,Q1195067
Q6549,Qingjie,Q7234080,,Q7234080
Q6551,Ame-no-Kaguyama,Q10940849,,Q10940849
Q6552,Cao Yu,Q11090990,,Q11090990
Q6553,Omodaru,Q84864895,,Q84864895
Q6554,Hou Min,Q16076173,,Q16076173
Q6555,Ayakashikone,Q84864913,,Q84864913
Q6556,Shaokang,Q1195072,,Q1195072
Q6557,Hiruko,Q1067028,,Q1067028
Q6558,Huáng Pú,Q16906325,,Q16906325
Q6559,Ahashima,Q13275856,,Q13275856
Q6560,Ming,Q10895187,,Q10895187
Q6561,Oogotooshionokami,Q10933447,,Q10933447
Q6562,Zhu of Xia,Q428030,,Q428030
Q6563,Katakurokushin,Q11455406,,Q11455406
Q6564,Wu Yu,Q5292912,,Q5292912
Q6566,Chà Fú,Q16904959,,Q16904959
Q6567,Shinatsuhiko,Q1073925,,Q1073925
Q6568,Wáng Hài,Q4898059,,Q4898059
Q6569,Wang Heng,Q4976681,,Q4976681
Q6570,Kukunochi,Q10749920,,Q10749920
Q6571,Kaya-no-hime,Q8191878,,Q8191878
Q6572,Huai of Xia,Q1204202,,Q1204202
Q6573,Tori no Iwakusufune no Kami,Q10731425,,Q10731425
Q6577,Kagu-tsuchi,Q1640658,,Q1640658
Q6578,Mang of Xia,Q1193745,,Q1193745
Q6579,Nakisawame,Q11144612,,Q11144612
Q6581,Magatsuhinokami,Q11591203,,Q11591203
Q6583,Xie of Xia,Q1193799,,Q1193799
Q6584,Naobinokami,Q11581794,,Q11581794
Q6586,Izunome,Q10885126,,Q10885126
Q6588,Sumiyoshi sanjin,Q1114013,,Q1114013
Q6589,Bu Jiang,Q1204198,,Q1204198
Q6590,Amaterasu,Q455602,,Q455602
Q6591,Jiong of Xia,Q780446,,Q780446
Q6593,Tsukuyomi,Q595520,,Q595520
Q6595,Susanoo,Q272993,,Q272993
Q6596,Kong Jia,Q1193337,,Q1193337
Q6597,Ebisu,Q1129330,,Q1129330
Q6598,Jin of Xia,Q1151674,,Q1151674
Q6599,Amanosakitama no Mikoto,Q106241395,,Q106241395
Q6601,Zhu Ren,Q10877438,,Q10877438
Q6602,Takeuioki-no-Mikoto,Q134845057,,Q134845057
Q6603,Gao of Xia,Q1202982,,Q1202982
Q6604,Kuroshima Isono Mikihime no Mikoto,Q134846348,,Q134846348
Q6605,King Tai of Zhou,Q198009,,Q198009
Q6606,Ame no Fuyu Kinu no kami,Q48744862,,Q48744862
Q6607,Zhu Kui,Q10877461,,Q10877461
Q6608,Kushinadahime,Q505469,,Q505469
Q6610,Fa of Xia,Q1151706,,Q1151706
Q6611,Takiribime,Q10932870,,Q10932870
Q6612,Tai Jiang,Q10941153,,Q10941153
Q6613,Ichikishimahime,Q11059454,,Q11059454
Q6614,King Ji of Zhou,Q1055128,,Q1055128
Q6615,Ame no Hohi,Q10940685,,Q10940685
Q6616,Taibo,Q1010535,,Q1010535
Q6617,Amatsuhikone,Q10940228,,Q10940228
Q6618,Zhongyong of Wu,Q8070990,,Q8070990
Q6619,Ikutsuhikone,Q11147583,,Q11147583
Q6620,Fu Du,Q11076304,,Q11076304
Q6621,Kumanokusubi,Q11298796,,Q11298796
Q6622,Tang,Q471820,6000000003645919410,Q471820
Q6623,Isotakeru,Q10881556,,Q10881556
Q6624,Oyatsuhime and Tsumatsuhime,Q10935047,,Q10935047
Q6625,Jie of Xia,Q465081,,Q465081
Q6626,Suseri-hime,Q8191715,,Q8191715
Q6627,Tai Ren,Q10940999,,Q10940999
Q6628,Toshigami,Q3028663,,Q3028663
Q6629,King Wen of Zhou,Q698909,6000000003645919420,Q698909
Q6630,Ukanomitama,Q3080728,,Q3080728
Q6631,Royal Third Eldest Uncle of Guo,Q15920778,,Q15920778
Q6632,Hitokotonushi,Q10864079,,Q10864079
Q6633,Royal Second Eldest Uncle of Guo,Q15920204,,Q15920204
Q6635,Ji Jian,Q6822467,,Q6822467
Q6637,Da Ding of Shang,Q888231,6000000007212973651,Q888231
Q6639,Bu Bing,Q536732,,Q536732
Q6640,Ya kami hime,Q10891903,,Q10891903
Q6641,Zhong Ren,Q197821,,Q197821
Q6642,Nunakawa hime,Q11142832,,Q11142832
Q6643,Mo Xi,Q845197,,Q845197
Q6644,Totori no kami,Q48760952,,Q48760952
Q6645,Tai Si,Q866471,,Q866471
Q6646,Ajisukitakahikone,Q506610,,Q506610
Q6647,King Wu of Zhou,Q1061289,,Q1061289
Q6648,Takeminakata,Q9150391,,Q9150391
Q6649,Dan of Zhou,Q468747,,Q468747
Q6650,Shitateruhime,Q11307233,,Q11307233
Q25380,Bo Yikao,Q2923034,,Q2923034
Q6652,Ki no mata no kami,Q11092833,,Q11092833
Q25381,Xian of Guan,Q5962509,,Q5962509
Q6654,Torinarumi no kami,Q55522639,,Q55522639
Q25382,Du of Cai,Q159173,,Q159173
Q25383,Royal Uncle of Wey–Kang,Q5962686,,Q5962686
Q6658,Takamimusubi,Q125400,,Q125400
Q25384,Yu of Cheng,Q11495392,,Q11495392
Q6660,Nigihayahi,Q10949054,,Q10949054
Q25385,Zai of Dan,Q6509543,,Q6509543
Q6662,Umashimaji,Q10946169,,Q10946169
Q25386,Zheng of Mao,Q11126481,,Q11126481
Q6665,Jamatonokunikahime,Q97539246,,Q97539246
Q25387,Chu of Huo,Q10565905,,Q10565905
Q6667,Princess Chichihayahime,Q10904825,,Q10904825
Q25388,Zhenduo of Cao,Q5952376,,Q5952376
Q6669,Princess Yamatototowakayahime,Q11387099,,Q11387099
Q6671,Kibitsuhiko-no-mikoto,Q65318,,Q65318
Q6673,Prince Wakatakehiko,Q11596350,,Q11596350
Q6680,Futodama,Q11059539,,Q11059539
Q6686,Asotsuhime no Mikoto,Q134864773,,Q134864773
Q6687,Hikomiko no Kami,Q134864981,,Q134864981
Q6689,Ide,Q97613685,,Q97613685
Q6690,Amenotaneko,Q106107027,,Q106107027
Q6691,Amatoyotsuhimenomikoto,Q10940731,,Q10940731
Q6692,Futomawakahime-no-mikoto,Q97613702,,Q97613702
Q6693,Izumi-hime,Q97613678,,Q97613678
Q6696,Ame-no-Koyane,Q2564508,,Q2564508
Q6697,Ame-no-Oshikumone,Q91088537,,Q91088537
Q6698,Kamuo Ichihime,Q11588867,,Q11588867
Q6699,Konohanachiruhime,Q48745675,,Q48745675
Q6700,Iwasaku and Nesaku,Q11287276,,Q11287276
Q6701,Iwatsutsunoo,Q9010200,,Q9010200
Q6702,Mikahayahi-no-Mikoto,Q11574224,,Q11574224
Q6703,Takemikazuchi,Q1502690,,Q1502690
Q6704,Kuraokami,Q644201,,Q644201
Q6705,Kuramitsuha,Q11299063,,Q11299063
Q6707,Yashimajinumi no kami,Q55522907,,Q55522907
Q6708,Takakuraji,Q11668757,,Q11668757
Q6709,Shiinetsuhiko,Q11120574,,Q11120574
Q6710,Oasahiko-no-Mikoto,Q134846383,,Q134846383
Q6711,Omizunu,Q48745416,,Q48745416
Q6712,Futemimi,Q65266228,,Q65266228
Q6713,Eighty Gods,Q65249011,,Q65249011
Q6715,Takehiratori,Q11065428,,Q11065428
Q6716,Ame no Mahitotsu no kami,Q10016750,,Q10016750
Q6719,Yasakatome,Q9150392,,Q9150392
Q6725,Ame no Wakahiko,Q10940674,,Q10940674
Q6726,Hinateri-Nukada-Bichio-Ikochini-no-Kami,Q65269923,,Q65269923
Q6728,Omoikane,Q586088,,Q586088
Q6731,Sukunabikona,Q3275687,,Q3275687
Q6735,Empress Oshihime,Q11076797,,Q11076797
Q6737,Kasuganochichihajajamakahime,Q97539424,,Q97539424
Q6739,Empress Utsusikome,Q11544859,,Q11544859
Q6740,Ikagashikome,Q10885176,,Q10885176
Q6742,Emperor Kaika,Q333548,,Q333548
Q6743,Yamatototohime no mikoto,Q11387096,,Q11387096
Q6744,Prince Hikofutsuoshinomakoto,Q11487911,,Q11487911
Q6748,Harima no Inabi no Ooiratsume,Q11078587,,Q11078587
Q6749,Kibinotakehikonomikoto,Q18226257,,Q18226257
Q6756,Ama-no-Uzume,Q462803,,Q462803
Q6761,Futomawakahiko,Q97613651,,Q97613651
Q6762,Yosotarashi hime,Q10869205,,Q10869205
Q6763,Kunitatsu no Kami,Q134864839,,Q134864839
Q6764,Hime Miko no Kami,Q134864847,,Q134864847
Q6765,Wakahime no Kami,Q134865017,,Q134865017
Q6768,Usami no Mikoto,Q110796060,,Q110796060
Q6769,Ametarashihiko kunioshihito no mikoto,Q11443593,,Q11443593
Q6771,Uwaharu and Shitaharu,Q10940723,,Q10940723
Q6772,Fuha-no-Mojikunusunu,Q65266248,,Q65266248
Q6773,Futsunushi,Q1107286,,Q1107286
Q6774,Ame-no-Ohabari,Q10939046,,Q10939046
Q6775,Ame no Murakumo,Q106241464,,Q106241464
Q6776,Shimatsu-no-Mikoto,Q134846523,,Q134846523
Q6777,Fukabuchi-no-Mizuyarehana,Q65272471,,Q65272471
Q6778,Ame-no-Tsudoechine,Q55533659,,Q55533659
Q6779,Funozuno,Q65266238,,Q65266238
Q6780,Kushiyatama,Q86734749,,Q86734749
Q6785,Takehazuchi,Q10940642,,Q10940642
Q6791,Ōhesoki,Q106106718,,Q106106718
Q6792,Sujin,Q333530,,Q333530
Q6793,Princess Mimatsuhime,Q11489233,,Q11489233
Q6794,Takenunakawawake,Q11546050,,Q11546050
Q6795,Empress Mimakihime,Q11071228,,Q11071228
Q6796,Takanohime,Q106379581,,Q106379581
Q6797,Washihime,Q106381102,,Q106381102
Q6798,Oketsu-hime no mikoto,Q97496338,,Q97496338
Q6799,Hikoimasu,Q11487910,,Q11487910
Q6800,Hikojumusumi no mikoto,Q106381839,,Q106381839
Q6802,Prince Yanushioshiotakeokokoro,Q11465637,,Q11465637
Q6804,Yamato Takeru,Q461258,,Q461258
Q6805,Prince Oousu,Q11438297,,Q11438297
Q6806,Wakoneko,Q110449883,,Q110449883
Q6807,Prince Kamukushi,Q11590432,,Q11590432
Q6810,Anihime,Q108043809,,Q108043809
Q6812,Kisagai-hime and Umugi-hime,Q11296639,,Q11296639
Q6818,Amaoshio no mikoto,Q97613650,,Q97613650
Q6820,Mishokutsuomi no Mikoto,Q110796235,,Q110796235
Q6821,Hiko Wanabe Oshijinmei,Q106379651,,Q106379651
Q6822,Hikawa-hime,Q65270244,,Q65270244
Q6824,Takehayamochi no mikoto,Q134847813,,Q134847813
Q6827,Ikaga Shikoo,Q55536799,,Q55536799
Q6832,Suinin,Q314850,,Q314850
Q6833,Princess Kunikatahime,Q10926851,,Q10926851
Q6834,Princess Chichitsukuyamatohime,Q10904824,,Q10904824
Q6835,Prince Yamatohiko,Q11387083,,Q11387083
Q6836,Prince Toyokiirihiko,Q11633375,,Q11633375
Q6837,Toyosukiirihime no mikoto,Q10532771,,Q10532771
Q6838,Princess Nunakiirihime,Q11561867,,Q11561867
Q6839,Princess Toochiniirihime,Q10904619,,Q10904619
Q6840,Yasakairihime no mikoto,Q10892048,,Q10892048
Q6841,Yasaka no Irihiko no Mikoto,Q14759414,,Q14759414
Q6842,Abe kogoto,Q97613711,,Q97613711
Q6848,Yamashiro-no-Otsutsukimawaka,Q11466268,,Q11466268
Q6849,Prince Sahohiko,Q11571755,,Q11571755
Q6851,Empress Sahohime,Q11571754,,Q11571754
Q6852,Tanba no Michinushi,Q11368587,,Q11368587
Q6856,Kushiukameshi no Mikoto,Q106106958,,Q106106958
Q6858,Kagehime,Q98083008,,Q98083008
Q6859,Takenouchi no Sukune,Q1073668,,Q1073668
Q6860,Umashiuti-no-Sukune,Q18225727,,Q18225727
Q6861,Hibasuhimenomikoto,Q8375821,,Q8375821
Q6862,Yamatohime-no-mikoto,Q4388732,,Q4388732
Q6863,Prince Ikatarashihiko,Q11372186,,Q11372186
Q6864,Prince Inishikiirihiko,Q11372194,,Q11372194
Q6865,Prince Tuburame,Q11394830,,Q11394830
Q6866,Prince Ikobayawake no Mikoto,Q11492324,,Q11492324
Q6867,Prince Iwatsukuwake,Q11587884,,Q11587884
Q6868,Ojiwake no mikoto,Q11620549,,Q11620549
Q6869,Prince Homutsuwake,Q11631423,,Q11631423
Q6871,Mizuha no Iratsume,Q108044394,,Q108044394
Q6872,Takata-hime,Q108044510,,Q108044510
Q6874,Ikawa-hime,Q110450080,,Q110450080
Q6875,Emperor Seimu,Q316672,,Q316672
Q6876,Prince Iokiirihiko,Q11372557,,Q11372557
Q6877,Prince Takekunikoriwake,Q11545861,,Q11545861
Q6878,Nunoshihime no Mikoto,Q65272539,,Q65272539
Q6879,Isakiirihikonomiko,Q18700560,,Q18700560
Q6882,Futaji Irihime,Q65248127,,Q65248127
Q6884,Miyazu-hime,Q11455216,,Q11455216
Q6886,Ashikami no Kamamiwake no Miko,Q11625165,,Q11625165
Q6890,Satahiko,Q11304722,,Q11304722
Q6891,Okitsu Yoso,Q97613681,,Q97613681
Q6892,Ikatsuomikoto,Q109599098,,Q109599098
Q6894,Hikokuni Ubazu no mikoto,Q106379661,,Q106379661
Q6895,Oketsu-hime,Q104539066,,Q104539066
Q6896,Nishiba no mikoto,Q134847899,,Q134847899
Q6905,Ototachibanahime,Q11487396,,Q11487396
Q6906,Kaguyahime no Mikoto,Q97539584,,Q97539584
Q6912,Nuteshiwake no Mikoto,Q106379492,,Q106379492
Q6914,Yatsunata,Q15275406,,Q15275406
Q6917,Kanime-Ikazuchi,Q11639141,,Q11639141
Q6921,Kamikikikatsu,Q106106971,,Q106106971
Q6923,Kuninazu no oukashima,Q99517269,,Q99517269
Q6924,Uji-hiko,Q98083052,,Q98083052
Q6925,Onagusa-hiko-no-mikoto,Q110871057,,Q110871057
Q6927,Soga no Ishikawa no Sukune,Q11625205,,Q11625205
Q6928,Ki no Tsuno,Q11605107,,Q11605107
Q6929,Katsuragi Sotsuhiko,Q11620922,,Q11620922
Q6932,Heguri no Tsuku,Q17216122,,Q17216122
Q6940,Otoyo no mikoto,Q97706258,,Q97706258
Q6941,Takeinadane,Q11486691,,Q11486691
Q6945,Nakatsuhime no Mikoto,Q11378496,,Q11378496
Q6946,Takaki no Irihime no Mikoto,Q55406525,,Q55406525
Q6947,Miyanushiya Kawaedahiuri,Q108043716,,Q108043716
Q6948,Otohime no Mikoto,Q55406538,,Q55406538
Q6950,Nintoku,Q313119,,Q313119
Q6952,Wakanuke-Futamata no Miko,Q13264213,,Q13264213
Q6955,Prince Uji no Wakiiratsuko,Q11619989,,Q11619989
Q6956,Yatanohimemiko,Q10892311,,Q10892311
Q6959,Nukata no Ónakachuhiko no Miko,Q55177820,,Q55177820
Q6960,Nashitomi,Q108616765,,Q108616765
Q6963,Hikokuni-fuki no mikoto,Q11487899,,Q11487899
Q6965,Idetasuni,Q134847938,,Q134847938
Q6967,Omisayama no Mikoto,Q99517230,,Q99517230
Q6973,Okinaga no Sukunu no miko,Q11492327,,Q11492327
Q6979,Kushitama-no-Mikoto,Q110871123,,Q110871123
Q6980,Mitsutomo Soga,Q11251684,,Q11251684
Q6986,Princess Iwa,Q1066593,,Q1066593
Q6990,Heguri no Matori,Q11483500,,Q11483500
Q6991,Nakatomi no Ikatsu,Q55536814,,Q55536814
Q7000,Kazuraki no Takanukahime,Q21995144,,Q21995144
Q7002,Prince Suminoe no Nakatsu,Q11381805,,Q11381805
Q7003,Emperor Hanzei,Q329769,,Q329769
Q7005,Prince Ookusaka,Q11438673,,Q11438673
Q7006,Princess Kusaka no hatabihime no Himemiko,Q11618290,,Q11618290
Q7008,Daidaishaku-o,Q11493025,,Q11493025
Q7010,Soncho Sane no Okimi,Q97961928,,Q97961928
Q7011,Nakashi no Himemiko,Q11366830,,Q11366830
Q7012,Ookuno no mikoto,Q108043405,,Q108043405
Q7014,Mimo no sukune,Q134847980,,Q134847980
Q7016,Kitone-no-Mikoto,Q97636304,,Q97636304
Q7021,Hanko Soga,Q11625210,,Q11625210
Q7027,Heguri no Shibi,Q24866636,,Q24866636
Q7029,Nakatomi no Amahisa,Q97160710,,Q97160710
Q7036,Tajima Hitaka,Q19850791,,Q19850791
Q7037,Sugakama Yuradomi,Q21995349,,Q21995349
Q7038,Ichinobe-no Oshiwa,Q2297842,,Q2297842
Q7040,Tsuno hime,Q108043463,,Q108043463
Q7041,Oto hime,Q108043473,,Q108043473
Q7048,Prince Mayowa,Q11582590,,Q11582590
Q7051,Prince Okinaga-no-Mate,Q11492328,,Q11492328
Q7052,Takefurukuma,Q11546000,,Q11546000
Q7054,Ichishi no Nagaochi,Q18700600,,Q18700600
Q7062,Soga no Koma,Q1092497,,Q1092497
Q7065,Katsuragi no Karahime,Q14759561,,Q14759561
Q7067,Nakatomi no Abiko,Q97160701,,Q97160701
Q7069,Mononobe no Me,Q11570697,,Q11570697
Q7074,Tajimamori,Q11316133,,Q11316133
Q7075,Tajima no Kiyohiko,Q55536880,,Q55536880
Q7077,Emperor Ninken,Q357266,,Q357266
Q7081,Kibi no Wakahime,Q52320208,,Q52320208
Q7082,Seinei,Q357273,,Q357273
Q7083,Prince Hoshikawa no Wakamiya,Q11512901,,Q11512901
Q7085,Kasuga no Iratsuko,Q11088801,,Q11088801
Q7086,Wakatarashihime,Q55533316,,Q55533316
Q7087,prince Oka-no-Wakugo,Q52717463,,Q52717463
Q7089,Princess Hiro Hime,Q11064567,,Q11064567
Q7090,Omi no Iratsume,Q106120180,,Q106120180
Q7093,Iso no Sukune,Q134863200,,Q134863200
