token	ja	zh	ko	note
Abildgård	アビルドゴールド	阿比尔德戈尔德	아빌드고르드	by rule
Abilgaard	アビルゴールド	阿比尔戈尔德	아빌가아르드	by rule
Abing	アビング	阿宾	아빙	by rule
Abner	アブナー	阿布内尔	압네르	attested on Wikidata (ja 10x, zh 0x)
Abo	アボ	阿博	아보	by rule
Aboazar	アボアザル	阿博阿扎尔	아보아자르	by rule
Aborim	アボリム	阿博里姆	아보림	by rule
Abraham	アブラハム	亚伯拉罕	압라함	attested on Wikidata (ja 34x, zh 18x)
Abrahams	エイブラハムス	阿布拉哈姆斯	압라함스	attested on Wikidata (ja 3x, zh 0x)
Abrahamsdatter	アブラハムスダッテル	阿布拉哈姆斯达特	압라함스다테르	composed by rule: Abrahams + -datter
Abrahamsdotter	アブラハムスドッテル	阿布拉哈姆斯多特	압라함스도테르	composed by rule: Abrahams + -dotter
Abrahamsen	アブラハムセン	亚伯拉罕森	압라함센	composed: Abraham + -sen
Abrahamson	アブラハムソン	亚伯拉罕松	압라함손	composed: Abraham + -son
Abrahamsson	アブラハムソン	阿布拉哈姆松	압라함손	composed by rule: Abraham + -sson
Abram	エイブラム	阿布拉姆	압람	attested on Wikidata (ja 7x, zh 0x)
Abramsdotter	アブラムスドッテル	阿布拉姆斯多特	압람스도테르	composed by rule: Abrams + -dotter
Abravanel	アブラヴァネル	阿布拉瓦内尔	압라바넬	by rule
Abreha	アブレハ	阿布雷哈	압레하	by rule
Abrehet	アブレヘト	阿布雷赫特	압레헤트	by rule
Abreu	アブレウ	阿布雷乌	압류	by rule
Abril	アブリル	阿布里尔	압릴	by rule
Absalon	アブサロン	阿布萨隆	압사론	by rule
Absalonsen	アブサロンセン	阿布萨隆森	압사론센	composed: Absalon + -sen
ABU	アブ	阿布	아부	by rule
Abu	アブー	阿布	아부	attested on Wikidata (ja 12x, zh 8x)
Abu-Shanab	アブスハナブ	阿布斯哈纳布	아부사납	by rule
Abul	アブル	阿布尔	아불	by rule
Abuna	アブナ	阿布纳	아부나	by rule
Abunasir	アブナシル	阿布纳西尔	아부나시르	by rule
Abutari	アブタリ	阿布塔里	아부타리	by rule
Aby	アビ	阿比	아비	by rule
Accius	アシウス	阿西乌斯	아큐스	by rule
Acebey	アセベイ	阿塞贝伊	아케베이	by rule
Acevedo	アセベド	阿塞韦多	아케베도	attested on Wikidata (ja 4x, zh 0x)
Acha	アカ	阿卡	아차	by rule
Acharneus	アカルネウス	阿卡尔内乌斯	아차르뉴스	by rule
Achille	アシル	阿希尔	아칠레	attested on Wikidata (ja 7x, zh 3x)
Achir	アキル	阿基尔	아치르	by rule
ACHMAD	アクマド	阿克马德	아츠마드	by rule
Achmad	アクマド	阿克马德	아츠마드	by rule
Achyudi	アキウディ	阿基乌迪	아츄디	by rule
Achá	アカ	阿卡	아차	by rule
Acik	アシク	阿西克	아키크	by rule
Ackerman	アッカーマン	阿凯尔曼	아케르만	attested on Wikidata (ja 4x, zh 0x)
Acolmiztli	アコルミズトリ	阿科尔米兹特利	아콜미즈트리	by rule
Acosta	アコスタ	阿科斯塔	아코스타	by rule
Acrótato	アクロタト	阿克罗塔托	아크로타토	by rule
Acáutli	アカウトリ	阿卡乌特利	아카우트리	by rule
Ad	アド	阿德	아드	by rule
ad-Dawla	アドダヴラ	阿德达夫拉	아다우라	by rule
ad-Din	アドディン	阿德丁	아딘	by rule
Ada	エイダ	艾达	아다	attested on Wikidata (ja 9x, zh 5x)
Adad-Apla-Idin	アダドアプライディン	阿达德阿普拉伊丁	아다다프라이딘	by rule
Adair	アデア	阿达伊尔	아다이르	attested on Wikidata (ja 8x, zh 0x)
Adalard	アダラルド	阿达拉尔德	아다라르드	by rule
Adalbald	アダルバルド	阿达尔巴尔德	아달발드	by rule
Adalbert	アーダルベルト	阿达尔贝尔特	아달베르트	attested on Wikidata (ja 10x)
Adalberto	アダルベルト	阿达尔贝尔托	아달베르토	by rule
Adalhard	アダルハルド	阿达尔哈尔德	아달하르드	by rule
Adalric	アダルリク	阿达尔里克	아달리크	by rule
Adalrico	アダルリコ	阿达尔里科	아달리코	by rule
Adam	アダム	亚当	아담	attested on Wikidata (ja 135x, zh 36x)
Adams	アダムズ	亚当斯	아담스	attested on Wikidata (ja 52x, zh 25x)
Adamu	アダム	阿达穆	아다무	by rule
Adarnase	アダルナセ	阿达尔纳塞	아다르나세	by rule
Adatuang	アダトアング	阿达图安	아다퇑	by rule
Adda	アダ	阿达	아다	by rule
Addie	アディエ	阿迪埃	아디에	by rule
Addis	アディス	阿迪斯	아디스	by rule
Adeeb	アデエブ	阿德埃布	아딥	by rule
Adeela	アデエラ	阿德埃拉	아디라	by rule
Adefonso	アデフォンソ	阿德丰索	아데폰소	by rule
Adeigjuborg	アデイユボルグ	阿德伊尤博尔格	아데이구보르그	by rule
Adel	アデル	阿德尔	아델	by rule
Adela	アデラ	阿德拉	아데라	by rule
Adelaide	アデレイド	阿德莱德	아데라이데	attested on Wikidata (ja 6x, zh 5x)
Adelais	アデライス	阿德拉伊斯	아데라이스	by rule
Adelaïde	アデライデ	阿德拉伊德	아데라이데	by rule
Adelbert	アデルバート	阿德尔贝尔特	아델베르트	attested on Wikidata (ja 5x, zh 0x)
Adele	アデル	阿黛尔	아데레	attested on Wikidata (ja 9x, zh 3x)
Adelfer	アデルフェル	阿德尔费尔	아델페르	by rule
Adelgis	アデルギス	阿德尔吉斯	아델기스	by rule
Adelhard	アデルハルド	阿德尔哈尔德	아델하르드	by rule
Adelheid	アーデルハイト	阿德尔赫伊德	아델헤이드	attested on Wikidata (ja 6x)
Adelheim	アデルヘイム	阿德尔赫伊姆	아델헤임	by rule
Adeline	アデリン	阿德利内	아데리네	attested on Wikidata (ja 2x)
Adelis	アデリス	阿德利斯	아데리스	by rule
Adelphius	アデルプヒウス	阿德尔普希乌斯	아델퓨스	by rule
Adelramn	アデルラムン	阿德尔拉姆恩	아델람느	by rule
Adelstein	アデルステイン	阿德尔斯特因	아델스테인	by rule
Adelswärd	アデルスヴァルト	阿德尔斯瓦德	아델스웨르드	attested on Wikidata (ja 10x, zh 12x)
Ademar	アデマル	阿德马尔	아데마르	by rule
ADHININGRAT	アドヒニングラト	阿德希宁拉特	아드히닝라트	by rule
Adhiningrat	アドヒニングラト	阿德希宁拉特	아드히닝라트	by rule
Adhémar	アドヘマル	阿德赫马尔	아드헤마르	by rule
Adi	アディ	阿迪	아디	by rule
Adiam	アディアム	阿迪阿姆	아디암	by rule
Adibrata	アディブラタ	阿迪布拉塔	아디브라타	by rule
Adie	アディエ	阿迪埃	아디에	by rule
Adikara	アディカラ	阿迪卡拉	아디카라	by rule
Adikoesoemo	アディコエソエモ	阿迪科埃索埃莫	아디쾨쇠모	by rule
Adilaga	アディラガ	阿迪拉加	아디라가	by rule
Adinal	アディナル	阿迪纳尔	아디날	by rule
ADINATA	アディナタ	阿迪纳塔	아디나타	by rule
Adinata	アディナタ	阿迪纳塔	아디나타	by rule
Adipaningrat	アディパニングラト	阿迪帕宁拉特	아디파닝라트	by rule
ADIPATI	アディパティ	阿迪帕蒂	아디파티	by rule
Adipati	アディパティ	阿迪帕蒂	아디파티	by rule
Adiredjo	アディレドヨ	阿迪雷德约	아디레조	by rule
Adisaputro	アディサプトロ	阿迪萨普特罗	아디사푸트로	by rule
Adisetya	アディセティア	阿迪塞蒂阿	아디세탸	by rule
Adislef	アディスレフ	阿迪斯莱夫	아디스레프	by rule
Adiwidjaja	アディヴィドヤヤ	阿迪维德雅雅	아디위자자	by rule
Adiwijaya	アディヴィヤヤ	阿迪维雅雅	아디위자야	by rule
Adj	アドイ	阿德伊	아즈	by rule
Adjat	アドヤト	阿德雅特	아자트	by rule
Adji	アドイ	阿德伊	아지	by rule
Adjie	アドイエ	阿德伊埃	아지에	by rule
adl	アドル	阿德尔	아드르	by rule
Adler	アドラー	阿德勒	아드레르	attested on Wikidata (ja 35x, zh 10x)
Adlerberg	アドレルベルグ	阿德莱尔贝尔格	아드레르베르그	by rule
Adlerheim	アドレルヘイム	阿德莱尔赫伊姆	아드레르헤임	by rule
Adlersberg	アドレルスベルグ	阿德莱尔斯贝尔格	아드레르스베르그	by rule
Admatha	アドマタ	阿德马塔	아드마타	by rule
Adolf	アドルフ	阿道夫	아돌프	attested on Wikidata (ja 112x, zh 14x)
ADOLF	アドルフ	阿多尔夫	아돌프	by rule
Adolfina	アドルフィナ	阿多尔菲纳	아돌피나	by rule
Adolph	アドルフ	阿道夫	아돌프	attested on Wikidata (ja 31x, zh 6x)
Adolphe	アドルフ	阿道夫	아돌페	attested on Wikidata (ja 23x, zh 12x)
Adolphina	アドルプヒナ	阿多尔普希纳	아돌피나	by rule
adoptivo	アドプティヴォ	阿多普蒂沃	아도프티보	by rule
Adp	アドプ	阿德普	아드프	by rule
Adpt	アドプト	阿德普特	아드프트	by rule
Adralestos	アドラレストス	阿德拉莱斯托斯	아드라레스토스	by rule
Adriaens	アドリアエンス	阿德里阿恩斯	아드리앤스	by rule
Adrian	エイドリアン	阿德里安	아드리안	attested on Wikidata (ja 25x, zh 3x)
Adriana	アドリアーナ	阿德里安娜	아드리아나	attested on Wikidata (ja 6x, zh 2x)
Adriansøn	アドリアンソン	阿德里安松	아드리안쇤	by rule
Adrianus	アドリアヌス	阿德里阿努斯	아드리아누스	by rule
Adrien	アドリアン	阿德里安	아드리엔	attested on Wikidata (ja 8x, zh 5x)
Adriyani	アドリヤニ	阿德里雅尼	아드리야니	by rule
Adwin	アドヴィン	阿德文	아드위느	by rule
Adélaïde	アデライード	阿德拉伊德	아데라이데	attested on Wikidata (ja 5x)
Adéle	アデレ	阿德莱	아데레	by rule
Aed	アエド	阿埃德	애드	by rule
Aeda	アエダ	阿埃达	애다	by rule
Aedh	アエド	阿埃德	애드흐	by rule
Aelia	アエリア	阿埃利阿	애리아	by rule
Aemilius	アエミリウス	埃米利乌斯	애미류스	attested on Wikidata (ja 11x, zh 3x)
Af	アフ	阿夫	아프	by rule
af	アフ	阿夫	아프	by rule
Afallach	アファラク	阿法拉克	아팔라츠	by rule
Afan	アファン	阿凡	아판	by rule
Afife	アフィフェ	阿菲费	아피페	by rule
Afonso	アフォンソ	阿方索	아폰소	attested on Wikidata (ja 9x, zh 2x)
Afrekan	アフレカン	阿夫雷坎	아프레칸	by rule
Africa	アフリカ	阿夫里卡	아프리카	by rule
Afsar	アフサル	阿夫萨尔	아프사르	by rule
Aga	アガ	阿加	아가	by rule
AGA	アガ	阿加	아가	by rule
Agatha	アガサ	阿加塔	아가타	attested on Wikidata (ja 3x)
Agathe	アガーテ	阿加特	아가테	attested on Wikidata (ja 2x, zh 6x)
Agathocles	アガトクレス	阿加托克莱斯	아가토크레스	by rule
Agathokles	アガトクレス	阿加托克莱斯	아가토크레스	by rule
Agaton	アガトン	阿加通	아가톤	by rule
Agda	アグダ	阿格达	악다	by rule
Agde	アグデ	阿格德	악데	by rule
Agder	アグデル	阿格德尔	악데르	by rule
Agdestein	アグデステイン	阿格德斯特因	악데스테인	by rule
Ageng	アゲング	阿根	아겡	by rule
Agesipolis	アゲシポリス	阿盖西波利斯	아게시포리스	by rule
Ageung	アゲウング	阿盖温	아귱	by rule
Agilulf	アギルルフ	阿吉卢尔夫	아기룰프	by rule
Agnar	アグナル	阿格纳尔	악나르	by rule
Agnarsson	アグナルソン	阿格纳尔松	악나르손	composed by rule: Agnar + -sson
Agnes	アグネス	阿格内斯	악네스	by rule
Agneta	アグニェータ	阿格内塔	악네타	attested on Wikidata (ja 2x)
Agnès	アニエス	阿涅丝	악네스	attested on Wikidata (ja 4x, zh 4x)
Agoes	アゴエス	阿戈埃斯	아괴스	by rule
Agricola	アグリコラ	阿格里科拉	악리코라	by rule
Agrillanius	アグリラニウス	阿格里拉尼乌斯	악릴라뉴스	by rule
Agrippa	アグリッパ	阿格里帕	악리파	attested on Wikidata (ja 4x, zh 0x)
Agrippianus	アグリピアヌス	阿格里皮阿努斯	악리피아누스	by rule
Agrivillensis	アグリヴィレンシス	阿格里维伦西斯	악리빌렌시스	by rule
Aguiar	アグイアル	阿古伊阿尔	아귀아르	by rule
Aguilar	アギラール	阿吉拉尔	아귀라르	attested on Wikidata (ja 5x, zh 2x)
Aguillar	アグイラル	阿古伊拉尔	아귈라르	by rule
Aguirre	アギーレ	阿古伊雷	아귀르레	attested on Wikidata (ja 4x, zh 0x)
Aguião	アグイアオ	阿古伊阿奥	아귀아오	by rule
Agustin	アガスティン	阿古斯廷	아구스틴	attested on Wikidata (ja 2x, zh 0x)
Agustín	アグスティン	阿古斯丁	아구스틴	attested on Wikidata (ja 13x, zh 4x)
Aharon	アーロン	阿哈龙	아하론	attested on Wikidata (ja 2x, zh 4x)
Ahl	アル	阿尔	아흐르	by rule
Ahlefelt	アレフェルト	阿莱费尔特	아흐레펠트	by rule
Ahlfeldt	アルフェルドト	阿尔费尔德特	아흐르펠드트	by rule
Ahlsen	アルセン	阿尔森	아흐르센	composed by rule: Ahl + -sen
Ahlstedt	アルステドト	阿尔斯特德特	아흐르스테드트	by rule
AHMAD	アマド	阿马德	아흐마드	by rule
Ahmad	アフマド	艾哈迈德	아흐마드	attested on Wikidata (ja 18x, zh 2x)
Ahsan	アサン	阿桑	아흐산	by rule
Ahuexotl	アフエクスオトル	阿胡埃克斯奥特尔	아훼그소트르	by rule
Ahunai	アフナイ	阿胡纳伊	아후나이	by rule
Aida	アイーダ	艾达	아이다	attested on Wikidata (ja 2x, zh 0x)
Aileach	アイレアク	艾莱阿克	아이레아츠	by rule
Ailech	アイレク	艾莱克	아이레츠	by rule
Aileen	アイリーン	艾莱恩	아이린	attested on Wikidata (ja 3x, zh 0x)
Ailill	アイリル	艾利尔	아이릴르	by rule
Airas	アイラス	艾拉斯	아이라스	by rule
Aires	アイレス	艾雷斯	아이레스	by rule
Aisah	アイサ	艾萨	아이사흐	by rule
Aivu	アイヴ	艾武	아이부	by rule
Aiwareiks	アイヴァレイクス	艾瓦雷伊克斯	아이와레이크스	by rule
Aj	アイ	阿伊	아즈	by rule
Ajar	アヤル	阿雅尔	아자르	by rule
Aji	アイ	阿伊	아지	by rule
Aju	アユ	阿尤	아주	by rule
aka	アカ	阿卡	아카	by rule
Akarina	アカリナ	阿卡里纳	아카리나	by rule
Akbar	アクバル	阿克巴尔	아크바르	by rule
AKEH	アケ	阿凯	아케흐	by rule
Akerblom	アケルブロム	阿凯尔布洛姆	아케르브롬	by rule
Akerlie	アケルリエ	阿凯尔利埃	아케르리에	by rule
Akiba	アキバ	阿基巴	아키바	by rule
Akihito	アキヒト	阿基希托	아키히토	by rule
Akitsu	アキトス	阿基特苏	아키추	by rule
Aklilu	アクリル	阿克利卢	아크리루	by rule
Akman	アクマン	阿克曼	아크만	by rule
Aksel	アクセル	阿克塞尔	아크셀	by rule
Akseliane	アクセリアネ	阿克塞利阿内	아크세리아네	by rule
Akselson	アクセルソン	阿克塞尔松	아크셀손	composed by rule: Aksel + -son
Aksnes	アクスネス	阿克斯内斯	아크스네스	by rule
Aksum	アクスム	阿克苏姆	아크숨	by rule
Aku	アク	阿库	아쿠	by rule
Al	アル	阿尔	알	by rule
al	アル	阿尔	알	by rule
Al'	アル	阿尔	알	by rule
al-Abbas	アルアバス	阿尔阿巴斯	아라바스	by rule
al-Alawi	アルアラヴィ	阿尔阿拉维	아라라위	by rule
Al-Amiri	アルアミリ	阿尔阿米里	아라미리	by rule
al-Andalus	アルアンダルス	阿尔安达卢斯	아란다루스	by rule
al-Asghar	アルアスグハル	阿尔阿斯格哈尔	아라스가르	by rule
al-Azmatkhan	アルアズマトクハン	阿尔阿兹马特克汉	아라즈마트칸	by rule
al-Bahrani	アルバラニ	阿尔巴拉尼	알바흐라니	by rule
al-Balia	アルバリア	阿尔巴利阿	알바리아	by rule
Al-Banjari	アルバンヤリ	阿尔班雅里	알바나리	by rule
al-Bavli	アルバヴリ	阿尔巴夫利	알바브리	by rule
Al-Buwahyi	アルブヴァヒイ	阿尔布瓦希伊	알부와히이	by rule
Al-Daylami	アルダイラミ	阿尔达伊拉米	알다이라미	by rule
al-Denia	アルデニア	阿尔德尼阿	알데니아	by rule
al-Din	アルディン	阿尔丁	알딘	by rule
al-Fath	アルファト	阿尔法特	알파트	by rule
Al-Fathani	アルファタニ	阿尔法塔尼	알파타니	by rule
al-Fathani	アルファタニ	阿尔法塔尼	알파타니	by rule
al-Fatuh	アルファト	阿尔法图	알파투흐	by rule
al-Fustat	アルフスタト	阿尔富斯塔特	알푸스타트	by rule
al-Haarith	アルホーリト	阿尔霍里特	알하아리트	by rule
Al-Hanafi	アルハナフィ	阿尔哈纳菲	알하나피	by rule
al-Hasan	アルハサン	阿尔哈桑	알하산	by rule
Al-Hashemi	アルハスヘミ	阿尔哈斯赫米	알하세미	by rule
al-Husain	アルフサイン	阿尔胡萨因	알후사인	by rule
al-Husaini	アルフサイニ	阿尔胡萨伊尼	알후사이니	by rule
Al-Husayni	アルフサイニ	阿尔胡萨伊尼	알후사이니	by rule
Al-Hussein	アルフセイン	阿尔胡塞因	알후세인	by rule
al-Kafri	アルカフリ	阿尔卡夫里	알카프리	by rule
AL-KHEM	アルクヘム	阿尔克赫姆	알켐	by rule
al-Khudri	アルクフドリ	阿尔克胡德里	알쿠드리	by rule
Al-Khwarazmi	アルクヴァラズミ	阿尔克瓦拉兹米	알크와라즈미	by rule
Al-Kinani	アルキナニ	阿尔基纳尼	알키나니	by rule
al-Lahm	アルラム	阿尔拉姆	알라흐므	by rule
al-Mafakhir	アルマファクヒル	阿尔马法克希尔	알마파키르	by rule
al-Malik	アルマリク	阿尔马利克	알마리크	by rule
al-Marhum	アルマルフム	阿尔马尔胡姆	알마르훔	by rule
al-Muluk	アルムルク	阿尔穆卢克	알무루크	by rule
al-Munjalawi	アルムンヤラヴィ	阿尔蒙雅拉维	알무나라위	by rule
al-Nadir	アルナディル	阿尔纳迪尔	알나디르	by rule
al-Nahr	アルナル	阿尔纳尔	알나흐르	by rule
al-Narboni	アルナルボニ	阿尔纳尔博尼	알나르보니	by rule
al-Pumbeditha	アルプムベディタ	阿尔普姆贝迪塔	알품베디타	by rule
Al-Ridawi	アルリダヴィ	阿尔里达维	알리다위	by rule
al-Subki	アルスブキ	阿尔苏布基	알숩키	by rule
Al-Tafreshi	アルタフレスヒ	阿尔塔夫雷斯希	알타프레시	by rule
al-Taj	アルタイ	阿尔塔伊	알타즈	by rule
al-Tulaytula	アルトライトラ	阿尔图拉伊图拉	알투라이투라	by rule
Al-Umawi	アルウマヴィ	阿尔乌马维	아루마위	by rule
al-Wahhas	アルヴァハス	阿尔瓦哈斯	알와흐하스	by rule
Al-Wallid	アルヴァリド	阿尔瓦利德	알와르리드	by rule
al-Zahir	アルザヒル	阿尔扎希尔	알자히르	by rule
Ala	アラ	阿剌	아라	attested on Wikidata (ja 4x, zh 2x)
Alagón	アラゴン	阿拉贡	아라곤	by rule
Alain	アラン	阿兰	아라인	attested on Wikidata (ja 30x, zh 6x)
Alaiza	アライザ	阿拉伊扎	아라이자	by rule
Alak	アラク	阿拉克	아라크	by rule
Alam	アラム	阿拉姆	아람	by rule
ALAMANNEN	アラマネン	阿拉马嫩	아라만넨	by rule
Alamsyah	アラムシア	阿拉姆西阿	아람샤흐	by rule
Alamyos	アラミオス	阿拉米奥斯	아라묘스	by rule
