kind,name,occurrences,verdict,qid
family,de Witt,3,still ambiguous,Q106352426 | Q16869461
family,de Vries,3,still ambiguous,Q1180481 | Q83345792
family,Ludlow,3,RESOLVED,Q29477585
family,Fitzpatrick,3,no item of that kind,
family,Reiß,3,still ambiguous,Q15725918 | Q60170844
family,Takeda,3,still ambiguous,Q18642402 | Q1981031
family,Elliot,3,RESOLVED,Q29179325
family,Hirschberg,3,RESOLVED,Q37241038
family,Francis,3,RESOLVED,Q15208210
family,MacKenzie,3,still ambiguous,Q13553907 | Q59196750
family,Gotō,3,still ambiguous,Q26448008 | Q27308129 | Q47092374
family,De La Rue,3,no item of that kind,
family,Itō,2,still ambiguous,Q24090534 | Q6500676
family,Fitzroy,2,still ambiguous,Q21233885 | Q92288868
family,de La Croix,2,no item of that kind,
family,Peyton,2,RESOLVED,Q37492774
family,WEBSTER,2,RESOLVED,Q21484845
family,Fitzwilliam,2,no item of that kind,
family,Sono,2,still ambiguous,Q27305935 | Q99476781
family,van Cleef,2,still ambiguous,Q136230075 | Q21492169
family,Ulrich,2,RESOLVED,Q21504626
family,du Parc,2,still ambiguous,Q104594425 | Q62705779
family,de Guevara,2,still ambiguous,Q111669728 | Q99981096
family,Balk,2,still ambiguous,Q108823063 | Q23038870
family,d'Antigny,2,RESOLVED,Q42864956
family,Du,2,still ambiguous,Q13391603 | Q709747
family,Petrov,2,still ambiguous,Q2080805 | Q61121719
family,Jin,2,still ambiguous,Q15930682 | Q718600
family,Nussbaum,2,still ambiguous,Q30106376 | Q83500875
family,Saga,2,still ambiguous,Q39043345 | Q39241556
family,Jung,2,still ambiguous,Q1158639 | Q16255538
family,De Castro,2,RESOLVED,Q99662413
family,Flo,2,RESOLVED,Q30514154
family,da Correggio,2,no item of that kind,
family,Fang,2,still ambiguous,Q10908506 | Q11075460 | Q18419656
family,Chang,2,still ambiguous,Q2240226 | Q36931387
family,de Bruijn,2,no item of that kind,
family,Abe,2,still ambiguous,Q18645909 | Q26000282
family,Dubois,2,still ambiguous,Q16798403 | Q57905938
family,de la Croix,1,no item of that kind,
family,Guī,1,still ambiguous,Q11125185 | Q65925787
family,Van Aalst,1,RESOLVED,Q120886576
family,DE SABRAN,1,RESOLVED,Q99908086
family,De Salazar,1,RESOLVED,Q99944968
family,De,1,RESOLVED,Q107455614
family,fitzWilliam,1,no item of that kind,
family,Dai,1,still ambiguous,Q1929446 | Q65925722
family,Schwerin,1,RESOLVED,Q37225673
family,Rong,1,still ambiguous,Q10951026 | Q11074442 | Q4181640
family,d'este,1,RESOLVED,Q105701477
family,Lvov,1,still ambiguous,Q109560709 | Q4270991
family,Da Costa,1,still ambiguous,Q23038711 | Q63677459
family,fitzRoy,1,still ambiguous,Q21233885 | Q92288868
family,MacDowall,1,still ambiguous,Q6723006 | Q99910038
family,Hallett,1,RESOLVED,Q16870414
family,FitzPatrick,1,no item of that kind,
family,Eig,1,still ambiguous,Q24953143 | Q37442382
family,STRAUSS,1,still ambiguous,Q10450274 | Q15731389
family,Pines,1,still ambiguous,Q136525852 | Q37446518
family,LANDAU,1,still ambiguous,Q1127822 | Q21286163
family,German,1,still ambiguous,Q24088311 | Q91079802
family,Yuan,1,still ambiguous,Q2264383 | Q65050561 | Q716212
family,Koga,1,still ambiguous,Q18646505 | Q18646506 | Q18647993
family,Shen,1,still ambiguous,Q11074078 | Q705016 | Q911493
family,Qian,1,RESOLVED,Q65926087
family,Bai,1,still ambiguous,Q11108068 | Q15711104
family,Teng,1,still ambiguous,Q21482552 | Q4467306
family,Ide,1,still ambiguous,Q26212880 | Q29371042
family,Sass,1,still ambiguous,Q111605746 | Q21484988
family,Nußbaum,1,still ambiguous,Q30106376 | Q83500875
family,Wilmot,1,RESOLVED,Q17121278
family,da SIlva,1,RESOLVED,Q66385622
family,van Hove,1,RESOLVED,Q116875196
family,MacDonald,1,still ambiguous,Q2778569 | Q52984204
family,Dublin,1,RESOLVED,Q16865980
family,fitzGerald,1,still ambiguous,Q16466739 | Q55550590
family,von Krosigk,1,no item of that kind,
family,WHITNEY,1,RESOLVED,Q17144522
family,Mori,1,still ambiguous,Q229146 | Q26000622
family,Kagan,1,still ambiguous,Q130349679 | Q16395510
family,Haußmann,1,still ambiguous,Q1591313 | Q74081542
family,Gerry,1,RESOLVED,Q28872053
family,Glass,1,still ambiguous,Q16870200 | Q57249851
family,Clauss,1,still ambiguous,Q21482988 | Q83500996
family,Deland,1,RESOLVED,Q37175532
family,Mai,1,still ambiguous,Q16932005 | Q3372303
family,Pan,1,still ambiguous,Q106254004 | Q4344508
family,MacMillan,1,still ambiguous,Q26709983 | Q77024917
family,Koma,1,still ambiguous,Q138351427 | Q36874628
family,Gan,1,still ambiguous,Q11060574 | Q4133392
family,Mu,1,still ambiguous,Q11139225 | Q21040430
family,Maia,1,RESOLVED,Q21488838
family,fitzgerald,1,still ambiguous,Q16466739 | Q55550590
family,Da Silva,1,RESOLVED,Q66385622
family,PARK,1,still ambiguous,Q20007284 | Q715935
family,Hong,1,still ambiguous,Q4502336 | Q854795
family,de Heredia,1,RESOLVED,Q101014686
family,De Sousa,1,still ambiguous,Q55739047 | Q99908123
family,Kang,1,still ambiguous,Q3594969 | Q709458
family,Ono,1,still ambiguous,Q19797955 | Q68518388
family,Suzuki,1,still ambiguous,Q1533615 | Q68099573
family,Akita,1,still ambiguous,Q26203667 | Q4701219
family,Arima,1,still ambiguous,Q16148347 | Q26215254
family,Matsunaga,1,RESOLVED,Q21492053
family,Ōta,1,still ambiguous,Q21487299 | Q26001278
family,Finley,1,RESOLVED,Q29808580
family,Chaplin,1,still ambiguous,Q121316015 | Q5073230
family,ZHANG,1,still ambiguous,Q13391761 | Q65925376 | Q804909
family,Levasseur,1,RESOLVED,Q16872085
family,De Nanteuil,1,RESOLVED,Q104540557
family,Della Rovere,1,RESOLVED,Q127686689
family,YUAN,1,still ambiguous,Q2264383 | Q65050561 | Q716212
family,Head,1,RESOLVED,Q13560595
given,María,3710,still ambiguous,Q109785195 | Q18088640
given,John,3332,still ambiguous,Q104552334 | Q4925477
given,Juan,2810,still ambiguous,Q110700065 | Q475210
given,Mary,2586,still ambiguous,Q112169711 | Q734578
given,Marie,2584,still ambiguous,Q106674406 | Q632104
given,Anne,2578,still ambiguous,Q47860848 | Q564684
given,Elizabeth,2497,RESOLVED,Q385468
given,de,1997,still ambiguous,Q69523565 | Q94627855
given,José,1676,still ambiguous,Q2190619 | Q29043256 | Q29043257
given,James,1408,RESOLVED,Q677191
given,Jean,1348,still ambiguous,Q4160311 | Q7521081
given,Robert,1318,still ambiguous,Q22569259 | Q4927937
given,Abraham,1183,still ambiguous,Q17997608 | Q4055996
given,George,1094,no item of that kind,
given,Jose,1020,still ambiguous,Q19801116 | Q66827733
given,Ola,917,still ambiguous,Q1782345 | Q96675523
given,Manuel,864,still ambiguous,Q11113719 | Q98497161
given,Guillaume,807,RESOLVED,Q18190448
given,Martin,760,still ambiguous,Q118322765 | Q18002399
given,Simon,752,still ambiguous,Q25711755 | Q4117588
given,Andreas,650,still ambiguous,Q4926263 | Q87263878
given,Albert,630,still ambiguous,Q38040796 | Q577011
given,Hannah,620,still ambiguous,Q1554377 | Q39138052
given,bin,579,still ambiguous,Q104253346 | Q106992786 | Q66361456
given,Friedrich,577,RESOLVED,Q14038597
given,Benjamin,529,RESOLVED,Q2424149
given,Gabriel,523,still ambiguous,Q4925914 | Q65967313
given,Esther,516,still ambiguous,Q21401547 | Q837839
given,Larsen,458,RESOLVED,Q57560093
given,Ludwig,457,RESOLVED,Q14159020
given,Elvira,435,still ambiguous,Q107452025 | Q3051870
given,Michael,407,still ambiguous,Q22809771 | Q29473151
given,Ali,385,still ambiguous,Q11905003 | Q96652184
given,ben,361,still ambiguous,Q104520754 | Q122749982 | Q816407
given,Margarita,358,still ambiguous,Q6760124 | Q90921226 | Q98544741
given,Joan,344,still ambiguous,Q1484457 | Q18219684
given,Anton,342,still ambiguous,Q35663473 | Q5401576
given,Ida,334,still ambiguous,Q12632824 | Q644599
given,Sophia,316,still ambiguous,Q2302787 | Q97959398
given,Hanna,316,still ambiguous,Q15729076 | Q19664967
given,De,309,still ambiguous,Q69523565 | Q94627855
given,Sofia,300,still ambiguous,Q18201520 | Q22809759
given,Moshe,299,still ambiguous,Q132732593 | Q20220089 | Q33093241
given,Christina,290,still ambiguous,Q1083457 | Q84472200
given,Aron,289,still ambiguous,Q18410868 | Q56473930
given,Chén,287,still ambiguous,Q124668673 | Q124818752
given,Israel,283,still ambiguous,Q19819746 | Q58217414
given,Francis,283,still ambiguous,Q1441346 | Q68721284
given,Mari,272,still ambiguous,Q138028596 | Q16421882 | Q3195783
given,Christopher,263,still ambiguous,Q1084472 | Q97823922
given,Emil,263,still ambiguous,Q136772288 | Q989320
given,Christen,254,still ambiguous,Q104700963 | Q21034625
given,Eli,238,still ambiguous,Q111537539 | Q1328791
given,Eliza,236,still ambiguous,Q858305 | Q98550199
given,Ahmad,226,still ambiguous,Q406294 | Q48980148
given,Andrea,223,still ambiguous,Q18177306 | Q18177321 | Q493293
given,Isabella,218,still ambiguous,Q109737087 | Q16290308
given,Jonathan,204,still ambiguous,Q1158394 | Q52015883
given,Gōng,201,still ambiguous,Q106868718 | Q125217620
given,Aaron,199,still ambiguous,Q66615640 | Q905085
given,Auguste,195,still ambiguous,Q18010311 | Q28053272 | Q65104428
given,Hedwig,176,RESOLVED,Q19689438
given,Samson,157,still ambiguous,Q2217694 | Q33127830
given,Inga,156,still ambiguous,Q1568006 | Q97671765
given,Edvard,151,still ambiguous,Q16721684 | Q18130926
given,Yosef,150,still ambiguous,Q18608492 | Q29051199
given,Avraham,150,still ambiguous,Q2874494 | Q50582778
given,Shlomo,146,still ambiguous,Q21069189 | Q29017247
given,Felix,145,RESOLVED,Q18177136
given,Baruch,145,still ambiguous,Q104412507 | Q9166352
given,Adam,144,still ambiguous,Q104007147 | Q347181 | Q97958847
given,Isaak,141,still ambiguous,Q39033826 | Q581723
given,da,138,still ambiguous,Q96251258 | Q97640111
given,Sally,137,still ambiguous,Q107183194 | Q19816532
given,Regina,130,still ambiguous,Q27678214 | Q656698
given,Elena,130,still ambiguous,Q1209486 | Q56449170
given,Khan,130,RESOLVED,Q60115184
given,Luís,130,still ambiguous,Q19801238 | Q67099865
given,Chaim,128,still ambiguous,Q20000069 | Q33084262
given,RAy,119,still ambiguous,Q119007150 | Q2133832
given,Ephraim,119,still ambiguous,Q16275698 | Q29038907
given,Eduard,118,still ambiguous,Q17190238 | Q18031774
given,Bautista,116,RESOLVED,Q27587114
given,Victor,115,RESOLVED,Q539581
given,Lee,115,RESOLVED,Q2061957
given,Eleonora,111,still ambiguous,Q124409559 | Q18759077
given,Lambert,110,RESOLVED,Q492730
given,Rafael,109,still ambiguous,Q16424000 | Q58309587
given,Leon,103,still ambiguous,Q37080 | Q42373828 | Q98467842
given,Lena,98,still ambiguous,Q654581 | Q97932922
given,Joanna,97,still ambiguous,Q106481439 | Q4248351
given,Helvig,94,RESOLVED,Q56303332
given,Teodor,92,still ambiguous,Q58215151 | Q7701015
given,Ada,92,still ambiguous,Q105872896 | Q346047
given,Naftali,91,still ambiguous,Q11788996 | Q29042890
given,Jesus,87,still ambiguous,Q1158269 | Q66827303
given,Teodora,87,still ambiguous,Q221215 | Q58214565
given,Edgar,84,RESOLVED,Q2660560
given,Ben,82,still ambiguous,Q104520754 | Q122749982 | Q816407
given,Zvi,75,still ambiguous,Q231342 | Q55362931
given,Noah,75,RESOLVED,Q19819780
given,Marion,75,still ambiguous,Q18686588 | Q18689525 | Q56292415
given,Simeon,72,still ambiguous,Q123248038 | Q1557
given,Anastasia,72,still ambiguous,Q39316079 | Q781387
given,Emile,71,still ambiguous,Q124382810 | Q17623487
given,Adélaïde,70,RESOLVED,Q62102498
given,Fatima,70,still ambiguous,Q221839 | Q99895693
given,Augustine,69,still ambiguous,Q1300961 | Q54617672
given,Asa,68,still ambiguous,Q112042332 | Q3472263
given,Valdemar,67,still ambiguous,Q107233500 | Q19966563
given,Karina,67,still ambiguous,Q16430098 | Q84912202
given,Anthony,65,still ambiguous,Q12241622 | Q62054042
given,le,65,still ambiguous,Q96401045 | Q96440038
given,Umar,65,still ambiguous,Q11955913 | Q19817027
given,Yehoshua,62,still ambiguous,Q105556721 | Q19688798
given,Shimon,61,still ambiguous,Q20002013 | Q28811668
given,Luigi,58,RESOLVED,Q4245067
given,Allen,58,RESOLVED,Q18118122
given,Isa,56,still ambiguous,Q1673339 | Q60883997
given,Roman,55,still ambiguous,Q30724063 | Q933726
given,Emilia,55,still ambiguous,Q1495413 | Q97303762
given,Andronikos,53,still ambiguous,Q28916439 | Q80702486
given,Mae,53,still ambiguous,Q2684993 | Q69508865
given,Stefan,51,still ambiguous,Q28916471 | Q4927128
given,Vladimir,50,still ambiguous,Q2253934 | Q47200243
given,Olena,48,still ambiguous,Q56405735 | Q7086343
given,Alexios,47,still ambiguous,Q61741983 | Q97932951 | Q98634941
given,Rosalía,47,RESOLVED,Q20011821
given,Angelina,46,still ambiguous,Q1097621 | Q47537900
given,Jaime,46,still ambiguous,Q2605834 | Q76435961
given,Bin,46,still ambiguous,Q104253346 | Q106992786 | Q66361456
given,Viktoria,45,still ambiguous,Q18328177 | Q98558017
given,Uri,45,still ambiguous,Q8661943 | Q96655215
given,Timur,45,still ambiguous,Q12376986 | Q60972253
given,Howard,44,RESOLVED,Q3595959
given,Mikhail,43,still ambiguous,Q15621289 | Q34380480 | Q54485241
given,Eleazar,42,still ambiguous,Q2679054 | Q56446587
given,Mark,41,still ambiguous,Q100320817 | Q13610143
given,Dora,41,still ambiguous,Q96338865 | Q987115
given,Natan,39,still ambiguous,Q112199674 | Q31690613 | Q43531093
given,Valentin,38,still ambiguous,Q28865131 | Q852779
given,Alexandra,38,still ambiguous,Q6081128 | Q67757040
given,Jaya,36,still ambiguous,Q47531335 | Q60220482
given,Shalom,35,still ambiguous,Q18407330 | Q20001228
given,Engel,35,RESOLVED,Q21142107
given,Lazar,35,still ambiguous,Q12794654 | Q99288855
given,Naomi,34,still ambiguous,Q125829881 | Q18508449
given,Vasily,34,still ambiguous,Q16284246 | Q27452576
given,JUAN,34,still ambiguous,Q110700065 | Q475210
given,Kim,34,still ambiguous,Q1284506 | Q637123
given,Hassan,34,still ambiguous,Q107178443 | Q16276444
given,Vera,34,still ambiguous,Q25999849 | Q659189
given,Filip,34,still ambiguous,Q59916845 | Q998338
given,Iwan,33,still ambiguous,Q19967521 | Q96650962
given,Abba,33,still ambiguous,Q4663625 | Q65089281
given,Adrian,33,still ambiguous,Q372250 | Q67636036
given,Jehan,33,still ambiguous,Q19800591 | Q55503464
given,Peng,33,still ambiguous,Q104536731 | Q106793301 | Q75839653
given,Andrey,32,still ambiguous,Q15732892 | Q19803435
given,JOSE,32,still ambiguous,Q19801116 | Q66827733
given,Viktor,31,still ambiguous,Q16430022 | Q30106749 | Q65562114
given,Gleb,31,still ambiguous,Q109483423 | Q3787148
given,Idris,31,RESOLVED,Q30090628
given,Helgi,30,still ambiguous,Q26271987 | Q42661015
given,Mikael,30,still ambiguous,Q15620350 | Q55220490
given,Issachar,29,RESOLVED,Q109801625
given,Leroy,29,still ambiguous,Q19839067 | Q19839124
given,Hirsh,28,RESOLVED,Q111942020
given,Boris,28,still ambiguous,Q39314414 | Q61356723 | Q666112
given,Mstislav,28,still ambiguous,Q1424569 | Q18978395
given,Chava,28,still ambiguous,Q20000236 | Q31207471
given,Artur,28,still ambiguous,Q40204814 | Q4801582
given,Roald,27,still ambiguous,Q130955134 | Q1646751
given,Ingvar,27,still ambiguous,Q105476720 | Q1663464
given,Le,26,still ambiguous,Q96401045 | Q96440038
given,Cecil,26,still ambiguous,Q15731759 | Q42424526
given,Yazid,26,still ambiguous,Q106653856 | Q29561457
given,Alexis,26,still ambiguous,Q1558167 | Q97932949
given,Elia,26,still ambiguous,Q16947019 | Q30079701
given,Ray,26,still ambiguous,Q119007150 | Q2133832
given,Yuan,26,still ambiguous,Q105426885 | Q97638464 | Q98072533
given,Vladislav,25,still ambiguous,Q19826494 | Q945863
given,Thekla,25,still ambiguous,Q130760559 | Q21147318
given,Sylvester,25,still ambiguous,Q112184683 | Q19828535
given,Nina,24,still ambiguous,Q102699251 | Q1508902 | Q29575688
given,Aleksandra,24,still ambiguous,Q16799796 | Q56682479
given,Galindo,24,RESOLVED,Q100325480
given,Salamah,24,still ambiguous,Q116365265 | Q64681698
given,Smith,24,RESOLVED,Q21079662
given,Chong,24,still ambiguous,Q108613217 | Q110906606
given,Konstantin,24,still ambiguous,Q31362405 | Q7111053
given,Rostislav,24,still ambiguous,Q104091997 | Q2167906
given,Newton,23,RESOLVED,Q19828994
given,Yakov,23,still ambiguous,Q19802347 | Q544124
given,ke,23,still ambiguous,Q109636967 | Q96335547
given,Marian,23,still ambiguous,Q20155725 | Q545486
given,Marcela,23,RESOLVED,Q19798827
given,Zaynab,22,still ambiguous,Q30125992 | Q8722488
given,Lian,22,still ambiguous,Q112298616 | Q2756355 | Q96631733
given,Yaroslav,21,still ambiguous,Q16909612 | Q741
given,Gabriele,21,still ambiguous,Q104804603 | Q17765515 | Q17765518
given,Dov,21,still ambiguous,Q19967497 | Q54834431
given,Georgia,21,still ambiguous,Q378694 | Q97961511
given,Hóng,21,still ambiguous,Q124359413 | Q125230917 | Q134442991
given,Jelena,20,still ambiguous,Q4963089 | Q99768021
given,Adda,20,still ambiguous,Q107317460 | Q20576000
given,Michal,20,still ambiguous,Q104771451 | Q18563993 | Q29037654
given,Stella,19,still ambiguous,Q773765 | Q97960571
given,JOSÉ,19,still ambiguous,Q2190619 | Q29043256 | Q29043257
given,Dmitry,18,still ambiguous,Q19002866 | Q84648014
given,Eudoxia,18,still ambiguous,Q112581773 | Q924589
given,Wen,18,still ambiguous,Q106967901 | Q94957241
given,Yong,18,still ambiguous,Q105643363 | Q96098690 | Q96343718
given,Ming,18,still ambiguous,Q110652775 | Q96145619
given,Basil,18,still ambiguous,Q4926514 | Q60576346
given,Denis,18,still ambiguous,Q1187221 | Q12787496 | Q35146979
given,Concepción,18,still ambiguous,Q3686044 | Q96323938
given,Lyon,18,RESOLVED,Q30014648
given,Clemens,18,still ambiguous,Q140847970 | Q18180166
given,Shì,18,still ambiguous,Q125243355 | Q125257677 | Q125314511
given,Michele,17,still ambiguous,Q12901049 | Q18620536 | Q18620539
given,Bogdan,17,still ambiguous,Q1065625 | Q47537720
given,Yù,17,still ambiguous,Q124420985 | Q124613799
given,Gösta,16,still ambiguous,Q1559648 | Q18552031
given,Veronika,16,still ambiguous,Q111605607 | Q18218258 | Q63124171
given,Chéng,16,still ambiguous,Q124811832 | Q125313959
given,Bona,16,still ambiguous,Q27920067 | Q29550722
given,Sieghard,16,RESOLVED,Q75559674
given,Oleg,16,still ambiguous,Q18523982 | Q370292
given,Richenza,16,RESOLVED,Q133538377
given,Benny,16,still ambiguous,Q18640998 | Q30077179
given,Natalia,15,still ambiguous,Q131381578 | Q6296301 | Q98101338
given,Presley,15,RESOLVED,Q70723109
given,Euphrosyne,15,still ambiguous,Q106457200 | Q29551454
given,Itzhak,15,still ambiguous,Q20088014 | Q35746561
given,Da,15,still ambiguous,Q96251258 | Q97640111
given,Emich,15,RESOLVED,Q98408079
given,Qi,15,still ambiguous,Q106913784 | Q106918722 | Q110820391
given,Igor,14,still ambiguous,Q26214577 | Q28038713
given,Lin,14,still ambiguous,Q112982039 | Q20001920 | Q96350670
given,Maryam,14,still ambiguous,Q19810276 | Q5259481
given,Cai,14,still ambiguous,Q19810541 | Q96473305
given,Heng,14,still ambiguous,Q105622419 | Q105622731 | Q107096979
given,Noel,14,still ambiguous,Q104212712 | Q261113
given,DE,14,still ambiguous,Q69523565 | Q94627855
given,Lín,14,still ambiguous,Q124446136 | Q124651203 | Q125262525
given,Yīng,14,still ambiguous,Q94957785 | Q96095943
given,Coleman,14,RESOLVED,Q26197328
given,Andre,13,still ambiguous,Q137169687 | Q16274896
given,Agrippina,13,RESOLVED,Q12744733
given,Salmon,13,still ambiguous,Q101212580 | Q112678335
given,Williamson,13,RESOLVED,Q47469344
given,Yao,13,still ambiguous,Q3571840 | Q94574477
given,Wang,13,still ambiguous,Q105652164 | Q105660548 | Q105660725
given,Chuan,13,still ambiguous,Q107978502 | Q96384634
given,Zadok,13,still ambiguous,Q21145527 | Q31841836
given,MANUEL,13,still ambiguous,Q11113719 | Q98497161
given,Kang,13,still ambiguous,Q107001015 | Q96343634
given,Semen,13,still ambiguous,Q115730020 | Q57875567
given,Myron,12,still ambiguous,Q110834744 | Q18607970
given,Valentina,12,still ambiguous,Q13589249 | Q61053921
given,Ring,12,still ambiguous,Q104531201 | Q69508653
given,Tang,12,still ambiguous,Q110868275 | Q96748303
given,Vasilisa,12,still ambiguous,Q111944147 | Q2362713
given,Yú,12,still ambiguous,Q110732615 | Q124540674 | Q125274663
given,Bohdan,12,still ambiguous,Q102271378 | Q15877163
given,Qǐ,12,still ambiguous,Q125018899 | Q125145778 | Q125147902
given,Bibi,12,still ambiguous,Q65258015 | Q856260
given,Isidora,11,still ambiguous,Q16773436 | Q54555380
given,Dan,11,still ambiguous,Q105460561 | Q2487038 | Q97573280
given,Tong,11,still ambiguous,Q81904964 | Q96195488 | Q96593606
given,Lev,11,still ambiguous,Q1745228 | Q42373577
given,Andrei,11,still ambiguous,Q19850904 | Q27568750
given,Demetrios,11,still ambiguous,Q19803788 | Q30127367
given,Sali,11,still ambiguous,Q66740990 | Q96653822
given,Su,11,still ambiguous,Q20001413 | Q94794239
given,Abram,11,still ambiguous,Q323415 | Q98146955
given,Guan,11,still ambiguous,Q105453700 | Q97651912 | Q98496778
given,Yury,10,still ambiguous,Q30465251 | Q3627558
given,Waleran,10,still ambiguous,Q106706191 | Q65069674
given,Petar,10,still ambiguous,Q12798587 | Q97362242
given,Terje,10,still ambiguous,Q11074303 | Q65261327
given,Uta,10,still ambiguous,Q136384969 | Q1770991
given,Lewin,10,still ambiguous,Q21074432 | Q96656600
given,Saba,10,still ambiguous,Q116367547 | Q842365
given,Stuart,10,RESOLVED,Q7626248
given,Xī,10,still ambiguous,Q108502661 | Q125370745
given,June,10,still ambiguous,Q1152453 | Q20984772
given,Georgina,9,RESOLVED,Q1586600
given,Nan,9,still ambiguous,Q104374131 | Q21143366
