geni_id,sex,raw_name,givn,surn,given_part,ordinal_token,ordinal_value,kind,token_index,given_tokens,patronymic_links,source_file
6000000019161518391,M,محمد عمر الاکبر - محمد بن زید، معروف به «داعی الی الحق» از ۲۷۱ تا ۲۸۷ قمری,محمد عمر الاکبر - محمد بن زید، معروف به «داعی الی الحق» از ۲۷۱ تا ۲۸۷ قمری,,محمد عمر الاکبر - محمد بن زید، معروف به «داعی الی الحق» از ۲۷۱ تا ۲۸۷ قمری,۲۷۱,271,arabic,13,17,0,export-Forest-6000000227086510841.ged
6000000003051250763,M,Lucius Julius Libo consul 267 BC,Lucius Julius Libo,,Lucius Julius Libo consul 267 BC,267,267,arabic,4,6,0,export-Forest-6000000178918116832.ged
6000000012691639866,M,"Lucius Caecilius Metellus, Consul 251 & 247",Lucius Caecilius Metellus,,"Lucius Caecilius Metellus, Consul 251 & 247",251,251,arabic,4,7,0,export-Forest-6000000178918116832.ged
6000000041409868992,M,Suffect Consul (c. 250/252) - Marcus Cocceius Anicius Faustus Flavianus,Marcus Cocceius Anicius Faustus Flavianus,,Suffect Consul (c. 250,250,250,arabic,3,4,0,export-Forest-6000000178918116832.ged
6000000003508628485,M,Publius Claudius Pulcher consul 249 BC,Publius Claudius Pulcher,,Publius Claudius Pulcher consul 249 BC,249,249,arabic,4,6,0,export-Forest-6000000178918116832.ged
6000000001416177551,M,Consul (219 & 216 BC) - Lucius Aemilius Paullus,Lucius Aemilius Paulus,,Consul (219 & 216 BC) - Lucius Aemilius Paullus,216,216,arabic,3,9,0,export-Forest-6000000178918116832.ged
6000000008509734657,M,"Tiberius Sempronius Gracchus, consul 215 and 213 BC",Tiberius Sempronius,,"Tiberius Sempronius Gracchus, consul 215 and 213 BC",215,215,arabic,4,8,0,export-Forest-6000000209079906821.ged
6000000032562442397,M,"#2_Gnaeus Octavius Cn. f., praetor in 205 BC",Gnaeus,,"#2_Gnaeus Octavius Cn. f., praetor in 205 BC",205,205,arabic,6,8,0,export-Forest-6000000178918116832.ged
6000000011819767820,M,"Tiberius Sempronius (?-174 BC) Gracchus, priesthood in 203 BC",Tiberius Sempronius (?-174 BC),,"Tiberius Sempronius (?-174 BC) Gracchus, priesthood in 203 BC",203,203,arabic,7,9,0,export-Forest-6000000209079906821.ged
6000000005747722823,M,"Quintus Anicius Faustus Consul, 198 C.E.",Quintus Anicius Faustus,,"Quintus Anicius Faustus Consul, 198 C.E.",198,198,arabic,4,6,0,export-Forest-6000000178918116832.ged
6000000041255364882,M,Consul (201 & 194 BC) - Publius Aelius Paetus,Publius Aelius Paetus,,Consul (201 & 194 BC) - Publius Aelius Paetus,194,194,arabic,3,9,0,export-Forest-9.ged
6000000041260731941,M,Publius Cornelius Sulla praetor 186 BC,Publius Cornelius Sulla,,Publius Cornelius Sulla praetor 186 BC,186,186,arabic,4,6,0,export-Ancestors-6000000220974565012.ged
6000000071645807589,M,Lucius Julius Caesar (praetor 183 BC),Lucius Julius Caesar,,Lucius Julius Caesar (praetor 183 BC),183,183,arabic,4,6,0,export-Forest-6000000178918116832.ged
6000000003828196882,M,Consul (182 & 168 BC) - Lucius Aemilius Paullus Macedonicus,Lucius Aemilius Paullus Macedonicus,,Consul (182 & 168 BC) - Lucius Aemilius Paullus Macedonicus,168,168,arabic,3,10,0,export-Forest-6000000178918116832.ged
6000000004533173761,M,"Donnchad Midi, 163rd High King of Ireland",Donnchad Midi mac Domnaill,O'Néill,"Donnchad Midi, 163rd High King of Ireland",163rd,163,arabic,2,7,0,export-Forest-6000000227227092862.ged
6000000004533173832,M,"Domnall Midi, 161st High King of Ireland",Domnall Midi,mac Murchad Midi,"Domnall Midi, 161st High King of Ireland",161st,161,arabic,2,7,0,export-Forest-6000000227227092862.ged
6000000028349516618,M,"KHOO Hong Cheng, 148, 136, 83,79,23世",Hong Cheng,KHOO 邱,"KHOO Hong Cheng, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000028348537565,M,"KHOO Hong Chow, 148, 136, 83,79,23世",Hong Chow,KHOO,"KHOO Hong Chow, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000024765460610,M,"KHOO Hong Chye, 148, 136, 83,79,23世",Hong Chye HONG CHYE,KHOO 邱,"KHOO Hong Chye, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000024765270413,M,"KHOO Hong Kuan, 148, 136, 83,79,23世",Hong Kuan,,"KHOO Hong Kuan, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000028349581608,M,"KHOO Hong Leng, 148, 136, 83,79,23世",Hong Leng,Khoo,"KHOO Hong Leng, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000028350965400,M,"KHOO Hong Poh, 148, 136, 83,79,23世",Hong Poh,KHOO 邱,"KHOO Hong Poh, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000024767317850,M,"KHOO Hong Saw, 148, 136, 83,79,23世",Hong Saw HONG SAW,KHOO 邱,"KHOO Hong Saw, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000016824916476,M,"KHOO Khee Choon, 148, 136, 83,79,23世",Khee Choon,KHOO 邱,"KHOO Khee Choon, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000016825436059,M,"KHOO Khee Huat, 148, 136, 83,79,23世",Khee Huat,KHOO 邱,"KHOO Khee Huat, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000016824688623,M,"KHOO Khee Seng, 148, 136, 83,79,23世",Khee Seng,KHOO 邱,"KHOO Khee Seng, 148, 136, 83,79,23世",148,148,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000011397198228,M,Lucius Calpurnius Piso Caesonius Consul 148 BCE,Lucius Calpurnius Piso Caesonius,,Lucius Calpurnius Piso Caesonius Consul 148 BCE,148,148,arabic,5,7,0,export-Ancestors-6000000220974565012.ged
6000000184100267822,M,"KHOO Beng Yam, 邱明炎, 147, 135, 82, 78, 43, 22世",Beng Yam,KHOO,"KHOO Beng Yam, 邱明炎, 147, 135, 82, 78, 43, 22世",147,147,arabic,4,10,0,export-Descendants-6000000227086465839.ged
6000000015274529075,M,"KHOO Chye Beng, 147, 135, 82,78,22世",Chye Beng,KHOO 邱,"KHOO Chye Beng, 147, 135, 82,78,22世",147,147,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000016824432233,M,"KHOO Chye Poh, 147, 135, 82,78,22世",Chye Poh,KHOO 邱,"KHOO Chye Poh, 147, 135, 82,78,22世",147,147,arabic,3,6,0,export-Descendants-6000000227086465839.ged
6000000120983797951,M,"KHOO Koon Cheong, 邱昆鐘, 147, 135, 82, 78, 43, 22世",Koon Cheong,KHOO,"KHOO Koon Cheong, 邱昆鐘, 147, 135, 82, 78, 43, 22世",147,147,arabic,4,10,0,export-Descendants-6000000227086465839.ged
6000000184100112829,M,"KHOO Koon Liat, 邱昆烈, 147, 135, 82, 78, 43, 22世",Koon Liat,KHOO,"KHOO Koon Liat, 邱昆烈, 147, 135, 82, 78, 43, 22世",147,147,arabic,4,10,0,export-Descendants-6000000227086465839.ged
6000000016063877056,M,"KHOO Poh Ann, 邱保安, 147, 135, 82, 78, 43, 22世",Poh Ann,KHOO,"KHOO Poh Ann, 邱保安, 147, 135, 82, 78, 43, 22世",147,147,arabic,4,10,0,export-Descendants-6000000227086465839.ged
6000000028344490939,M,"KHOO Soon Ghee, 邱順義, 147, 135, 82,78,22世",Soon Ghee,KHOO,"KHOO Soon Ghee, 邱順義, 147, 135, 82,78,22世",147,147,arabic,4,7,0,export-Descendants-6000000227086465839.ged
6000000028343929384,M,"KHOO Soon Heng, 邱順興, 147, 135, 82,78,22世",Soon Heng,KHOO,"KHOO Soon Heng, 邱順興, 147, 135, 82,78,22世",147,147,arabic,4,7,0,export-Descendants-6000000227086465839.ged
6000000028343495646,M,"KHOO Soon Leong, 邱順隆, 147, 135, 82,78,22世",Soon Leong,KHOO 邱,"KHOO Soon Leong, 邱順隆, 147, 135, 82,78,22世",147,147,arabic,4,7,0,export-Descendants-6000000227086465839.ged
6000000024900483993,M,"KHOO Teng Soon (T.S. Khoo), 邱燈順, 147, 135, 82, 78, 43, 22世",Teng Soon,KHOO 邱,"KHOO Teng Soon (T.S. Khoo), 邱燈順, 147, 135, 82, 78, 43, 22世",147,147,arabic,6,12,0,export-Descendants-6000000227086465839.ged
6000000003892186695,M,"Chén Bǐngdé 陳炳德, 146, 105, 58, 23 (德)",Chén Bǐngdé,,"Chén Bǐngdé 陳炳德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965196007,M,"Chén Chéngjiù 陳成就, 146, 105, 58, 23 (德)",Chén Chéngjiù,,"Chén Chéngjiù 陳成就, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003964951990,M,"Chén Chéngyuán 陳成元, 146, 105, 58, 23 (德)",Chén Chéngyuán,,"Chén Chéngyuán 陳成元, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003720583732,M,"Chén Chìdé 陳熾德, 146, 105, 58, 23 (德)",熾德,,"Chén Chìdé 陳熾德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003714041742,M,"Chén Chúndé 陳純德, 146, 105, 58, 23 (德)",純德,,"Chén Chúndé 陳純德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003720505731,M,"Chén Dádé 陳達德, 146, 105, 58, 23 (德)",達德,,"Chén Dádé 陳達德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965113051,M,"Chén Déchéng 陳德成, 146, 105, 58, 23 (德)",Chén Déchéng,,"Chén Déchéng 陳德成, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965047504,M,"Chén Déjìng 陳德敬, 146, 105, 58, 23 (德)",Chén Déjìng,,"Chén Déjìng 陳德敬, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965127371,M,"Chén Déjīn 陳德金, 146, 105, 58, 23 (德)",Chén Déjīn,,"Chén Déjīn 陳德金, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954924446,M,"Chén Dékuān 陳德寬, 146, 105, 58, 23 (德)",Chén Dékuān,,"Chén Dékuān 陳德寬, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965130070,M,"Chén Déliǎn 陳德璉, 146, 105, 58, 23 (德)",Chén Déliǎn,,"Chén Déliǎn 陳德璉, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003720720064,M,"Chén Délóng 陳德隆 (入繼), 146, 105, 58, 23 (德)",德隆 (入繼),,"Chén Délóng 陳德隆 (入繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003720585402,M,"Chén Délóng 陳德隆 (出繼), 146, 105, 58, 23 (德)",德隆 (出繼),,"Chén Délóng 陳德隆 (出繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003745271925,M,"Chén Délǐ 陳德理, 146, 105, 58, 23 (德)",德理,陳,"Chén Délǐ 陳德理, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892348049,M,"Chén Dépíng 陳德平 (入繼), 146, 105, 58, 23",Chén Dépíng,,"Chén Dépíng 陳德平 (入繼), 146, 105, 58, 23",146,146,arabic,4,8,0,export-Descendants-6000000227086452843.ged
6000000003892360425,M,"Chén Dépíng 陳德平 (出繼), 146, 105, 58, 23",Chén Dépíng,,"Chén Dépíng 陳德平 (出繼), 146, 105, 58, 23",146,146,arabic,4,8,0,export-Descendants-6000000227086452843.ged
6000000003745309247,M,"Chén Déqià 陳德恰, 146, 105, 58, 23 (德)",德恰,陳,"Chén Déqià 陳德恰, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965247041,M,"Chén Déqióng 陳德瓊, 146, 105, 58, 23 (德)",Chén Déqióng,,"Chén Déqióng 陳德瓊, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965196387,M,"Chén Déqiń 陳德琴, 146, 105, 58, 23 (德)",Chén Déqiń,,"Chén Déqiń 陳德琴, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892348251,M,"Chén Déqín 陳德芹, 146, 105, 58, 23",Chén Déqín,,"Chén Déqín 陳德芹, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003955079009,M,"Chén Dérùn 陳德潤, 146, 105, 58, 23 (德)",Chén Dérùn,,"Chén Dérùn 陳德潤, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955011629,M,"Chén Déshèn 陳德慎, 146, 105, 58, 23 (德)",Chén Déshèn,,"Chén Déshèn 陳德慎, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954650953,M,"Chén Déwàn 陳德萬 (入繼), 146, 105, 58, 23 (德)",Chén Déwàn,,"Chén Déwàn 陳德萬 (入繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003745326980,M,"Chén Déxiù 陳德琇, 146, 105, 58, 23 (德)",德琇,陳,"Chén Déxiù 陳德琇, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003745199923,M,"Chén Déxìng 陳德性, 146, 105, 58, 23 (德)",德性,陳,"Chén Déxìng 陳德性, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965017760,M,"Chén Dézhèng 陳德政, 146, 105, 58, 23 (德)",Chén Dézhèng,,"Chén Dézhèng 陳德政, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965013901,M,"Chén Dézhì 陳德致, 146, 105, 58, 23 (德)",Chén Dézhì,,"Chén Dézhì 陳德致, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003745416144,M,"Chén Dézhēn 陳德珍, 146, 105, 58, 23 (德)",德珍,陳,"Chén Dézhēn 陳德珍, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965039739,M,"Chén Fúyào 陳福曜, 146, 105, 58, 23 (德)",Chén Fúyào,,"Chén Fúyào 陳福曜, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954977490,M,"Chén Huáidé 陳懷德, 146, 105, 58, 23 (德)",Chén Huáidé,,"Chén Huáidé 陳懷德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003714245588,M,"Chén Huìdé 陳惠德 (出繼祥紅), 146, 105, 58, 23 (德)",惠德 (出繼祥紅),,"Chén Huìdé 陳惠德 (出繼祥紅), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003892277197,M,"Chén Hédé 陳和德, 146, 105, 58, 23 (德)",Chén Hédé,,"Chén Hédé 陳和德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892340213,M,"Chén Hóngdé 陳宏德, 146, 105, 58, 23 (德)",Chén Hóngdé,,"Chén Hóngdé 陳宏德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965239124,M,"Chén Jìngdé 陳敬德, 146, 105, 58, 23 (德)",Chén Jìngdé,,"Chén Jìngdé 陳敬德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954868647,M,"Chén Jùndé 陳俊德, 146, 105, 58, 23 (德)",Chén Jùndé,,"Chén Jùndé 陳俊德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003709361693,M,"Chén Jīndé 陳金德 (入繼), 146, 105, 58, 23 (德)",金德 (入繼),,"Chén Jīndé 陳金德 (入繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003714106950,M,"Chén Lōngdé 陳隆德, 146, 105, 58, 23 (德)",隆德,,"Chén Lōngdé 陳隆德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003720566437,M,"Chén Míngdé 陳明德, 146, 105, 58, 23 (德)",明德,,"Chén Míngdé 陳明德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003720515759,M,"Chén Měidé 陳美德 (入繼), 146, 105, 58, 23 (德)",美德 (入繼),,"Chén Měidé 陳美德 (入繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003720509610,M,"Chén Měidé 陳美德 (出繼), 146, 105, 58, 23 (德)",美德 (出繼),,"Chén Měidé 陳美德 (出繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003955085190,M,"Chén Rèndé 陳任德, 146, 105, 58, 23 (德)",Chén Rèndé,,"Chén Rèndé 陳任德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965039974,M,"Chén Réndé 陳仁德, 146, 105, 58, 23 (德)",Chén Réndé,,"Chén Réndé 陳仁德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892178445,M,"Chén Rúbó 陳如柏, 146, 105, 58, 23",Chén Rúbó,,"Chén Rúbó 陳如柏, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003954724913,M,"Chén Shàodé 陳紹德, 146, 105, 58, 23 (德)",Chén Shàodé,,"Chén Shàodé 陳紹德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954987519,M,"Chén Shùndé 陳舜德, 146, 105, 58, 23 (德)",Chén Shùndé,,"Chén Shùndé 陳舜德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003714249580,M,"Chén Sīdé 陳思德, 146, 105, 58, 23 (德)",思德,,"Chén Sīdé 陳思德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954762709,M,"Chén Tiāndé 陳天德, 146, 105, 58, 23 (德)",Chén Tiāndé,,"Chén Tiāndé 陳天德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955033063,M,"Chén Wéidé 陳維德, 146, 105, 58, 23 (德)",Chén Wéidé,,"Chén Wéidé 陳維德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892038853,M,"Chén Wénbīn 陳文彬, 146, 105, 58, 23",Chén Wénbīn,,"Chén Wénbīn 陳文彬, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003955033696,M,"Chén Wéncàn 陳文燦, 146, 105, 58, 23 (德)",Chén Wéncàn,,"Chén Wéncàn 陳文燦, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955203459,M,"Chén Wénhuá 陳文華, 146, 105, 58, 23 (德)",Chén Wénhuá,,"Chén Wénhuá 陳文華, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965164014,M,"Chén Wénjiň 陳文錦, 146, 105, 58, 23 (德)",Chén Wénjiň,,"Chén Wénjiň 陳文錦, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955023767,M,"Chén Wénjiǒng 陳文烱, 146, 105, 58, 23 (德)",Chén Wénjiǒng,,"Chén Wénjiǒng 陳文烱, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955271045,M,"Chén Wénjùn 陳文濬, 146, 105, 58, 23 (德)",Chén Wénjùn,,"Chén Wénjùn 陳文濬, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003965006639,M,"Chén Wénlán 陳文灡, 146, 105, 58, 23 (德)",Chén Wénlán,,"Chén Wénlán 陳文灡, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955188478,M,"Chén Wénpǔ 陳文普, 146, 105, 58, 23 (德)",Chén Wénpǔ,,"Chén Wénpǔ 陳文普, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003891876907,M,"Chén Wénqià 陳文洽, 146, 105, 58, 23",Chén Wénqià,,"Chén Wénqià 陳文洽, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003891927604,M,"Chén Wénruì 陳文瑞, 146, 105, 58, 23",Chén Wénruì,,"Chén Wénruì 陳文瑞, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003955118380,M,"Chén Wénshēng 陳文勝, 146, 105, 58, 23 (德)",Chén Wénshēng,,"Chén Wénshēng 陳文勝, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955028542,M,"Chén Wéntiān 陳文添, 146, 105, 58, 23 (德)",Chén Wéntiān,,"Chén Wéntiān 陳文添, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955139138,M,"Chén Wénwěi 陳文煒 (入繼), 146, 105, 58, 23 (德)",Chén Wénwěi,,"Chén Wénwěi 陳文煒 (入繼), 146, 105, 58, 23 (德)",146,146,arabic,4,9,0,export-Descendants-6000000227086452843.ged
6000000003954961952,M,"Chén Wénxiū 陳文修, 146, 105, 58, 23 (德)",Chén Wénxiū,,"Chén Wénxiū 陳文修, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892059959,M,"Chén Wényán 陳文炎, 146, 105, 58, 23",Chén Wényán,,"Chén Wényán 陳文炎, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003955139241,M,"Chén Wényīng 陳文英, 146, 105, 58, 23 (德)",Chén Wényīng,,"Chén Wényīng 陳文英, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892181719,M,"Chén Xìndé 陳信德, 146, 105, 58, 23 (德)",Chén Xìndé,,"Chén Xìndé 陳信德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003955076928,M,"Chén Xīndé 陳心德, 146, 105, 58, 23 (德)",Chén Xīndé,,"Chén Xīndé 陳心德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003714198240,M,"Chén Yándé 陳炎德, 146, 105, 58, 23 (德)",炎德,,"Chén Yándé 陳炎德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003714075686,M,"Chén Zhuóshào 陳卓紹, 146, 105, 58, 23 (德)",卓紹,,"Chén Zhuóshào 陳卓紹, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003954739712,M,"Chén Zhídé 陳職德, 146, 105, 58, 23 (德)",Chén Zhídé,,"Chén Zhídé 陳職德, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
6000000003892264059,M,"Chén Āqún 陳阿羣, 146, 105, 58, 23",Chén Āqún,,"Chén Āqún 陳阿羣, 146, 105, 58, 23",146,146,arabic,3,7,0,export-Descendants-6000000227086452843.ged
6000000003965053851,M,"Chén Āshān 陳阿山, 146, 105, 58, 23 (德)",Chén Āshān,,"Chén Āshān 陳阿山, 146, 105, 58, 23 (德)",146,146,arabic,3,8,0,export-Descendants-6000000227086452843.ged
