chart	person	geni	qid	parent
head	Tanba no Tomonaga	6000000227350676877	Q135524884	Hisayasu
head	Tanba no Moriyasu	6000000227350683839	Q135524885	Fuyuyasu
head	Tanba no Hidenaga	6000000227350704830	Q135524889	Kanehira
head	Tanba no Tsuginaga	6000000227350458858	Q135524890	Tomonaga
head	Tanba no Kaneyasu	6000000227350480176	Q135524892	Moriyasu
head	Tanba no Sadanaga	6000000227350739830	Q135524895	Tsuginaga
head	Tanba no Sadayasu	6000000227350595928	Q135524896	Kaneyasu
head	Tanba no Yorinobu	6000000227350748821	Q135524897	Kaneyasu
head	Tanba no Morinaga (2nd)	6000000227350524835	Q135524898	Sadanaga
head	Tanba no Ariyasu	6000000227350486977	Q135524899	Sadayasu
head	Tanba no Yoritoyo	6000000227350747823	Q135524900	Yorinobu
head	Tanba no Haruyasu	6000000227350610914	Q135524901	Ariyasu
head	Tanba no Yorihide	6000000227350595951	Q135524902	Yoritoyo
head	Tanba no Shigenaga (x818)	6000000227350450856	(no qid - roster has no entry in this slot)	Morinaga (2nd)
head	Asukai Masatsuna	6000000227350595957	Q11665951	Haruyasu
head	Nishijin Koji Yorihiro	6000000227350709826	Q135524905	Yorihide
head	Tanba no Toshinaga	6000000227350610924	Q135524904	Shigenaga (x818)
head	Tanba no Yasunaga	6000000227350739844	Q135524906	Toshinaga
head	Asukai Masaharu	6000000227350572848	Q11665947	Asukai Masatsuna
head	Tanba no Yoritada	6000000227350739851	Q135524811	Shigetada
head	Tanba no Shigenaga	6000000227350590843	Q135524812	Shigetada
head	Tanba no Yasunaga (right)	6000000227350705908	Q135524828	Shigenaga
head	Tanba no Arimichi	6000000227350605990	Q135524829	Shigenaga
head	Tanba no Yasutaka	6000000227350739858	Q135524838	Yasunaga (right)
head	Tanba no Yasumitsu	6000000227350708868	Q135524839	Yasunaga (right)
head	Tanba no Nagatada	6000000227350705920	Q135524840	Yasunaga (right)
head	Tanba no Tadanori	6000000227350683895	Q135524826	Norimoto
head	Tanba no Yorinori	6000000227350693884	Q135524836	Tadanori
head	Tanba no Shigeuji	6000000227350733847	Q135524853	Yasutaka
head	Tanba no Tadamoto	6000000227350737865	Q135524854	Yasumitsu
head	Tanba no Nagatomo	6000000227350703883	Q135524855	Yasumitsu
head	Tanba no Masanori	6000000227350747859	Q135524852	Yorinori
head	Tanba no Norinaga	6000000227350617868	Q135524871	Shigeuji
head	Tanba no Nagasue	6000000227350739869	Q135524872	Nagatomo
head	Tanba no Tadamori	6000000227350727867	Q11368575	Nagatomo
head	Tanba no Nagauji	6000000227350716844	Q135524877	Norinaga
head	Tanba no Nagahiro	6000000227350700901	Q135524878	Nagasue
head	Tanba no Nagatoyo	6000000227350703891	Q135524886	Nagauji
head	Tanba no Suetoshi	6000000227350727872	Q135524887	Nagahiro
head	Tanba no Shigeyo	6000000227350704918	Q135524893	Nagatoyo
head	Tanba no Nagahira	6000000227350524887	Q135524894	Suetoshi
head	Tanba no Tadatoshi	6000000227350675940	Q135524841	Arimichi
head	Tanba no Ieyasu	6000000227350611012	Q135524849	Masatsugu
head	Tanba no Takamoto	6000000227350703911	Q135524850	Hisamoto
head	Tanba no Masahisa	6000000227350752844	Q135524851	Hisamoto
head	Tanba no Yukiyasu	6000000227350759848	Q135524867	Ieyasu
head	Tanba no Akihito	6000000227350675955	Q135524868	Takamoto
head	Tanba no Hisayoshi	6000000227350675960	Q135524869	Masahisa
main	Tanba no Yorimoto 2 (ROOT, sibling of chart 1 Yorimoto)	6000000227350789830	Q135524815	Motoyasu
main	Tanba no Nagamoto	6000000227350716880	Q135524907	Yorimoto 2
main	Tanba no Yoritada	6000000227350815823	(no qid)	Yorimoto 2
main	Tanba no Yoritoki	6000000227350700930	Q135524909	Nagamoto
main	Tanba no Tadanaga	6000000227350790824	Q135524910	Nagamoto
main	Tanba no NN (charted as bare QID)	6000000227350487098	Q11368580	Nagamoto
main	Tanba no Suehiro	6000000227350802824	Q135524911	Nagamoto
main	Tanba no Mitsumoto	6000000227350734863	Q135524914	Yoritoki
main	Tanba no Sueyoshi	6000000227350533879	Q135524915	Yoritoki
main	Tanba no Atsumoto	6000000227350767823	Q135524924	Mitsumoto
main	Tanba no Naganori	6000000227350819822	Q135524919	Tadanaga
main	Nishijin Koji Naochoku	6000000227350800834	Q135524934	Atsumoto
main	Nishijin Koji Atsunao	6000000227350617924	Q135524935	Atsumoto
main	Tanba no Tokinori	6000000227350759876	Q135524916	NN (Q11368580)
main	Tanba no Yasuyo	6000000227350826825	Q135524917	NN (Q11368580)
main	Tanba no Tadayori	6000000227350800846	Q135524921	Suehiro
main	Tanba no Yasuie	6000000227350814835	Q135524922	Suehiro
main	Tanba no Naganori 2	6000000227350747937	Q135524927	Tokinori
main	Tanba no Mitsuyo	6000000227350596084	Q135524928	Yasuyo
main	Tanba no Nagachika	6000000227350589923	Q135524930	Naganori
main	Tanba no Tokimi	6000000227350676015	Q135524931	Naganori
main	Tanba no Tadakage	6000000227350811835	Q135524932	Tadayori
main	Tanba no Yasutsune	6000000227350763845	Q135524933	Yasuie
main	Tanba no Sadayo	6000000227350744934	Q135524936	Mitsuyo
main	Tanba no Chikanori	6000000227350744940	Q135524937	Naganori 2
main	Tanba no Moriyo	6000000227350734887	Q135524939	Mitsuyo
main	Tanba no Nagaharu	6000000227350802831	Q135524940	Nagachika
main	Tanba no Tadayuki	6000000227350826842	Q135524941	Tadakage
main	Tanba no Hideyo	6000000227350867821	Q135524942	Chikanori
main	Tanba no Chikatoki	6000000227350856824	Q135524943	Chikanori
main	Tanba no Yukiyasu	6000000227350867826	Q135524944	Moriyo
main	Tanba no Nagaaki	6000000227350797870	Q135524945	Nagaharu
main	Tanba no Yorikage	6000000227350869832	Q135524946	Tadayuki
main	Tanba no Tadayuki 2	6000000227350826862	Q135524947	Chikatoki
main	Tanba no Suekage	6000000227350857841	Q135524948	Yorikage
main	Tanba no Suekata	6000000227350828860	Q135524950	Suekage
main	Tanba no Sueyoshi 2	6000000227350826883	Q135524952	Nagaaki
main	Tanba no Sueyoshi 3	6000000227350808869	Q135524954	Suekata
main	Tanba no Munekiyo	6000000227350822857	Q135524955	Sueyoshi 3
main	Tanba no Munetada	6000000227350822862	Q135524957	Munekiyo
main	Yakuin Zenso	6000000227350883832	Q11085285	Munetada
side	Tanba no Yasuyori 2 (ROOT, sibling of chart 1 Yasuyori)	6000000227350733913	Q1466794	Sakanoue no Ōkuni
side	Tanba no Kiyomasa 2	6000000227350826905	Q135524790	Yasuyori 2
side	Tanba no Toshiyoshi 2	6000000227350881833	Q135524793	Yasuyori 2
side	Tanba no Tamemoto	6000000227350797893	Q135524960	Kiyomasa 2
side	Tanba no Toshimichi	6000000227350855841	Q135524961	Toshiyoshi 2
side	Tanba no Kiyomoto	6000000227350769911	Q135524962	Tamemoto
side	Tanba no Suetoshi 2	6000000227350881838	Q135524965	Toshimichi
side	Tanba no Tadamoto	6000000227350884822	Q135524968	Kiyomoto
side	Tanba no Toshitada	6000000227350861849	Q135524968	Suetoshi 2
side	Tanba no Yorimoto 3	6000000227350769923	Q135524969	Tadamoto
side	Tanba no Yasumichi	6000000227350878846	Q135524971	Toshitada
side	Tanba no Hideyori	6000000227350828902	Q135524972	Yorimoto 3
side	Tanba no Tamemoto 2	6000000227350530885	Q135524973	Yorimoto 3
side	Tanba no Hideyoshi	6000000227350858841	Q135524974	Yorimoto 3
side	Tanba no Tokimichi	6000000227350530892	Q135524975	Yasumichi
side	Tanba no Taneyoshi	6000000227350877878	Q135524977	Hideyori
side	Tanba no Yukiyoshi	6000000227350871828	Q135524979	Hideyori
side	Tanba no Motoyoshi 2	6000000227350880839	Q135524980	Tamemoto 2
side	Tanba no Chikayoshi	6000000227350856861	Q135524981	Hideyoshi
side	Tanba no Tsunetoshi	6000000227350530913	Q135524984	Tokimichi
side	Tanba no Hidemasa	6000000227350878880	Q135524985	Taneyoshi
side	Tanba no Ariyoshi	6000000227350861875	Q135524986	Chikayoshi
side	Tanba no Shigetoshi	6000000227350769945	Q135524987	Tsunetoshi
side	Tanba no Kiyoyoshi	6000000227350589990	Q135524988	Hidemasa
side	Tanba no Masayoshi	6000000227350837845	Q135524989	Ariyoshi
side	Tanba no Suetoshi 3	6000000227350877904	Q135524990	Shigetoshi
side	Tanba no Masatoshi	6000000227350530948	Q135524991	Shigetoshi
side	Tanba no Yoshitoshi	6000000227350878899	Q135524993	Masatoshi
side	Tanba no Yoshikuni	6000000227350881854	Q135524994	Yoshitoshi
side	Tanba no Yoshitomo	6000000227350878907	Q135524995	Yoshikuni
side	Tanba no Nagatoshi	6000000227351212844	Q135524996	Yoshitomo
side	Tanba no Yorinobu 2	6000000227351198823	Q135524897	Nagatoshi
side	Kaneyasu no Yoritada	6000000227351157886	Q135524997	Nagatoshi
side	Tanba no Yoritoyo 2	6000000227351205867	Q135524900	Yorinobu 2
side	Tanba no Yorihide 2	6000000227351203851	Q135524902	Yoritoyo 2
side	Tanba no Yorikazu	6000000227351250838	Q135524999	Yorihide 2
side	Tanba no Yorinao	6000000227351138949	Q135525000	Yorikazu
side	Tanba no Yoriyoshi	6000000227351205884	Q135525001	Yorinao
side	Tanba no Yorishige	6000000227351301821	Q135525002	Yoriyoshi
side	Tanba no Yorimoto 4	6000000227351273825	Q135525003	Yorishige
side	Tanba no Yorinaka	6000000227351138968	Q135525006	Yorimoto 4
side	Tanba no Yorifusa	6000000227351270846	Q135525008	Yorinaka
side	Kanpo Motoyasu	6000000227351205912	(no qid)	Yorinaka
side	Kanpo Motonao	6000000227351241860	Q135525009	Kanpo Motoyasu
side	Kanpo Motokatsu	6000000227351269845	Q135525010	Kanpo Motonao
side	Kanpo Motoen	6000000227351315822	Q135525011	Kanpo Motokatsu
side	Taki Mototaka	6000000227351216851	Q55529040	Kanpo Motoen
side	Taki Motonori	6000000227351174975	Q135525012	Taki Mototaka
main	Tanba no Nagatoyo 2	6000000227351160985	Q135524886	Yoritoki
main	Tanba no Sueyasu	6000000227351379821	Q135524912	Suehiro
main	Tanba no Tokiyo	6000000227351269898	Q135524925	Nagatoyo 2
